slot	count	value	split	UCUM	confidence	notes
avg_dew_point		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
avg_temp	192.0	degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
bac_prod		milligram per cubic meter per day	milligram per cubic meter per day		none	No match found
bac_resp		milligram per cubic meter per day, micromole oxygen per liter per hour	micromole oxygen per liter per hour		none	No match found
bac_resp		milligram per cubic meter per day, micromole oxygen per liter per hour	milligram per cubic meter per day		none	No match found
bacterial_density		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per gram of dry weight		none	No match found
bacterial_density		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per milliliter		none	No match found
barometric_press		millibar	millibar	mbar	high	Exact match on UCUM description
benzene		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
benzene		milligram per liter, parts per million	parts per million		none	No match found
biochem_oxygen_dem		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
biocide_admin_method		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
biomass		ton, kilogram, gram	gram	g	high	Exact match on UCUM description
biomass		ton, kilogram, gram	kilogram	kg	high	Exact match on UCUM description
biomass		ton, kilogram, gram	ton	10.uN.s/(cm5.m2)	low	Partial match on UCUM description
biosample_categories	9192.0					
biotic_regm	140.0					
bishomohopanol		microgram per liter, microgram per gram	microgram per gram	ug/g	high	Exact match on UCUM description
bishomohopanol		microgram per liter, microgram per gram	microgram per liter	ug/L	high	Exact match on UCUM description
blood_press_diast		millimeter mercury	millimeter mercury		none	No match found
blood_press_syst		millimeter mercury	millimeter mercury		none	No match found
bromide		parts per million	parts per million		none	No match found
built_struc_age		year	year	a	high	Exact match on UCUM description
calcium	109.0	milligram per liter, micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
calcium	109.0	milligram per liter, micromole per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
calcium	109.0	milligram per liter, micromole per liter, parts per million	parts per million		none	No match found
carb_dioxide		micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
carb_dioxide		micromole per liter, parts per million	parts per million		none	No match found
carb_monoxide		micromole per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
carb_monoxide		micromole per liter, parts per million	parts per million		none	No match found
carb_nitro_ratio	1111.0					
ceil_area		square meter	square meter	m2	high	Exact match on UCUM description
ceil_thermal_mass		joule per degree Celsius	joule per degree Celsius		none	No match found
chem_mutagen		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chem_oxygen_dem		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chem_treat_method		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
chloride	6.0	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
chloride	6.0	milligram per liter, parts per million	parts per million		none	No match found
chlorophyll	47.0	milligram per cubic meter, microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
chlorophyll	47.0	milligram per cubic meter, microgram per liter	milligram per cubic meter	mg/m3	high	Exact match on UCUM description
collected_from	416.0					
collection_date	12495.0					
collection_time	128.0					
community	379.0					
conduc	180.0	milliSiemens per centimeter	milliSiemens per centimeter		none	No match found
cons_food_stor_dur		hours or days	hours or days		none	No match found
cons_food_stor_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
crop_yield		kilogram per metre square	kilogram per metre square		none	No match found
cult_root_med	140.0					
cur_vegetation	2800.0					
density		gram per cubic meter, gram per cubic centimeter	gram per cubic centimeter	g/cm3	high	Exact match on UCUM description
density		gram per cubic meter, gram per cubic centimeter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
depth	8951.0	meter	meter	m	high	Exact match on UCUM description
description	3381.0					
dew_point		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
diether_lipids		nanogram per liter	nanogram per liter	ng/L	high	Exact match on UCUM description
diss_carb_dioxide		micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_carb_dioxide		micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_hydrogen		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_inorg_carb	25.0	microgram per liter, milligram per liter, parts per million	microgram per liter	ug/L	high	Exact match on UCUM description
diss_inorg_carb	25.0	microgram per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
diss_inorg_carb	25.0	microgram per liter, milligram per liter, parts per million	parts per million		none	No match found
diss_inorg_nitro	45.0	microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
diss_inorg_nitro	45.0	microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_iron	6.0	milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_org_carb	25.0	micromole per liter, milligram per liter	micromole per liter	umol/L	high	Exact match on UCUM description
diss_org_carb	25.0	micromole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_oxygen	435.0	micromole per kilogram, milligram per liter	micromole per kilogram	umol/kg	high	Exact match on UCUM description
diss_oxygen	435.0	micromole per kilogram, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
diss_oxygen_fluid		micromole per kilogram, milligram per liter	micromole per kilogram	umol/kg	high	Exact match on UCUM description
diss_oxygen_fluid		micromole per kilogram, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
door_size		square meter	square meter	m2	high	Exact match on UCUM description
down_par		microEinstein per square meter per second, microEinstein per square centimeter per second	microEinstein per square centimeter per second		none	No match found
down_par		microEinstein per square meter per second, microEinstein per square centimeter per second	microEinstein per square meter per second		none	No match found
ecosystem	8578.0					
ecosystem_category	8578.0					
ecosystem_subtype	8536.0					
ecosystem_type	8578.0					
efficiency_percent		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
elev	11010.0	meter	meter	m	high	Exact match on UCUM description
emsl_biosample_identifiers	188.0					
emulsions		gram per liter	gram per liter	g/L	high	Exact match on UCUM description
env_broad_scale	13006.0					
env_local_scale	13006.0					
env_medium	13006.0					
env_package	6551.0					
ethylbenzene		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
ethylbenzene		milligram per liter, parts per million	parts per million		none	No match found
exp_duct		square meter	square meter	m2	high	Exact match on UCUM description
experimental_factor	486.0					
experimental_factor_other	3372.0					
farm_equip_san		parts per million	parts per million		none	No match found
ferm_chem_add_perc		percentage	percentage		none	No match found
ferm_headspace_oxy		percentage	percentage		none	No match found
ferm_rel_humidity		percentage	percentage		none	No match found
ferm_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
ferm_time		days	days	d/wk	low	Partial match on UCUM description
fertilizer_regm	192.0	gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
fertilizer_regm	192.0	gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
fertilizer_regm	192.0	gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
floor_age		years, weeks, days	days	d/wk	low	Partial match on UCUM description
floor_age		years, weeks, days	weeks		none	No match found
floor_age		years, weeks, days	years		none	No match found
floor_area		square meter	square meter	m2	high	Exact match on UCUM description
floor_thermal_mass		joule per degree Celsius	joule per degree Celsius		none	No match found
fluor		milligram chlorophyll a per cubic meter, volts	milligram chlorophyll a per cubic meter		none	No match found
fluor		milligram chlorophyll a per cubic meter, volts	volts		none	No match found
food_pack_capacity		grams	grams		none	No match found
food_source_age		days	days	d/wk	low	Partial match on UCUM description
fungicide_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
fungicide_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
fungicide_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
gaseous_environment		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
gaseous_substances		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
geo_loc_name	12974.0					
glucosidase_act		mol per liter per hour	mol per liter per hour		none	No match found
gold_biosample_identifiers	8176.0					
gravidity	61.0					
gravity		meter per square second, g	g	[AU]	low	Partial match on UCUM description
gravity		meter per square second, g	meter per square second	m/s2	high	Exact match on UCUM description
growth_facil	3934.0					
growth_hormone_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
growth_hormone_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
growth_hormone_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
habitat	2915.0					
hcr_fw_salinity		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
hcr_pressure		atmosphere, kilopascal	atmosphere	atm	high	Exact match on UCUM description
hcr_pressure		atmosphere, kilopascal	kilopascal	kPa	high	Exact match on UCUM description
hcr_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
heavy_metals		microgram per gram	microgram per gram	ug/g	high	Exact match on UCUM description
height_carper_fiber		centimeter	centimeter	cm	high	Exact match on UCUM description
herbicide_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
herbicide_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
herbicide_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
host_age	166.0	year, day, hour	day	d	high	Exact match on UCUM description
host_age	166.0	year, day, hour	hour	h	high	Exact match on UCUM description
host_age	166.0	year, day, hour	year	a	high	Exact match on UCUM description
host_body_habitat	61.0					
host_body_mass_index		kilogram per square meter	kilogram per square meter	kg/m2	high	Exact match on UCUM description
host_body_site	61.0					
host_body_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
host_common_name	358.0			10.L/min	low	Partial match on UCUM description
host_diet	61.0					
host_dry_mass	192.0	kilogram, gram	gram	g	high	Exact match on UCUM description
host_dry_mass	192.0	kilogram, gram	kilogram	kg	high	Exact match on UCUM description
host_genotype	61.0					
host_height	192.0	centimeter, millimeter, meter	centimeter	cm	high	Exact match on UCUM description
host_height	192.0	centimeter, millimeter, meter	meter	m	high	Exact match on UCUM description
host_height	192.0	centimeter, millimeter, meter	millimeter	mm	high	Exact match on UCUM description
host_length		centimeter, millimeter, meter	centimeter	cm	high	Exact match on UCUM description
host_length		centimeter, millimeter, meter	meter	m	high	Exact match on UCUM description
host_length		centimeter, millimeter, meter	millimeter	mm	high	Exact match on UCUM description
host_life_stage	166.0					
host_name	868.0					
host_pulse		beats per minute	beats per minute	{beats}/min	low	Partial match on UCUM description
host_sex	61.0					
host_taxid	927.0					
host_tot_mass		kilogram, gram	gram	g	high	Exact match on UCUM description
host_tot_mass		kilogram, gram	kilogram	kg	high	Exact match on UCUM description
host_wet_mass		kilogram, gram	gram	g	high	Exact match on UCUM description
host_wet_mass		kilogram, gram	kilogram	kg	high	Exact match on UCUM description
humidity	192.0					
humidity_regm		gram per cubic meter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
id	13006.0					
igsn_biosample_identifiers	53.0					
img_identifiers	1743.0					
indust_eff_percent		percentage	percentage		none	No match found
inorg_particles		mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
inorg_particles		mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
insdc_biosample_identifiers	2439.0					
inside_lux		kilowatt per square metre	kilowatt per square metre		none	No match found
iwf		percent	percent	%	high	Exact match on UCUM description
lat_lon	13006.0					
lbc_thirty	103.0					
lbceq	103.0					
light_intensity		lux	lux		none	No match found
light_regm		lux; micrometer, nanometer, angstrom	angstrom		none	No match found
light_regm		lux; micrometer, nanometer, angstrom	lux		none	No match found
light_regm		lux; micrometer, nanometer, angstrom	micrometer	um	high	Exact match on UCUM description
light_regm		lux; micrometer, nanometer, angstrom	nanometer	nm	high	Exact match on UCUM description
location	2891.0					
magnesium	109.0	mole per liter, milligram per liter, parts per million, micromole per kilogram	micromole per kilogram	umol/kg	high	Exact match on UCUM description
magnesium	109.0	mole per liter, milligram per liter, parts per million, micromole per kilogram	milligram per liter	mg/L	high	Exact match on UCUM description
magnesium	109.0	mole per liter, milligram per liter, parts per million, micromole per kilogram	mole per liter	mol/L	high	Exact match on UCUM description
magnesium	109.0	mole per liter, milligram per liter, parts per million, micromole per kilogram	parts per million		none	No match found
manganese	109.0					
mean_frict_vel		meter per second	meter per second	m/s	high	Exact match on UCUM description
mean_peak_frict_vel		meter per second	meter per second	m/s	high	Exact match on UCUM description
methane		micromole per liter, parts per billion, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
methane		micromole per liter, parts per billion, parts per million	parts per billion		none	No match found
methane		micromole per liter, parts per billion, parts per million	parts per million		none	No match found
micro_biomass_meth	134.0					
microb_start_count		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per gram of dry weight		none	No match found
microb_start_count		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per milliliter		none	No match found
microb_start_inoc		milligram or gram	milligram or gram		none	No match found
microbial_biomass		ton, kilogram, gram per kilogram soil	gram per kilogram soil		none	No match found
microbial_biomass		ton, kilogram, gram per kilogram soil	kilogram	kg	high	Exact match on UCUM description
microbial_biomass		ton, kilogram, gram per kilogram soil	ton	10.uN.s/(cm5.m2)	low	Partial match on UCUM description
mineral_nutr_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
mineral_nutr_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
mineral_nutr_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
misc_param	684.0					
mod_date	2637.0					
name	13006.0					
ncbi_taxonomy_name	2614.0					
nitrate	18.0	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
nitrate	18.0	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
nitrate	18.0	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
nitrate_nitrogen	103.0					
nitrite		micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
nitrite		micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
nitrite		micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
nitrite_nitrogen	103.0					
nitro	919.0	micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
non_min_nutr_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
non_min_nutr_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
non_min_nutr_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
org_carb	1407.0					
org_count_qpcr_info		number of cells per gram (or ml or cm^2)	number of cells per gram (or ml or cm^2)		none	No match found
org_matter		microgram per liter	microgram per liter	ug/L	high	Exact match on UCUM description
org_particles		gram per liter	gram per liter	g/L	high	Exact match on UCUM description
other_treatment	790.0					
owc_tvdss		meter	meter	m	high	Exact match on UCUM description
oxygen		milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
oxygen		milligram per liter, parts per million	parts per million		none	No match found
part_org_nitro		microgram per liter, micromole per liter	microgram per liter	ug/L	high	Exact match on UCUM description
part_org_nitro		microgram per liter, micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
particle_class		micrometer	micrometer	um	high	Exact match on UCUM description
permeability		mD	mD		none	No match found
perturbation	201.0					
pesticide_regm		gram, mole per liter, milligram per liter	gram	g	high	Exact match on UCUM description
pesticide_regm		gram, mole per liter, milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
pesticide_regm		gram, mole per liter, milligram per liter	mole per liter	mol/L	high	Exact match on UCUM description
petroleum_hydrocarb		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
ph	4539.0					
phaeopigments		milligram per cubic meter	milligram per cubic meter	mg/m3	high	Exact match on UCUM description
phosphate		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
photon_flux	192.0	number of photons per second per unit area	number of photons per second per unit area		none	No match found
photosynt_activ		mol m-2 s-1	mol m-2 s-1		none	No match found
plant_struc	105.0					
pollutants		gram, mole per liter, milligram per liter, microgram per cubic meter	gram	g	high	Exact match on UCUM description
pollutants		gram, mole per liter, milligram per liter, microgram per cubic meter	microgram per cubic meter	ug/m3	high	Exact match on UCUM description
pollutants		gram, mole per liter, milligram per liter, microgram per cubic meter	milligram per liter	mg/L	high	Exact match on UCUM description
pollutants		gram, mole per liter, milligram per liter, microgram per cubic meter	mole per liter	mol/L	high	Exact match on UCUM description
pool_dna_extracts		gram, milliliter, microliter	gram	g	high	Exact match on UCUM description
pool_dna_extracts		gram, milliliter, microliter	microliter	uL	high	Exact match on UCUM description
pool_dna_extracts		gram, milliliter, microliter	milliliter	mL	high	Exact match on UCUM description
porosity		percentage	percentage		none	No match found
potassium	109.0	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
potassium	109.0	milligram per liter, parts per million	parts per million		none	No match found
pour_point		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
pressure		atmosphere	atmosphere	atm	high	Exact match on UCUM description
primary_prod		milligram per cubic meter per day, gram per square meter per day	gram per square meter per day		none	No match found
primary_prod		milligram per cubic meter per day, gram per square meter per day	milligram per cubic meter per day		none	No match found
prod_rate		cubic meter per day	cubic meter per day		none	No match found
radiation_regm		rad, gray	gray	Gy	high	Exact match on UCUM description
radiation_regm		rad, gray	rad	F	low	Partial match on UCUM description
rainfall_regm		millimeter	millimeter	mm	high	Exact match on UCUM description
redox_potential		millivolt	millivolt	mV	high	Exact match on UCUM description
rel_air_humidity		percentage	percentage		none	No match found
rel_humidity_out		gram of air, kilogram of air	gram of air		none	No match found
rel_humidity_out		gram of air, kilogram of air	kilogram of air		none	No match found
resins_pc		percent	percent	%	high	Exact match on UCUM description
room_air_exch_rate		liter per hour	liter per hour	L/h	high	Exact match on UCUM description
room_dim		meter	meter	m	high	Exact match on UCUM description
room_door_dist		meter	meter	m	high	Exact match on UCUM description
room_net_area		square feet, square meter	square feet		none	No match found
room_net_area		square feet, square meter	square meter	m2	high	Exact match on UCUM description
room_vol		cubic feet, cubic meter	cubic feet		none	No match found
room_vol		cubic feet, cubic meter	cubic meter	m3/s	low	Partial match on UCUM description
root_med_carbon		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_macronutr		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_micronutr		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_regl		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
root_med_suppl		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
salinity	19.0	practical salinity unit, percentage	percentage		none	No match found
salinity	19.0	practical salinity unit, percentage	practical salinity unit		none	No match found
salt_regm		gram, microgram, mole per liter, gram per liter	gram	g	high	Exact match on UCUM description
salt_regm		gram, microgram, mole per liter, gram per liter	gram per liter	g/L	high	Exact match on UCUM description
salt_regm		gram, microgram, mole per liter, gram per liter	microgram	ug	high	Exact match on UCUM description
salt_regm		gram, microgram, mole per liter, gram per liter	mole per liter	mol/L	high	Exact match on UCUM description
samp_collec_device	4322.0					
samp_collec_method	130.0					
samp_loc_corr_rate		millimeter per year	millimeter per year		none	No match found
samp_mat_process	6.0					
samp_md		meter	meter	m	high	Exact match on UCUM description
samp_name	7236.0			10.L/min	low	Partial match on UCUM description
samp_preserv		milliliter	milliliter	mL	high	Exact match on UCUM description
samp_size	665.0					
samp_store_loc	175.0					
samp_store_temp	4209.0	degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
samp_taxon_id	2412.0					
samp_time_out		hour	hour	h	high	Exact match on UCUM description
samp_transport_cond		days;degree Celsius	days	d/wk	low	Partial match on UCUM description
samp_transport_cond		days;degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
samp_transport_dur		days	days	d/wk	low	Partial match on UCUM description
samp_transport_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
samp_tvdss		meter	meter	m	high	Exact match on UCUM description
samp_vol_we_dna_ext		milliliter, gram, milligram, square centimeter	gram	g	high	Exact match on UCUM description
samp_vol_we_dna_ext		milliliter, gram, milligram, square centimeter	milligram	mg	high	Exact match on UCUM description
samp_vol_we_dna_ext		milliliter, gram, milligram, square centimeter	milliliter	mL	high	Exact match on UCUM description
samp_vol_we_dna_ext		milliliter, gram, milligram, square centimeter	square centimeter	cm2	high	Exact match on UCUM description
sample_collection_site	3279.0					
sample_link	51.0					
saturates_pc		percent	percent	%	high	Exact match on UCUM description
season_precpt		millimeter	millimeter	mm	high	Exact match on UCUM description
season_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
sieving	2809.0					
silicate		micromole per liter	micromole per liter	umol/L	high	Exact match on UCUM description
size_frac_low		micrometer	micrometer	um	high	Exact match on UCUM description
size_frac_up		micrometer	micrometer	um	high	Exact match on UCUM description
slope_aspect		degree	degree	deg	low	Partial match on UCUM description
slope_gradient		percentage	percentage		none	No match found
sludge_retent_time		hours	hours		none	No match found
sodium	6.0	milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
sodium	6.0	milligram per liter, parts per million	parts per million		none	No match found
soil_conductivity		milliSiemens per centimeter	milliSiemens per centimeter		none	No match found
soil_horizon	4680.0					
soil_porosity		percentage	percentage		none	No match found
soil_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
soil_texture_meth	30.0					
soil_type	30.0					
soil_type_meth	30.0					
solar_irradiance	192.0	kilowatts per square meter per day, ergs per square centimeter per second	ergs per square centimeter per second		none	No match found
solar_irradiance	192.0	kilowatts per square meter per day, ergs per square centimeter per second	kilowatts per square meter per day		none	No match found
soluble_inorg_mat		gram, microgram, mole per liter, gram per liter, parts per million	gram	g	high	Exact match on UCUM description
soluble_inorg_mat		gram, microgram, mole per liter, gram per liter, parts per million	gram per liter	g/L	high	Exact match on UCUM description
soluble_inorg_mat		gram, microgram, mole per liter, gram per liter, parts per million	microgram	ug	high	Exact match on UCUM description
soluble_inorg_mat		gram, microgram, mole per liter, gram per liter, parts per million	mole per liter	mol/L	high	Exact match on UCUM description
soluble_inorg_mat		gram, microgram, mole per liter, gram per liter, parts per million	parts per million		none	No match found
soluble_org_mat		gram, microgram, mole per liter, gram per liter, parts per million	gram	g	high	Exact match on UCUM description
soluble_org_mat		gram, microgram, mole per liter, gram per liter, parts per million	gram per liter	g/L	high	Exact match on UCUM description
soluble_org_mat		gram, microgram, mole per liter, gram per liter, parts per million	microgram	ug	high	Exact match on UCUM description
soluble_org_mat		gram, microgram, mole per liter, gram per liter, parts per million	mole per liter	mol/L	high	Exact match on UCUM description
soluble_org_mat		gram, microgram, mole per liter, gram per liter, parts per million	parts per million		none	No match found
soluble_react_phosp	45.0	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
soluble_react_phosp	45.0	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
soluble_react_phosp	45.0	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
source_mat_id	2929.0					
specific_ecosystem	7134.0					
specific_humidity		gram of air, kilogram of air	gram of air		none	No match found
specific_humidity		gram of air, kilogram of air	kilogram of air		none	No match found
spikein_count		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per gram of dry weight		none	No match found
spikein_count		colony forming units per milliliter; colony forming units per gram of dry weight	colony forming units per milliliter		none	No match found
store_cond	3650.0					
study_inc_dur		hours or days	hours or days		none	No match found
study_inc_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
study_timecourse		dpi	dpi		none	No match found
subsurface_depth	1.0					
sulfate	6.0	micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
sulfate	6.0	micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
sulfate	6.0	micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
sulfate_fw		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
sulfide		micromole per liter, milligram per liter, parts per million	micromole per liter	umol/L	high	Exact match on UCUM description
sulfide		micromole per liter, milligram per liter, parts per million	milligram per liter	mg/L	high	Exact match on UCUM description
sulfide		micromole per liter, milligram per liter, parts per million	parts per million		none	No match found
surf_humidity		percentage	percentage		none	No match found
surf_moisture		parts per million, gram per cubic meter, gram per square meter	gram per cubic meter	kg/m3	low	Partial match on UCUM description
surf_moisture		parts per million, gram per cubic meter, gram per square meter	gram per square meter	g/m2	high	Exact match on UCUM description
surf_moisture		parts per million, gram per cubic meter, gram per square meter	parts per million		none	No match found
surf_temp		degree Celsius	degree Celsius	Cel	high	Exact match on UCUM description
suspend_part_matter		milligram per liter	milligram per liter	mg/L	high	Exact match on UCUM description
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	gram	g	high	Exact match on UCUM description
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	gram per liter	g/L	high	Exact match on UCUM description
suspend_solids		gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	microgram	ug	high	Exact match on UCUM description
