slot	value	split	UCUM	confidence	notes
water_frequency	per day, per week, per month	per week	/wk	high	Exact match on UCUM description
saturates_pc	percent	percent	%	high	Exact match on UCUM description
aromatics_pc	percent	percent	%	high	Exact match on UCUM description
resins_pc	percent	percent	%	high	Exact match on UCUM description
asphaltenes_pc	percent	percent	%	high	Exact match on UCUM description
water_cut	percent	percent	%	high	Exact match on UCUM description
iwf	percent	percent	%	high	Exact match on UCUM description
porosity	percentage	percentage		none	No match found
slope_gradient	percentage	percentage		none	No match found
rel_air_humidity	percentage	percentage		none	No match found
surf_humidity	percentage	percentage		none	No match found
soil_porosity	percentage	percentage		none	No match found
ferm_chem_add_perc	percentage	percentage		none	No match found
ferm_headspace_oxy	percentage	percentage		none	No match found
ferm_rel_humidity	percentage	percentage		none	No match found
al_sat	percentage	percentage		none	No match found
indust_eff_percent	percentage	percentage		none	No match found
salinity	practical salinity unit, percentage	percentage		none	No match found
abs_air_humidity	gram per gram, kilogram per kilogram, kilogram, pound	pound	[lb_av]	low	Partial match on UCUM description
salinity	practical salinity unit, percentage	practical salinity unit		none	No match found
radiation_regm	rad, gray	rad	F	low	Partial match on UCUM description
samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	square centimeter	cm2	high	Exact match on UCUM description
room_net_area	square feet, square meter	square feet		none	No match found
room_net_area	square feet, square meter	square meter	m2	high	Exact match on UCUM description
ceil_area	square meter	square meter	m2	high	Exact match on UCUM description
door_size	square meter	square meter	m2	high	Exact match on UCUM description
exp_duct	square meter	square meter	m2	high	Exact match on UCUM description
floor_area	square meter	square meter	m2	high	Exact match on UCUM description
wall_area	square meter	square meter	m2	high	Exact match on UCUM description
water_feat_size	square meter	square meter	m2	high	Exact match on UCUM description
biomass	ton, kilogram, gram	ton	10.uN.s/(cm5.m2)	low	Partial match on UCUM description
microbial_biomass	ton, kilogram, gram per kilogram soil	ton	10.uN.s/(cm5.m2)	low	Partial match on UCUM description
fluor	milligram chlorophyll a per cubic meter, volts	volts		none	No match found
floor_age	years, weeks, days	weeks		none	No match found
built_struc_age	year	year	a	high	Exact match on UCUM description
host_age	year, day, hour	year	a	high	Exact match on UCUM description
association_duration	year, day, hour	year	a	high	Exact match on UCUM description
floor_age	years, weeks, days	years		none	No match found
