class	class_uri	slot	slot_uri	broad_mappings	close_mappings	exact_mappings	mappings	narrow_mappings	abstract	alias	aliases	annotation_expected_value	annotation_occurrence	annotation_preferred_unit	annotation_tooltip	any_of	comments	contributors	description	designates_type	example_values	id_prefixes	identifier	inlined	inlined_as_list	is_a	list_elements_ordered	maximum_cardinality	maximum_value	minimum_cardinality	minimum_value	mixins	multivalued	notes	pattern	range	rank	recommended	required	see_also	slot_group	string_serialization	structured_aliases	structured_pattern.syntax	title	todos
Biosample	nmdc:Biosample	air_temp_regm	MIXS:0000551								air temperature regimen	temperature value;treatment interval and duration	m	meter					Information about treatment involving an exposure to varying temperatures; should include the temperature, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include different temperature regimens		25 degree Celsius;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		air temperature regimen	
Biosample	nmdc:Biosample	al_sat	MIXS:0000607								extreme_unusual_properties/Al saturation	measurement value	1	percentage					The relative abundance of aluminum in the sample		27%					core field							False	Aluminum saturation is the percentage of the CEC occupies by aluminum. Like all cations, aluminum held by the cation exchange complex is in equilibrium with aluminum in the soil solution.		QuantityValue							JsonObj()		aluminum saturation/ extreme unusual properties	Example & validation. Can we configure things so that 27% & 27 % & 0.27 will validate?|I think it's weird the way GSC writes the title. I recommend this change. Thoughts? I would argue this isn't an extreme unusual property. It's just a biogeochemical measurement.
Biosample	nmdc:Biosample	al_sat_meth	MIXS:0000324								extreme_unusual_properties/Al saturation method	PMID,DOI or URL	1				Required when aluminum saturation is provided.		Reference or method used in determining Aluminum saturation		https://doi.org/10.1371/journal.pone.0176357					core field							False			TextValue						{PMID}|{DOI}|{URL}	JsonObj()		aluminum saturation method/ extreme unusual properties	I think it's weird the way GSC writes the title. I recommend this change. Thoughts?
Biosample	nmdc:Biosample	alkalinity	MIXS:0000421								alkalinity	measurement value	1	milliequivalent per liter, milligram per liter					Alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate		50 milligram per liter					core field							False			QuantityValue							JsonObj()		alkalinity	
Biosample	nmdc:Biosample	alkalinity_method	MIXS:0000298								alkalinity method	description of method	1						Method used for alkalinity measurement		titration					core field							False			TextValue						{text}	JsonObj()		alkalinity method	
Biosample	nmdc:Biosample	alkyl_diethers	MIXS:0000490								alkyl diethers	measurement value	1	mole per liter					Concentration of alkyl diethers		0.005 mole per liter					core field							False			QuantityValue							JsonObj()		alkyl diethers	
Biosample	nmdc:Biosample	alt	MIXS:0000094								altitude	measurement value							Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air		100 meter					environment field							False			QuantityValue							JsonObj()		altitude	
Biosample	nmdc:Biosample	alternative_identifiers																	Unique identifier for a biosample submitted to additional resources. Matches the entity that has been submitted to NMDC														True		^[a-zA-Z0-9][a-zA-Z0-9_\.]+:[a-zA-Z0-9_][a-zA-Z0-9_\-\/\.,\(\)\=\#]*$	uriorcurie							JsonObj()			
Biosample	nmdc:Biosample	aminopept_act	MIXS:0000172								aminopeptidase activity	measurement value	1	mole per liter per hour					Measurement of aminopeptidase activity		0.269 mole per liter per hour					core field							False			QuantityValue							JsonObj()		aminopeptidase activity	
Biosample	nmdc:Biosample	ammonium	MIXS:0000427								ammonium	measurement value	1	micromole per liter, milligram per liter, parts per million					Concentration of ammonium in the sample		1.5 milligram per liter					core field							False			QuantityValue							JsonObj()		ammonium	
Biosample	nmdc:Biosample	ammonium_nitrogen									ammonium_nitrogen|NH4-N	measurement value	1	mg/kg					Concentration of ammonium nitrogen in the sample		2.3 mg/kg															QuantityValue				https://www.ornl.gov/content/bio-scales-0			JsonObj()		ammonium nitrogen	
Biosample	nmdc:Biosample	amount_light	MIXS:0000140								amount of light	measurement value	1	lux, lumens per square meter					The unit of illuminance and luminous emittance, measuring luminous flux per unit area							core field							False			QuantityValue							JsonObj()		amount of light	
Biosample	nmdc:Biosample	analysis_type																	Select all the data types associated or available for this biosample		metagenomics; metabolomics; metaproteomics												True			AnalysisTypeEnum	3.0	True		MIxS:investigation_type	Sample ID		JsonObj()		analysis/data type	
Biosample	nmdc:Biosample	ances_data	MIXS:0000247								ancestral data	free text	1						Information about either pedigree or other ancestral information description (e.g. parental variety in case of mutant or selection), e.g. A/3*B (meaning [(A x B) x B] x B)		A/3*B					core field							False			TextValue						{text}	JsonObj()		ancestral data	
Biosample	nmdc:Biosample	annual_precpt	MIXS:0000644								mean annual precipitation	measurement value	1	millimeter					The average of all annual precipitation values known, or an estimated equivalent value derived by such methods as regional indexes or Isohyetal maps.		8.94 inch					core field							False			QuantityValue							JsonObj()		mean annual precipitation	
Biosample	nmdc:Biosample	annual_temp	MIXS:0000642								mean annual temperature	measurement value	1	degree Celsius					Mean annual temperature		12.5 degree Celsius					core field							False			QuantityValue							JsonObj()		mean annual temperature	
Biosample	nmdc:Biosample	antibiotic_regm	MIXS:0000553								antibiotic regimen	antibiotic name;antibiotic amount;treatment interval and duration	m	milligram					Information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple antibiotic regimens		penicillin;5 milligram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		antibiotic regimen	
Biosample	nmdc:Biosample	api	MIXS:0000157								API gravity	measurement value	1	degrees API					API gravity is a measure of how heavy or light a petroleum liquid is compared to water (source: https://en.wikipedia.org/wiki/API_gravity) (e.g. 31.1° API)							core field							False			QuantityValue							JsonObj()		API gravity	
Biosample	nmdc:Biosample	arch_struc	MIXS:0000774								architectural structure	enumeration	1						An architectural structure is a human-made, free-standing, immobile outdoor construction		shed					core field							False			arch_struc_enum							JsonObj()		architectural structure	
Biosample	nmdc:Biosample	aromatics_pc	MIXS:0000133								aromatics wt%	name;measurement value	1	percent					Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)							core field							False			TextValue						{text};{float} {unit}	JsonObj()		aromatics wt%	
Biosample	nmdc:Biosample	asphaltenes_pc	MIXS:0000135								asphaltenes wt%	name;measurement value	1	percent					Saturate, Aromatic, Resin and Asphaltene (SARA) is an analysis method that divides crude oil components according to their polarizability and polarity. There are three main methods to obtain SARA results. The most popular one is known as the Iatroscan TLC-FID and is referred to as IP-143 (source: https://en.wikipedia.org/wiki/Saturate,_aromatic,_resin_and_asphaltene)							core field							False			TextValue						{text};{float} {unit}	JsonObj()		asphaltenes wt%	
Biosample	nmdc:Biosample	associated_studies																	The study associated with a resource.														True		^(nmdc):sty-([0-9][a-z]{0,6}[0-9])-([A-Za-z0-9]{1,})$	Study			True				JsonObj()	{id_nmdc_prefix}:sty-{id_shoulder}-{id_blade}$		
Biosample	nmdc:Biosample	atmospheric_data	MIXS:0001097								atmospheric data	atmospheric data name;measurement value	m						Measurement of atmospheric data; can include multiple data		wind speed;9 knots				True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		atmospheric data	
Biosample	nmdc:Biosample	avg_dew_point	MIXS:0000141								average dew point	measurement value	1	degree Celsius					The average of dew point measures taken at the beginning of every hour over a 24 hour period on the sampling day		25.5 degree Celsius					core field							False			QuantityValue							JsonObj()		average dew point	
Biosample	nmdc:Biosample	avg_occup	MIXS:0000775								average daily occupancy	value	1						Daily average occupancy of room. Indicate the number of person(s) daily occupying the sampling room.		2					core field							False			TextValue							JsonObj()		average daily occupancy	
Biosample	nmdc:Biosample	avg_temp	MIXS:0000142								average temperature	measurement value	1	degree Celsius					The average of temperatures taken at the beginning of every hour over a 24 hour period on the sampling day		12.5 degree Celsius					core field							False			QuantityValue							JsonObj()		average temperature	
Biosample	nmdc:Biosample	bac_prod	MIXS:0000683								bacterial production	measurement value	1	milligram per cubic meter per day					Bacterial production in the water column measured by isotope uptake		5 milligram per cubic meter per day					core field							False			QuantityValue							JsonObj()		bacterial production	
Biosample	nmdc:Biosample	bac_resp	MIXS:0000684								bacterial respiration	measurement value	1	milligram per cubic meter per day, micromole oxygen per liter per hour					Measurement of bacterial respiration in the water column		300 micromole oxygen per liter per hour					core field							False			QuantityValue							JsonObj()		bacterial respiration	
Biosample	nmdc:Biosample	bacteria_carb_prod	MIXS:0000173								bacterial carbon production	measurement value	1	nanogram per hour					Measurement of bacterial carbon production		2.53 microgram per liter per hour					core field							False			QuantityValue							JsonObj()		bacterial carbon production	
Biosample	nmdc:Biosample	barometric_press	MIXS:0000096								barometric pressure	measurement value	1	millibar					Force per unit area exerted against a surface by the weight of air above that surface		5 millibar					core field							False			QuantityValue							JsonObj()		barometric pressure	
Biosample	nmdc:Biosample	basin	MIXS:0000290								basin name	name	1						Name of the basin (e.g. Campos)							core field							False			TextValue						{text}	JsonObj()		basin name	
Biosample	nmdc:Biosample	bathroom_count	MIXS:0000776								bathroom count	value	1						The number of bathrooms in the building		1					core field							False			TextValue							JsonObj()		bathroom count	
Biosample	nmdc:Biosample	bedroom_count	MIXS:0000777								bedroom count	value	1						The number of bedrooms in the building		2					core field							False			TextValue							JsonObj()		bedroom count	
Biosample	nmdc:Biosample	benzene	MIXS:0000153								benzene	measurement value	1	milligram per liter, parts per million					Concentration of benzene in the sample							core field							False			QuantityValue							JsonObj()		benzene	
Biosample	nmdc:Biosample	biochem_oxygen_dem	MIXS:0000653								biochemical oxygen demand	measurement value	1	milligram per liter					Amount of dissolved oxygen needed by aerobic biological organisms in a body of water to break down organic material present in a given water sample at certain temperature over a specific time period							core field							False			QuantityValue							JsonObj()		biochemical oxygen demand	
Biosample	nmdc:Biosample	biocide	MIXS:0001011								biocide administration	name;name;timestamp	1						List of biocides (commercial name of product and supplier) and date of administration		ALPHA 1427;Baker Hughes;2008-01-23					core field							False			TextValue						{text};{text};{timestamp}	JsonObj()		biocide administration	
Biosample	nmdc:Biosample	biocide_admin_method	MIXS:0000456								biocide administration method	measurement value;frequency;duration;duration	1	milligram per liter					Method of biocide administration (dose, frequency, duration, time elapsed between last biociding and sampling) (e.g. 150 mg/l; weekly; 4 hr; 3 days)							core field							False			TextValue						{float} {unit};{Rn/start_time/end_time/duration};{duration}	JsonObj()		biocide administration method	
Biosample	nmdc:Biosample	biol_stat	MIXS:0000858								biological status	enumeration	1						The level of genome modification.		natural					core field							False			biol_stat_enum							JsonObj()		biological status	
Biosample	nmdc:Biosample	biomass	MIXS:0000174								biomass	biomass type;measurement value	m	ton, kilogram, gram					Amount of biomass; should include the name for the part of biomass measured, e.g. Microbial, total. Can include multiple measurements		total;20 gram				True	core field							True			TextValue						{text};{float} {unit}	JsonObj()		biomass	
Biosample	nmdc:Biosample	biosample_categories																															True			BiosampleCategoryEnum							JsonObj()		Categories the biosample belongs to	
Biosample	nmdc:Biosample	biotic_regm	MIXS:0001038								biotic regimen	free text	1						Information about treatment(s) involving use of biotic factors, such as bacteria, viruses or fungi.		sample inoculated with Rhizobium spp. Culture					core field							False			TextValue						{text}	JsonObj()		biotic regimen	
Biosample	nmdc:Biosample	biotic_relationship	MIXS:0000028								observed biotic relationship	enumeration							Description of relationship(s) between the subject organism and other organism(s) it is associated with. E.g., parasite on species X; mutualist with species Y. The target organism is the subject of the relationship, and the other organism(s) is the object		free living					nucleic acid sequence source field							False			biotic_relationship_enum							JsonObj()		observed biotic relationship	
Biosample	nmdc:Biosample	bishomohopanol	MIXS:0000175								bishomohopanol	measurement value	1	microgram per liter, microgram per gram					Concentration of bishomohopanol		14 microgram per liter					core field							False			QuantityValue							JsonObj()		bishomohopanol	
Biosample	nmdc:Biosample	blood_press_diast	MIXS:0000258								host blood pressure diastolic	measurement value	1	millimeter mercury					Resting diastolic blood pressure, measured as mm mercury							core field							False			QuantityValue							JsonObj()		host blood pressure diastolic	
Biosample	nmdc:Biosample	blood_press_syst	MIXS:0000259								host blood pressure systolic	measurement value	1	millimeter mercury					Resting systolic blood pressure, measured as mm mercury							core field							False			QuantityValue							JsonObj()		host blood pressure systolic	
Biosample	nmdc:Biosample	bromide	MIXS:0000176								bromide	measurement value	1	parts per million					Concentration of bromide		0.05 parts per million					core field							False			QuantityValue							JsonObj()		bromide	
Biosample	nmdc:Biosample	build_docs	MIXS:0000787								design, construction, and operation documents	enumeration	1						The building design, construction and operation documents		maintenance plans					core field							False			build_docs_enum							JsonObj()		design, construction, and operation documents	
Biosample	nmdc:Biosample	build_occup_type	MIXS:0000761								building occupancy type	enumeration	m						The primary function for which a building or discrete part of a building is intended to be used		market					core field							True			build_occup_type_enum							JsonObj()		building occupancy type	
Biosample	nmdc:Biosample	building_setting	MIXS:0000768								building setting	enumeration	1						A location (geography) where a building is set		rural					core field							False			building_setting_enum							JsonObj()		building setting	
Biosample	nmdc:Biosample	built_struc_age	MIXS:0000145								built structure age	value	1	year					The age of the built structure since construction		15					core field							False			QuantityValue							JsonObj()		built structure age	
Biosample	nmdc:Biosample	built_struc_set	MIXS:0000778								built structure setting	enumeration	1						The characterization of the location of the built structure as high or low human density		rural					core field							False			TextValue						[urban|rural]	JsonObj()		built structure setting	
Biosample	nmdc:Biosample	built_struc_type	MIXS:0000721								built structure type	free text	1						A physical structure that is a body or assemblage of bodies in space to form a system capable of supporting loads							core field							False			TextValue						{text}	JsonObj()		built structure type	
Biosample	nmdc:Biosample	bulk_elect_conductivity															Provide the value output of the field instrument.		Electrical conductivity is a measure of the ability to carry electric current, which is mostly dictated by the chemistry of and amount of water.		JsonObj(has_raw_value='0.017 mS/cm', has_numeric_value=0.017, has_unit='mS/cm')															QuantityValue							JsonObj()		bulk electrical conductivity	
Biosample	nmdc:Biosample	calcium	MIXS:0000432								calcium	measurement value	1	milligram per liter, micromole per liter, parts per million					Concentration of calcium in the sample		0.2 micromole per liter					core field							False			QuantityValue							JsonObj()		calcium	
Biosample	nmdc:Biosample	carb_dioxide	MIXS:0000097								carbon dioxide	measurement value	1	micromole per liter, parts per million					Carbon dioxide (gas) amount or concentration at the time of sampling		410 parts per million					core field							False			QuantityValue							JsonObj()		carbon dioxide	
Biosample	nmdc:Biosample	carb_monoxide	MIXS:0000098								carbon monoxide	measurement value	1	micromole per liter, parts per million					Carbon monoxide (gas) amount or concentration at the time of sampling		0.1 parts per million					core field							False			QuantityValue							JsonObj()		carbon monoxide	
Biosample	nmdc:Biosample	carb_nitro_ratio	MIXS:0000310								carbon/nitrogen ratio	measurement value	1						Ratio of amount or concentrations of carbon to nitrogen		0.417361111					core field							False			QuantityValue							JsonObj()		carbon/nitrogen ratio	
Biosample	nmdc:Biosample	ceil_area	MIXS:0000148								ceiling area	measurement value	1	square meter					The area of the ceiling space within the room		25 square meter					core field							False			QuantityValue							JsonObj()		ceiling area	
Biosample	nmdc:Biosample	ceil_cond	MIXS:0000779								ceiling condition	enumeration	1						The physical condition of the ceiling at the time of sampling; photos or video preferred; use drawings to indicate location of damaged areas		damaged					core field							False			ceil_cond_enum							JsonObj()		ceiling condition	
Biosample	nmdc:Biosample	ceil_finish_mat	MIXS:0000780								ceiling finish material	enumeration	1						The type of material used to finish a ceiling		stucco					core field							False			ceil_finish_mat_enum							JsonObj()		ceiling finish material	
Biosample	nmdc:Biosample	ceil_struc	MIXS:0000782								ceiling structure	enumeration	1						The construction format of the ceiling		concrete					core field							False			TextValue						[wood frame|concrete]	JsonObj()		ceiling structure	
Biosample	nmdc:Biosample	ceil_texture	MIXS:0000783								ceiling texture	enumeration	1						The feel, appearance, or consistency of a ceiling surface		popcorn					core field							False			ceil_texture_enum							JsonObj()		ceiling texture	
Biosample	nmdc:Biosample	ceil_thermal_mass	MIXS:0000143								ceiling thermal mass	measurement value	1	joule per degree Celsius					The ability of the ceiling to provide inertia against temperature fluctuations. Generally this means concrete that is exposed. A metal deck that supports a concrete slab will act thermally as long as it is exposed to room air flow							core field							False			QuantityValue							JsonObj()		ceiling thermal mass	
Biosample	nmdc:Biosample	ceil_type	MIXS:0000784								ceiling type	enumeration	1						The type of ceiling according to the ceiling's appearance or construction		coffered					core field							False			ceil_type_enum							JsonObj()		ceiling type	
Biosample	nmdc:Biosample	ceil_water_mold	MIXS:0000781								ceiling signs of water/mold	enumeration	1						Signs of the presence of mold or mildew on the ceiling		presence of mold visible					core field							False			TextValue						[presence of mold visible|no presence of mold visible]	JsonObj()		ceiling signs of water/mold	
Biosample	nmdc:Biosample	chem_administration	MIXS:0000751								chemical administration	CHEBI;timestamp	m						List of chemical compounds administered to the host or site where sampling occurred, and when (e.g. Antibiotics, n fertilizer, air filter); can include multiple compounds. For chemical entities of biological interest ontology (chebi) (v 163), http://purl.bioontology.org/ontology/chebi		agar [CHEBI:2509];2018-05-11T20:00Z				True	core field							True			ControlledTermValue						{termLabel} {[termID]};{timestamp}	JsonObj()		chemical administration	
Biosample	nmdc:Biosample	chem_mutagen	MIXS:0000555								chemical mutagen	mutagen name;mutagen amount;treatment interval and duration	m	milligram per liter					Treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple mutagen regimens		nitrous acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{float} {unit};{Rn/start_time/end_time/duration}	JsonObj()		chemical mutagen	
Biosample	nmdc:Biosample	chem_oxygen_dem	MIXS:0000656								chemical oxygen demand	measurement value	1	milligram per liter					A measure of the capacity of water to consume oxygen during the decomposition of organic matter and the oxidation of inorganic chemicals such as ammonia and nitrite							core field							False			QuantityValue							JsonObj()		chemical oxygen demand	
Biosample	nmdc:Biosample	chem_treat_method	MIXS:0000457								chemical treatment method	measurement value;frequency;duration;duration	1	milligram per liter					Method of chemical administration(dose, frequency, duration, time elapsed between administration and sampling) (e.g. 50 mg/l; twice a week; 1 hr; 0 days)							core field							False			string						{float} {unit};{Rn/start_time/end_time/duration};{duration};{duration}	JsonObj()		chemical treatment method	
Biosample	nmdc:Biosample	chem_treatment	MIXS:0001012								chemical treatment	name;name;timestamp	1						List of chemical compounds administered upstream the sampling location where sampling occurred (e.g. Glycols, H2S scavenger, corrosion and scale inhibitors, demulsifiers, and other production chemicals etc.). The commercial name of the product and name of the supplier should be provided. The date of administration should also be included		ACCENT 1125;DOW;2010-11-17					core field							False			TextValue						{text};{text};{timestamp}	JsonObj()		chemical treatment	
Biosample	nmdc:Biosample	chloride	MIXS:0000429								chloride	measurement value	1	milligram per liter, parts per million					Concentration of chloride in the sample		5000 milligram per liter					core field							False			QuantityValue							JsonObj()		chloride	
Biosample	nmdc:Biosample	chlorophyll	MIXS:0000177								chlorophyll	measurement value	1	milligram per cubic meter, microgram per liter					Concentration of chlorophyll		5 milligram per cubic meter					core field							False			QuantityValue							JsonObj()		chlorophyll	
Biosample	nmdc:Biosample	climate_environment	MIXS:0001040								climate environment	climate name;treatment interval and duration	m						Treatment involving an exposure to a particular climate; treatment regimen including how many times the treatment was repeated, how long each treatment lasted, and the start and end time of the entire treatment; can include multiple climates		tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M				True	core field							True			TextValue						{text};{Rn/start_time/end_time/duration}	JsonObj()		climate environment	"description says ""can include multiple climates"" but multivalued is set to false|add examples, i need to see some examples to add correctly formatted example."
Biosample	nmdc:Biosample	collected_from															this illustrates implementing a Biosample relation with a (binary) slot		The Site from which a Biosample was collected																^(nmdc):frsite-([0-9][a-z]{0,6}[0-9])-([A-Za-z0-9]{1,})$	FieldResearchSite							JsonObj()	{id_nmdc_prefix}:frsite-{id_shoulder}-{id_blade}$		add an OBO slot_uri ?
Biosample	nmdc:Biosample	collection_date	MIXS:0000011								collection date	date and time							The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant		2018-05-11T10:00:00+01:00; 2018-05-11					environment field							False			TimestampValue							JsonObj()		collection date	
Biosample	nmdc:Biosample	collection_date_inc															Date should be formatted as YYYY(-MM(-DD)). Ie, 2021-04-15, 2021-04 and 2021 are all acceptable.		Date the incubation was harvested/collected/ended. Only relevant for incubation samples.		2021-04-15|2021-04|2021													MIxS collection_date accepts (truncated) ISO8601. DH taking arbitrary precision date only		string	2.0	True		MIXS:0000011	MIxS Inspired	{date, arbitrary precision}	JsonObj()		incubation collection date	
Biosample	nmdc:Biosample	collection_time															Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter		The time of sampling, either as an instance (single point) or interval.		13:33|13:33:55													MIxS collection_date accepts (truncated) ISO8601. DH taking seconds optional time only		string	1.0	True		MIXS:0000011	MIxS Inspired	{time, seconds optional}	JsonObj()		collection time, GMT	
Biosample	nmdc:Biosample	collection_time_inc															Time should be entered as HH:MM(:SS) in GMT. See here for a converter: https://www.worldtimebuddy.com/pst-to-gmt-converter		Time the incubation was harvested/collected/ended. Only relevant for incubation samples.		13:33|13:33:55													MIxS collection_date accepts (truncated) ISO8601. DH taking seconds optional time only		string	3.0	True		MIXS:0000011	MIxS Inspired	{time, seconds optional}	JsonObj()		incubation collection time, GMT	
Biosample	nmdc:Biosample	community																																		string							JsonObj()			
Biosample	nmdc:Biosample	conduc	MIXS:0000692								conductivity	measurement value	1	milliSiemens per centimeter					Electrical conductivity of water		10 milliSiemens per centimeter					core field							False			QuantityValue							JsonObj()		conductivity	
Biosample	nmdc:Biosample	cool_syst_id	MIXS:0000785								cooling system identifier	unique identifier	1						The cooling system identifier		12345					core field							False			TextValue							JsonObj()		cooling system identifier	
Biosample	nmdc:Biosample	core field							True	core_field									basic fields																	string							JsonObj()			
Biosample	nmdc:Biosample	crop_rotation	MIXS:0000318								history/crop rotation	crop rotation status;schedule	1						Whether or not crop is rotated, and if yes, rotation schedule		yes;R2/2017-01-01/2018-12-31/P6M					core field							False			TextValue						{boolean};{Rn/start_time/end_time/duration}	JsonObj()		history/crop rotation	
Biosample	nmdc:Biosample	cult_root_med	MIXS:0001041								culture rooting medium	name, PMID,DOI or url	1						Name or reference for the hydroponic or in vitro culture rooting medium; can be the name of a commonly used medium or reference to a specific medium, e.g. Murashige and Skoog medium. If the medium has not been formally published, use the rooting medium descriptors.		http://himedialabs.com/TD/PT158.pdf					core field							False			TextValue						{text}|{PMID}|{DOI}|{URL}	JsonObj()		culture rooting medium	
Biosample	nmdc:Biosample	cur_land_use	MIXS:0001080								current land use	enumeration	1						Present state of sample site		conifers					core field							False			cur_land_use_enum							JsonObj()		current land use	
Biosample	nmdc:Biosample	cur_vegetation	MIXS:0000312								current vegetation	current vegetation type	1				Values provided here can be specific species of vegetation or vegetation regions|See for vegetation regions- https://education.nationalgeographic.org/resource/vegetation-region		Vegetation classification from one or more standard classification systems, or agricultural crop		deciduous forest|forest|Bauhinia variegata					core field							False			TextValue						{text}	JsonObj()		current vegetation	Recommend changing this from text value to some king of ontology?
Biosample	nmdc:Biosample	cur_vegetation_meth	MIXS:0000314								current vegetation method	PMID,DOI or url	1				Required when current vegetation is provided.		Reference or method used in vegetation classification		https://doi.org/10.1111/j.1654-109X.2011.01154.x					core field							False			TextValue						{PMID}|{DOI}|{URL}	JsonObj()		current vegetation method	I'm not sure this is a DOI, PMID, or URI. Should pool the community and find out how they accomplish this if provided.
