harmonized_name	total_count
occup_samp	18713
occupant_dens_samp	18160
occupation	290
omics_observ_id	31714
org_carb	12351
org_matter	11779
org_nitro	7454
org_particles	366
organism_count	55094
orgmod_note	4056
original_subject_id	7
outbreak	960
oxy_stat_samp	30086
oxygen	20036
part_org_carb	9746
part_org_nitro	4338
part_plant_animal	152
particle_class	3651
passage_history	108186
passage_method	31472
passage_number	30633
pathogenicity	19609
pathotype	33964
pathovar	9185
permeability	261
perturbation	66225
pesticide_regm	1823
pet_farm_animal	4414
petroleum_hydrocarb	5291
ph	179360
ph_meth	48350
ph_regm	2734
phaeopigments	6522
phenotype	509706
phosphate	37162
phosplipid_fatt_acid	7134
photon_flux	1428
photosynt_activ	62
photosynt_activ_meth	62
plant_body_site	28058
plant_growth_med	40721
plant_product	10951
plant_sex	758
plant_struc	53103
plant_water_method	2814
ploidy	195914
pollutants	420
pool_dna_extracts	19386
population	248913
population_description	2620
porosity	4598
pos_cont_type	23762
potassium	17301
pre_treatment	3550
pregnancy	8088
pres_animal_insect	63
pressure	11373
previous_land_use	15962
previous_land_use_meth	9822
primary_prod	1778
primary_treatment	1633
prior_sars_cov_2_antiviral_treat	578
prior_sars_cov_2_infection	436
prior_sars_cov_2_vaccination	15230
prod_label_claims	2
profile_position	10425
project_name	2887282
propagation	147468
pulmonary_disord	5040
pulse	2716
purpose_of_sampling	567514
purpose_of_sequencing	2783168
purpose_of_ww_sampling	140720
purpose_of_ww_sequencing	62440
race	155487
radiation_regm	2626
rainfall_regm	3165
reactor_type	7785
redox_potential	8621
ref_biomaterial	545772
reference_material	3254
rel_air_humidity	18804
rel_location	3135
rel_to_oxygen	208410
repository	17949
risk_group	6629
room_type	2040
root_cond	1432
root_med_carbon	485
root_med_macronutr	512
root_med_micronutr	408
root_med_ph	729
root_med_regl	307
root_med_solid	351
root_med_suppl	261
route_transmission	363
salinity	78795
salinity_meth	12771
salt_regm	2498
same_as	1817
samp_capt_status	5208523
samp_collect_device	688244
samp_collect_method	36471
samp_collect_point	716
samp_dis_stage	1643
samp_mat_process	429138
samp_mat_type	6102
samp_pooling	754
samp_rep_biol	600
samp_rep_tech	485
samp_salinity	14834
samp_size	443496
samp_sort_meth	538
samp_source_mat_cat	3297
samp_stor_device	3132
samp_stor_media	2974
samp_store_dur	64075
samp_store_loc	81468
samp_store_sol	97
samp_store_temp	175276
samp_subtype	1402
samp_transport_cont	18
samp_transport_dur	18
samp_transport_temp	312
samp_vol_we_dna_ext	102498
sample_name	12446461
sample_type	2721280
sanitizer_used_postharvest	2743
sars_cov_2_diag_gene_name_1	35387
sars_cov_2_diag_gene_name_2	5522
sars_cov_2_diag_pcr_ct_value_1	44520
sars_cov_2_diag_pcr_ct_value_2	5534
season	45967
season_environment	7873
season_humidity	385
season_precpt	1996
season_temp	2226
secondary_treatment	2086
sediment_type	3670
sequenced_by	1349628
serogroup	3087
serotype	196867
serovar	844986
serovar_or_serotype	18
sewage_type	20671
sex	12738095
sexual_act	2011
sieving	42041
silicate	24243
size_frac	47758
size_frac_low	9995
size_frac_up	10223
slope_aspect	10700
slope_gradient	11252
sludge_retent_time	2352
smoker	18391
sodium	15620
soil_conductivity	62
soil_cover	62
soil_depth	3480
soil_horizon	22370
soil_ph	3331
soil_temp	2170
soil_text_measure	28036
soil_texture_class	1168
soil_texture_meth	16569
soil_type	66257
soil_type_meth	30050
solar_irradiance	169
soluble_inorg_mat	588
soluble_org_mat	491
soluble_react_phosp	4725
source_material_id	815845
source_name	4924341
source_type	661832
source_uvig	52776
space_typ_state	18505
spec_intended_cons	2797
special_diet	19091
specific	127
specimen_voucher	434604
spikein_amr	18
spikein_antibiotic	18
spikein_count	113
spikein_growth_med	18
spikein_metal	18
spikein_org	458
spikein_serovar	90
spikein_strain	337
standing_water_regm	2121
store_cond	102379
strain	6159073
stud_book_number	38466
study_complt_stat	2357
study_design	7927085
study_disease	1463710
study_inc_dur	125
study_inc_temp	433
study_name	8635186
study_timecourse	18
study_tmnt	431
sub_species	641403
subclone	1203
subgroup	51671
subject_is_affected	3203058
submitted_sample_id	8632577
submitted_subject_id	8632571
submitter_handle	8632599
subspecf_gen_lin	10405
subsrc_note	13951
substrain	36151
substrate	12548
substructure_type	159
subtype	55233
sulfate	21926
sulfate_fw	82
sulfide	8785
super_population_code	4075
super_population_description	2588
surf_air_cont	170
surf_humidity	159
surf_material	7773
surf_moisture	1012
surf_moisture_ph	159
surf_temp	4313
surface_orientation	3601
suspend_part_matter	3752
suspend_solids	1670
sym_life_cycle_type	3614
symbiont_host_role	9
tan	48
teleomorph	1011
temp	325334
tertiary_treatment	625
tidal_stage	6105
tillage	10982
time_last_toothbrush	1336
time_since_last_wash	1304
timepoint	433377
tiss_cult_growth_med	1604
tissue	13221338
tissue_lib	12180
toluene	115
tot_carb	7474
tot_depth_water_col	20443
tot_diss_nitro	7637
tot_inorg_nitro	1456
tot_iron	301
tot_mass	18631
tot_n_meth	18378
tot_nitro	48526
tot_nitro_cont_meth	1395
tot_org_c_meth	18416
tot_org_carb	35560
tot_part_carb	2750
tot_phosp	8967
tot_phosphate	726
tot_sulfur	282
train_line	1904
travel_out_six_month	2507
treatment	1989505
trophic_level	8798
turbidity	10975
twin_sibling	1423
typ_occupant_dens	18369
type_of_symbiosis	465
type_status	14498
type_strain	1490
upstream_intervention	3130
urine_collect_meth	2326
urogenit_disord	1180
urogenit_tract_disor	2108
vaccine_received	58228
variety	41904
ventilation_rate	121
ventilation_type	18608
vfa	65
vfa_fw	82
virus_enrich_appr	50167
virus_isolate_of_prior_infection	12553
volatile_org_comp	51
wastewater_type	10134
water_content	13558
water_content_soil	22505
water_content_soil_meth	19541
water_current	4605
water_cut	188
water_ph	1346
water_source_shared	452
water_temp_regm	6903
watering_regm	20657
weekday	2784
weight_loss_3_month	2261
wet_mass	27
wga_amp_appr	12838
wind_direction	1622
wind_speed	3413
window_open_freq	36
ww_endog_control_1	10090
ww_endog_control_1_conc	5560
ww_endog_control_1_protocol	7889
ww_endog_control_1_units	5887
ww_endog_control_2	811
ww_endog_control_2_conc	802
ww_endog_control_2_protocol	732
ww_endog_control_2_units	941
ww_flow	83168
ww_industrial_effluent_percent	5190
ww_ph	8634
ww_population	159118
ww_population_source	43914
ww_pre_treatment	17830
ww_primary_sludge_retention_time	3144
ww_processing_protocol	46384
ww_sample_duration	159103
ww_sample_matrix	159083
ww_sample_salinity	1121
ww_sample_site	134076
ww_sample_type	159083
ww_surv_jurisdiction	104772
ww_surv_system_sample_id	122043
ww_surv_target_1	158794
ww_surv_target_1_conc	86668
ww_surv_target_1_conc_unit	101194
ww_surv_target_1_extract	1589
ww_surv_target_1_extract_unit	1816
ww_surv_target_1_gene	99677
ww_surv_target_1_known_present	158780
ww_surv_target_1_protocol	60553
ww_surv_target_2	9430
ww_surv_target_2_conc	7808
ww_surv_target_2_conc_unit	8758
ww_surv_target_2_extract	142
ww_surv_target_2_extract_unit	1026
ww_surv_target_2_gene	8017
ww_surv_target_2_known_present	7771
ww_surv_target_2_protocol	2987
ww_temperature	10810
ww_total_suspended_solids	4374
