slot	range	domain	range_is_nmdc_class
blood_press_syst	QuantityValue	Biosample	True
bromide	QuantityValue	Biosample	True
build_docs	build_docs_enum	Biosample	False
build_occup_type	build_occup_type_enum	Biosample	False
building_setting	building_setting_enum	Biosample	False
built_struc_age	QuantityValue	Biosample	True
built_struc_set	TextValue	Biosample	True
built_struc_type	TextValue	Biosample	True
bulk_elect_conductivity	QuantityValue	Biosample	True
calcium	QuantityValue	Biosample	True
calibration_object	DataObject	CalibrationInformation	True
calibration_set	CalibrationInformation	Database	True
calibration_standard	CalibrationStandardEnum	CalibrationInformation	False
calibration_target	CalibrationTargetEnum	CalibrationInformation	False
carb_dioxide	QuantityValue	Biosample	True
carb_monoxide	QuantityValue	Biosample	True
carb_nitro_ratio	QuantityValue	Biosample	True
ceil_area	QuantityValue	Biosample	True
ceil_cond	ceil_cond_enum	Biosample	False
ceil_finish_mat	ceil_finish_mat_enum	Biosample	False
ceil_struc	TextValue	Biosample	True
ceil_texture	ceil_texture_enum	Biosample	False
ceil_thermal_mass	QuantityValue	Biosample	True
ceil_type	ceil_type_enum	Biosample	False
ceil_water_mold	TextValue	Biosample	True
chem_administration	ControlledTermValue	Biosample	True
chem_mutagen	TextValue	Biosample	True
chem_oxygen_dem	QuantityValue	Biosample	True
chem_treat_method	string	Biosample	False
chem_treatment	TextValue	Biosample	True
chemical_conversion_category	ChemicalConversionCategoryEnum	ChemicalConversionProcess	False
chemical_formula	string	ChemicalEntity	False
chloride	QuantityValue	Biosample	True
chlorophyll	QuantityValue	Biosample	True
chromatographic_category	ChromatographicCategoryEnum	ChromatographicSeparationProcess, ChromatographyConfiguration	False
climate_environment	TextValue	Biosample	True
collected_from	FieldResearchSite	Biosample	True
collecting_biosamples_from_site_set	CollectingBiosamplesFromSite	Database	True
collection_date	TimestampValue	Biosample	True
collection_date_inc	string	Biosample	False
collection_time	string	Biosample	False
collection_time_inc	string	Biosample	False
community	string	Biosample	False
completeness	float	EukEval, MagBin	False
compression_type	string	DataObject	False
conditionings	string	FiltrationProcess	False
conduc	QuantityValue	Biosample	True
configuration_set	Configuration	Database	True
contained_in	ContainerCategoryEnum	StorageProcess, SubSamplingProcess	False
container_size	QuantityValue	FiltrationProcess, SubSamplingProcess	True
contamination	float	EukEval, MagBin	False
contig_bp	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
contigs	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
cool_syst_id	TextValue	Biosample	True
core field	string	Biosample	False
count	integer	FunctionalAnnotationAggMember	False
crop_rotation	TextValue	Biosample	True
ctg_l50	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_l90	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_logsum	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_max	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_n50	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_n90	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
ctg_powsum	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
cult_root_med	TextValue	Biosample	True
cur_land_use	cur_land_use_enum	Biosample	False
cur_vegetation	TextValue	Biosample, FieldResearchSite	True
cur_vegetation_meth	TextValue	Biosample	True
data_category	DataCategoryEnum	DataObject	False
data_generation_set	DataGeneration	Database	True
data_object_set	DataObject	Database	True
data_object_type	FileTypeEnum	DataObject	False
date_last_rain	TimestampValue	Biosample	True
definition	string	ChemicalEntity, EnvironmentalMaterialTerm, FunctionalAnnotationTerm, OntologyClass, OrthologyGroup, Pathway	False
density	QuantityValue	Biosample	True
depos_env	depos_env_enum	Biosample	False
depth	QuantityValue	Biosample	True
description	string	Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, DataGeneration, DataObject, DissolvingProcess, EnvironmentalMaterialTerm, Extraction, FieldResearchSite, FiltrationProcess, FunctionalAnnotationTerm, GeneProduct, ImageValue, InformationObject, Instrument, LibraryPreparation, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OrthologyGroup, Pathway, PlannedProcess, Pooling, ProcessedSample, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, WorkflowExecution	False
dew_point	QuantityValue	Biosample	True
diether_lipids	TextValue	Biosample	True
display_order	integer	ImageValue	False
diss_carb_dioxide	QuantityValue	Biosample	True
diss_hydrogen	QuantityValue	Biosample	True
diss_inorg_carb	QuantityValue	Biosample	True
diss_inorg_nitro	QuantityValue	Biosample	True
diss_inorg_phosp	QuantityValue	Biosample	True
diss_iron	QuantityValue	Biosample	True
diss_org_carb	QuantityValue	Biosample	True
diss_org_nitro	QuantityValue	Biosample	True
diss_oxygen	QuantityValue	Biosample	True
diss_oxygen_fluid	QuantityValue	Biosample	True
dna_absorb1	float	Biosample, ProcessedSample	False
dna_absorb2	float	Biosample	False
dna_collect_site	string	Biosample	False
dna_concentration	float	Biosample, ProcessedSample	False
dna_cont_type	JgiContTypeEnum	Biosample	False
dna_cont_well	string	Biosample	False
dna_container_id	string	Biosample	False
dna_dnase	YesNoEnum	Biosample	False
dna_isolate_meth	string	Biosample	False
dna_organisms	string	Biosample	False
dna_project_contact	string	Biosample	False
dna_samp_id	string	Biosample	False
dna_sample_format	DNASampleFormatEnum	Biosample	False
dna_sample_name	string	Biosample	False
dna_seq_project	string	Biosample	False
dna_seq_project_name	string	Biosample	False
dna_seq_project_pi	string	Biosample	False
dna_volume	float	Biosample	False
dnase_rna	YesNoEnum	Biosample	False
doi_category	DoiCategoryEnum	Doi	False
doi_provider	DoiProviderEnum	Doi	False
doi_value	uriorcurie	Doi	False
door_comp_type	door_comp_type_enum	Biosample	False
door_cond	door_cond_enum	Biosample	False
door_direct	door_direct_enum	Biosample	False
door_loc	door_loc_enum	Biosample	False
door_mat	door_mat_enum	Biosample	False
door_move	door_move_enum	Biosample	False
door_size	QuantityValue	Biosample	True
door_type	door_type_enum	Biosample	False
door_type_metal	door_type_metal_enum	Biosample	False
door_type_wood	door_type_wood_enum	Biosample	False
door_water_mold	TextValue	Biosample	True
down_par	QuantityValue	Biosample	True
drainage_class	drainage_class_enum	Biosample	False
drawings	drawings_enum	Biosample	False
duration	QuantityValue	ChemicalConversionProcess, DissolvingProcess, MixingProcess, MobilePhaseSegment	True
ecosystem	string	Biosample, Study	False
ecosystem_category	string	Biosample, Study	False
ecosystem_subtype	string	Biosample, Study	False
ecosystem_type	string	Biosample, Study	False
efficiency_percent	QuantityValue	Biosample	True
elev	float	Biosample, FieldResearchSite	False
elevator	TextValue	Biosample	True
eluent_introduction_category	EluentIntroductionCategoryEnum	MassSpectrometry	False
email	string	PersonValue	False
embargoed	boolean	Biosample	False
emsl_biosample_identifiers	external_identifier	Biosample	False
emsl_project_identifiers	external_identifier	Study	False
emulsions	TextValue	Biosample	True
encodes	GeneProduct	GenomeFeature	True
end	integer	GenomeFeature	False
end_date	string	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	False
ended_at_time	string	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	False
env_broad_scale	ControlledIdentifiedTermValue	Biosample	True
env_local_scale	ControlledIdentifiedTermValue	Biosample	True
env_medium	ControlledIdentifiedTermValue	Biosample	True
env_package	TextValue	Biosample	True
environment field	string	Biosample	False
escalator	TextValue	Biosample	True
ethylbenzene	QuantityValue	Biosample	True
eukaryotic_evaluation	EukEval	MagBin	True
execution_resource	ExecutionResourceEnum	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	False
exp_duct	QuantityValue	Biosample	True
exp_pipe	QuantityValue	Biosample	True
experimental_factor	ControlledTermValue	Biosample	True
experimental_factor_other	string	Biosample	False
ext_door	TextValue	Biosample	True
ext_wall_orient	ext_wall_orient_enum	Biosample	False
ext_window_orient	ext_window_orient_enum	Biosample	False
external_database_identifiers	external_identifier	ProcessedSample	False
extraction_targets	ExtractionTargetEnum	Extraction	False
extreme_event	string	Biosample	False
fao_class	fao_class_enum	Biosample	False
feature_category	ControlledIdentifiedTermValue	FunctionalAnnotation, GenomeFeature	True
feature_type	string	GenomeFeature	False
fertilizer_regm	TextValue	Biosample	True
field	TextValue	Biosample	True
field_research_site_set	FieldResearchSite	Database	True
file_size_bytes	bytes	DataObject	False
filter_material	string	FiltrationProcess	False
filter_method	string	Biosample	False
filter_pore_size	QuantityValue	FiltrationProcess	True
filter_type	filter_type_enum	Biosample	False
filtration_category	string	FiltrationProcess	False
final_concentration	QuantityValue	PortionOfSubstance	True
fire	string	Biosample	False
fireplace_type	TextValue	Biosample	True
flooding	string	Biosample	False
floor_age	QuantityValue	Biosample	True
floor_area	QuantityValue	Biosample	True
floor_cond	floor_cond_enum	Biosample	False
floor_count	TextValue	Biosample	True
floor_finish_mat	floor_finish_mat_enum	Biosample	False
floor_struc	floor_struc_enum	Biosample	False
floor_thermal_mass	QuantityValue	Biosample	True
floor_water_mold	floor_water_mold_enum	Biosample	False
fluor	QuantityValue	Biosample	True
freq_clean	QuantityValue	Biosample	True
freq_cook	QuantityValue	Biosample	True
functional_annotation_agg	FunctionalAnnotationAggMember	Database	True
functional_annotation_set	FunctionalAnnotation	Database	True
funding_sources	string	Study	False
fungicide_regm	TextValue	Biosample	True
furniture	furniture_enum	Biosample	False
gap_pct	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
gaseous_environment	TextValue	Biosample	True
gaseous_substances	TextValue	Biosample	True
gc_avg	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
gc_std	float	MetagenomeAssembly, MetatranscriptomeAssembly	False
gender_restroom	gender_restroom_enum	Biosample	False
gene_count	integer	MagBin	False
gene_function_id	uriorcurie	FunctionalAnnotationAggMember	False
generates_calibration	CalibrationInformation	MassSpectrometry	True
genetic_mod	TextValue	Biosample	True
genome_feature_set	GenomeFeature	Database	True
geo_loc_name	TextValue	Biosample, FieldResearchSite	True
git_url	string	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, WorkflowExecution	False
glucosidase_act	QuantityValue	Biosample	True
gnps_task_identifiers	external_identifier	Study	False
gold_analysis_project_identifiers	external_identifier	MetagenomeAnnotation, MetatranscriptomeAnnotation	False
gold_biosample_identifiers	uriorcurie	Biosample	False
gold_sequencing_project_identifiers	external_identifier	NucleotideSequencing	False
gold_study_identifiers	external_identifier	Study	False
gravidity	TextValue	Biosample	True
gravity	TextValue	Biosample	True
growth_facil	ControlledTermValue	Biosample	True
growth_habit	growth_habit_enum	Biosample	False
growth_hormone_regm	TextValue	Biosample	True
gtdbtk_class	string	MagBin	False
gtdbtk_domain	string	MagBin	False
gtdbtk_family	string	MagBin	False
gtdbtk_genus	string	MagBin	False
gtdbtk_order	string	MagBin	False
gtdbtk_phylum	string	MagBin	False
gtdbtk_species	string	MagBin	False
habitat	string	Biosample, FieldResearchSite	False
hall_count	TextValue	Biosample	True
handidness	handidness_enum	Biosample	False
has_chromatography_configuration	ChromatographyConfiguration	MassSpectrometry	True
has_credit_associations	CreditAssociation	Study	True
has_failure_categorization	FailureCategorization	ChemicalConversionProcess, ChromatographicSeparationProcess, CollectingBiosamplesFromSite, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MagsAnalysis, MassSpectrometry, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NomAnalysis, NucleotideSequencing, PlannedProcess, Pooling, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, SubSamplingProcess, WorkflowExecution	True
has_function	string	FunctionalAnnotation	False
has_input	NamedThing	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, PlannedProcess, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, WorkflowExecution	True
has_input	Sample	ChemicalConversionProcess, ChromatographicSeparationProcess, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MassSpectrometry, MaterialProcessing, MixingProcess, NucleotideSequencing, Pooling, SubSamplingProcess	True
has_input	Site	CollectingBiosamplesFromSite	True
has_mass_spectrometry_configuration	MassSpectrometryConfiguration	MassSpectrometry	True
has_maximum_numeric_value	decimal	QuantityValue	False
has_metabolite_identifications	MetaboliteIdentification	MetabolomicsAnalysis	True
has_minimum_numeric_value	decimal	QuantityValue	False
has_numeric_value	decimal	QuantityValue	False
has_output	Biosample	CollectingBiosamplesFromSite	True
has_output	DataObject	DataGeneration, MassSpectrometry, NucleotideSequencing	True
has_output	NamedThing	MagsAnalysis, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, NomAnalysis, PlannedProcess, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, StorageProcess, WorkflowExecution	True
has_output	ProcessedSample	ChemicalConversionProcess, ChromatographicSeparationProcess, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MaterialProcessing, MixingProcess, Pooling, SubSamplingProcess	True
has_raw_value	string	AttributeValue, ControlledIdentifiedTermValue, ControlledTermValue, GeolocationValue, ImageValue, PersonValue, QuantityValue, TextValue, TimestampValue	False
has_unit	unit	QuantityValue	False
hc_produced	hc_produced_enum	Biosample	False
hcr	hcr_enum	Biosample	False
hcr_fw_salinity	QuantityValue	Biosample	True
hcr_geol_age	hcr_geol_age_enum	Biosample	False
hcr_pressure	TextValue	Biosample	True
hcr_temp	TextValue	Biosample	True
heat_cool_type	heat_cool_type_enum	Biosample	False
heat_deliv_loc	heat_deliv_loc_enum	Biosample	False
heat_sys_deliv_meth	string	Biosample	False
heat_system_id	TextValue	Biosample	True
heavy_metals	TextValue	Biosample	True
heavy_metals_meth	TextValue	Biosample	True
height_carper_fiber	QuantityValue	Biosample	True
herbicide_regm	TextValue	Biosample	True
highest_similarity_score	float	MetaboliteIdentification	False
homepage_website	string	Study	False
horizon_meth	TextValue	Biosample	True
host_age	QuantityValue	Biosample	True
host_body_habitat	TextValue	Biosample	True
host_body_product	ControlledTermValue	Biosample	True
host_body_site	ControlledTermValue	Biosample	True
host_body_temp	QuantityValue	Biosample	True
host_color	TextValue	Biosample	True
host_common_name	TextValue	Biosample	True
host_diet	TextValue	Biosample	True
host_disease_stat	TextValue	Biosample	True
host_dry_mass	QuantityValue	Biosample	True
host_family_relation	string	Biosample	False
host_genotype	TextValue	Biosample	True
host_growth_cond	TextValue	Biosample	True
host_height	QuantityValue	Biosample	True
host_last_meal	TextValue	Biosample	True
host_length	QuantityValue	Biosample	True
host_life_stage	TextValue	Biosample	True
host_name	string	Biosample	False
host_phenotype	ControlledTermValue	Biosample	True
host_sex	host_sex_enum	Biosample	False
host_shape	TextValue	Biosample	True
host_subject_id	TextValue	Biosample	True
host_subspecf_genlin	string	Biosample	False
host_substrate	TextValue	Biosample	True
host_symbiont	string	Biosample	False
host_taxid	ControlledIdentifiedTermValue	Biosample	True
host_tot_mass	QuantityValue	Biosample	True
host_wet_mass	QuantityValue	Biosample	True
humidity	QuantityValue	Biosample	True
humidity_regm	TextValue	Biosample	True
id	uriorcurie	Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, DataGeneration, DataObject, DissolvingProcess, EnvironmentalMaterialTerm, Extraction, FieldResearchSite, FiltrationProcess, FunctionalAnnotationTerm, GeneProduct, InformationObject, Instrument, LibraryPreparation, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OrthologyGroup, Pathway, PlannedProcess, Pooling, ProcessedSample, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, WorkflowExecution	False
igsn_biosample_identifiers	external_identifier	Biosample	False
img_identifiers	external_identifier	Biosample, MagsAnalysis, MetagenomeAnnotation, MetatranscriptomeAnnotation, MetatranscriptomeExpressionAnalysis	False
in_manifest	Manifest	DataObject	True
indoor_space	indoor_space_enum	Biosample	False
indoor_surf	indoor_surf_enum	Biosample	False
indust_eff_percent	QuantityValue	Biosample	True
infiltrations	string	Biosample	False
inorg_particles	TextValue	Biosample	True
input_base_count	float	ReadQcAnalysis	False
input_contig_num	integer	MagsAnalysis	False
input_mass	QuantityValue	Extraction	True
input_read_bases	float	ReadQcAnalysis	False
input_read_count	float	ReadQcAnalysis	False
insdc_assembly_identifiers	string	MetagenomeAssembly, MetatranscriptomeAssembly	False
insdc_bioproject_identifiers	external_identifier	NucleotideSequencing, Study	False
insdc_biosample_identifiers	external_identifier	Biosample	False
insdc_experiment_identifiers	external_identifier	DataObject, NucleotideSequencing	False
inside_lux	QuantityValue	Biosample	True
instrument_set	Instrument	Database	True
instrument_used	Instrument	ChemicalConversionProcess, ChromatographicSeparationProcess, DataGeneration, DissolvingProcess, Extraction, FiltrationProcess, LibraryPreparation, MassSpectrometry, MaterialProcessing, MixingProcess, NucleotideSequencing, Pooling, SubSamplingProcess	True
int_wall_cond	int_wall_cond_enum	Biosample	False
internal_calibration	boolean	CalibrationInformation	False
investigation field	string	Biosample	False
ionization_source	IonizationSourceEnum	MassSpectrometryConfiguration	False
is_obsolete	boolean	ChemicalEntity, EnvironmentalMaterialTerm, FunctionalAnnotationTerm, OntologyClass, OrthologyGroup, Pathway	False
is_pressurized	boolean	FiltrationProcess	False
is_root	boolean	ChemicalEntity, EnvironmentalMaterialTerm, FunctionalAnnotationTerm, OntologyClass, OrthologyGroup, Pathway	False
is_stranded	boolean	LibraryPreparation	False
isotope_exposure	string	Biosample	False
iw_bt_date_well	TimestampValue	Biosample	True
iwf	QuantityValue	Biosample	True
jgi_portal_study_identifiers	external_identifier	Study	False
known_as	ChemicalEntityEnum	PortionOfSubstance	False
language	language_code	TextValue	False
last_clean	TimestampValue	Biosample	True
lat_lon	GeolocationValue	Biosample, FieldResearchSite	True
latitude	decimal_degree	GeolocationValue	False
lbc_thirty	QuantityValue	Biosample	True
lbceq	QuantityValue	Biosample	True
library_preparation_kit	string	LibraryPreparation	False
library_type	LibraryTypeEnum	LibraryPreparation	False
light_intensity	QuantityValue	Biosample	True
light_regm	TextValue	Biosample	True
light_type	light_type_enum	Biosample	False
link_addit_analys	TextValue	Biosample	True
link_class_info	TextValue	Biosample	True
link_climate_info	TextValue	Biosample	True
lithology	lithology_enum	Biosample	False
local_class	TextValue	Biosample, FieldResearchSite	True
local_class_meth	TextValue	Biosample	True
location	string	Biosample	False
longitude	decimal_degree	GeolocationValue	False
low_depth_contig_num	integer	MagsAnalysis	False
magnesium	QuantityValue	Biosample	True
mags_list	MagBin	MagsAnalysis	True
manganese	QuantityValue	Biosample	True
manifest_category	ManifestCategoryEnum	Manifest	False
manifest_set	Manifest	Database	True
mass	QuantityValue	PortionOfSubstance, SubSamplingProcess	True
mass_analyzers	MassAnalyzerEnum	MassSpectrometryConfiguration	False
mass_spectrometry_acquisition_strategy	MassSpectrometryAcquisitionStrategyEnum	MassSpectrometryConfiguration	False
mass_spectrum_collection_modes	MassSpectrumCollectionModeEnum	MassSpectrometryConfiguration	False
material_processing_set	MaterialProcessing	Database	True
max_occup	QuantityValue	Biosample	True
md5_checksum	string	DataObject	False
mean_frict_vel	QuantityValue	Biosample	True
mean_peak_frict_vel	QuantityValue	Biosample	True
mech_struc	mech_struc_enum	Biosample	False
mechanical_damage	TextValue	Biosample	True
members_id	string	MagBin	False
metabolite_identified	string	MetaboliteIdentification	False
metabolomics_analysis_category	MetabolomicsAnalysisCategoryEnum	MetabolomicsAnalysis	False
metaproteomics_analysis_category	MetaproteomicsAnalysisCategoryEnum	MetaproteomicsAnalysis	False
methane	QuantityValue	Biosample	True
mgnify_project_identifiers	external_identifier	Study	False
micro_biomass_c_meth	string	Biosample	False
micro_biomass_meth	string	Biosample	False
micro_biomass_n_meth	string	Biosample	False
microbial_biomass	QuantityValue	Biosample	True
microbial_biomass_c	string	Biosample	False
microbial_biomass_n	string	Biosample	False
mineral_nutr_regm	TextValue	Biosample	True
misc_param	TextValue	Biosample	True
mod_date	string	Biosample, DataGeneration, MassSpectrometry, NucleotideSequencing	False
model	InstrumentModelEnum	Instrument	False
n_alkanes	TextValue	Biosample	True
name	string	Biosample, CalibrationInformation, ChemicalConversionProcess, ChemicalEntity, ChromatographicSeparationProcess, ChromatographyConfiguration, CollectingBiosamplesFromSite, Configuration, DataGeneration, DataObject, DissolvingProcess, EnvironmentalMaterialTerm, Extraction, FieldResearchSite, FiltrationProcess, FunctionalAnnotationTerm, GeneProduct, InformationObject, Instrument, LibraryPreparation, MagsAnalysis, Manifest, MassSpectrometry, MassSpectrometryConfiguration, MaterialEntity, MaterialProcessing, MetabolomicsAnalysis, MetagenomeAnnotation, MetagenomeAssembly, MetagenomeSequencing, MetaproteomicsAnalysis, MetatranscriptomeAnnotation, MetatranscriptomeAssembly, MetatranscriptomeExpressionAnalysis, MixingProcess, NamedThing, NomAnalysis, NucleotideSequencing, OntologyClass, OrthologyGroup, Pathway, PersonValue, PlannedProcess, Pooling, ProcessedSample, Protocol, ReadBasedTaxonomyAnalysis, ReadQcAnalysis, Sample, Site, StorageProcess, Study, SubSamplingProcess, WorkflowExecution	False
ncbi_lineage	string	EukEval	False
ncbi_lineage_tax_ids	string	EukEval	False
