class	class_uri	slot	slot_uri	close_mappings	exact_mappings	mappings	abstract	alias	aliases	annotation_simple_dict_value	any_of	comments	conforms_to	deprecated	description	domain	example_values	identifier	ifabsent	in_subset	inherited	inlined	is_a	key	list_elements_ordered	multivalued	notes	range	range_expression	rank	readonly	recommended	required	see_also	singular_name	status
anonymous_class_expression		alt_descriptions							alternate definitions						A sourced alternative description for an element	element				BasicSubset		True				True		alt_description								
anonymous_class_expression		annotations													a collection of tag/text tuples with the semantics of OWL Annotation	annotatable						True	extensions			True		annotation								
anonymous_class_expression		any_of			sh:or										holds if at least one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_class_expression		101.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_class_expression		broad mappings	skos:broadMatch					broad_mappings							A list of terms from different schemas or terminology systems that have broader meaning.						False		mappings			True		uriorcurie								
anonymous_class_expression		categories	dcterms:subject									if you wish to use uncontrolled terms or terms that lack identifiers then use the keywords element			Controlled terms used to categorize an element.					BasicSubset						True		uriorcurie							category	
anonymous_class_expression		close mappings	skos:closeMatch					close_mappings							A list of terms from different schemas or terminology systems that have close meaning.						False		mappings			True		uriorcurie								
anonymous_class_expression		comments	skos:note		rdfs:comment										notes and comments about an element intended primarily for external consumption	element				BasicSubset						True		string								
anonymous_class_expression		contributors	dcterms:contributor												agent that contributed to the element	element				BasicSubset						True		uriorcurie								
anonymous_class_expression		created_by	pav:createdBy												agent that created the element	element				BasicSubset								uriorcurie								
anonymous_class_expression		created_on	pav:createdOn												time at which the element was created	element				BasicSubset								datetime								
anonymous_class_expression		deprecated		owl:deprecated								note that linkml does not use a boolean to indicate deprecation status - the presence of a string value in this field is sufficient to indicate deprecation.			Description of why and when this element will no longer be used	element				BasicSubset								string								
anonymous_class_expression		deprecated element has exact replacement				IAO:0100001		deprecated_element_has_exact_replacement							When an element is deprecated, it can be automatically replaced by this uri or curie													uriorcurie								
anonymous_class_expression		deprecated element has possible replacement				OIO:consider		deprecated_element_has_possible_replacement							When an element is deprecated, it can be potentially replaced by this uri or curie													uriorcurie								
anonymous_class_expression		description	skos:definition		dcterms:description|schema:description				definition						a textual description of the element's purpose and use	element				BasicSubset								string		5.0		True				
anonymous_class_expression		exact mappings	skos:exactMatch					exact_mappings							A list of terms from different schemas or terminology systems that have identical meaning.						False		mappings			True		uriorcurie								
anonymous_class_expression		exactly_one_of			sh:xone										holds if only one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_class_expression		103.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_class_expression		examples		vann:example											example usages of an element	element				BasicSubset		True				True		example							example	
anonymous_class_expression		extensions													a tag/text tuple attached to an arbitrary element	extensible						True				True		extension								
anonymous_class_expression		from_schema	skos:inScheme												id of the schema that defined the element	element				SpecificationSubset							A stronger model would be range schema_definition, but this doesn't address the import model	uri			supplied by the schema loader or schema view					
anonymous_class_expression		imported_from													the imports entry that this element was derived from.  Empty means primary source	element												string			supplied by the schema loader or schema view					
anonymous_class_expression		in_language	schema:inLanguage									Recommended to use a string from IETF BCP 47	https://www.rfc-editor.org/rfc/bcp/bcp47.txt		the primary language used in the sources													string								
anonymous_class_expression		in_subset	OIO:inSubset									an example of use in the translator_minimal subset in the biolink model, holding the minimal set of predicates used in a translator knowledge graph			used to indicate membership of a term in a defined subset of terms used for a particular domain or application.	element				BasicSubset						True		subset_definition								
anonymous_class_expression		is_a					True								A primary parent class or slot from which inheritable metaslots are propagated from. While multiple inheritance is not allowed, mixins can be provided effectively providing the same thing. The semantics are the same when translated to formalisms that allow MI (e.g. RDFS/OWL). When translating to a SI framework (e.g. java classes, python classes) then is a is used. When translating a framework without polymorphism (e.g. json-schema, solr document schema) then is a and mixins are recursively unfolded					SpecificationSubset|BasicSubset|ObjectOrientedProfile|OwlProfile								definition		11.0						
anonymous_class_expression		keywords	schema:keywords												Keywords or tags used to describe the element	element				BasicSubset						True		string							keyword	
anonymous_class_expression		last_updated_on	pav:lastUpdatedOn												time at which the element was last updated	element				BasicSubset								datetime								
anonymous_class_expression		mappings	skos:mappingRelation						xrefs|identifiers|alternate identifiers|alternate ids						A list of terms from different schemas or terminology systems that have comparable meaning. These may include terms that are precisely equivalent, broader or narrower in meaning, or otherwise semantically related but not equivalent from a strict ontological perspective.											True		uriorcurie								
anonymous_class_expression		modified_by	oslc:modifiedBy												agent that modified the element	element				BasicSubset								uriorcurie								
anonymous_class_expression		narrow mappings	skos:narrowMatch					narrow_mappings							A list of terms from different schemas or terminology systems that have narrower meaning.						False		mappings			True		uriorcurie								
anonymous_class_expression		none_of			sh:not										holds if none of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_class_expression		105.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_class_expression		notes	skos:editorialNote												editorial notes about an element intended primarily for internal consumption	element				BasicSubset						True		string								
anonymous_class_expression		rank	sh:order		qudt:order|qb:order				order|precedence|display order			the rank of an element does not affect the semantics			the relative order in which the element occurs, lower values are given precedence					SpecificationSubset|BasicSubset								integer		51.0						
anonymous_class_expression		related mappings	skos:relatedMatch					related_mappings							A list of terms from different schemas or terminology systems that have related meaning.						False		mappings			True		uriorcurie								
anonymous_class_expression		see_also	rdfs:seeAlso												A list of related entities or URLs that may be of relevance	element				BasicSubset						True		uriorcurie								
anonymous_class_expression		slot_conditions													expresses constraints on a group of slots for a class expression	class_expression				SpecificationSubset		True				True		slot_definition								
anonymous_class_expression		source	dcterms:source	prov:wasDerivedFrom|schema:isBasedOn					origin|derived from			The described resource may be derived from the related resource in whole or in part			A related resource from which the element is derived.	element				BasicSubset								uriorcurie								
anonymous_class_expression		status	bibo:status						workflow status						status of the element	element	bibo:draft			BasicSubset								uriorcurie						https://www.hl7.org/fhir/valueset-publication-status.html|https://www.hl7.org/fhir/versions.html#std-process		
anonymous_class_expression		structured_aliases	skosxl:altLabel												A list of structured_alias objects, used to provide aliases in conjunction with additional metadata.							True				True		structured_alias						linkml:aliases		
anonymous_class_expression		title	dcterms:title						long name						A concise human-readable display label for the element. The title should mirror the name, and should use ordinary textual punctuation.	element				BasicSubset								string		3.0						
anonymous_class_expression		todos													Outstanding issues that needs resolution	element				BasicSubset						True		string								
anonymous_enum_expression		code_set													the identifier of an enumeration code set.	enum_expression				SpecificationSubset|BasicSubset								uriorcurie								
anonymous_enum_expression		code_set_tag										enum_expression cannot have both a code_set_tag and a code_set_version			the version tag of the enumeration code set	enum_expression				BasicSubset								string								
anonymous_enum_expression		code_set_version										we assume that version identifiers lexically sort in temporal order. Recommend semver when possible			the version identifier of the enumeration code set	enum_expression				BasicSubset								string								
anonymous_enum_expression		concepts													A list of identifiers that are used to construct a set of permissible values	enum_expression				SpecificationSubset						True		uriorcurie								
anonymous_enum_expression		include													An enum expression that yields a list of permissible values that are to be included, after subtracting the minus set	enum_expression				SpecificationSubset						True		anonymous_enum_expression								
anonymous_enum_expression		inherits										All permissible values for all inherited enums are copied to form the initial seed set			An enum definition that is used as the basis to create a new enum	enum_expression				SpecificationSubset						True		enum_definition								
anonymous_enum_expression		matches													Specifies a match query that is used to calculate the list of permissible values	enum_expression				SpecificationSubset								match_query								
anonymous_enum_expression		minus													An enum expression that yields a list of permissible values that are to be subtracted from the enum	enum_expression				SpecificationSubset						True		anonymous_enum_expression								
anonymous_enum_expression		permissible_values			cdisc:PermissibleValue				coded values						A list of possible values for a slot range	enum_expression				SpecificationSubset|BasicSubset		True				True		permissible_value								
anonymous_enum_expression		pv_formula										you cannot have BOTH the permissible_values and permissible_value_formula tag|code_set must be supplied for this to be valid			Defines the specific formula to be used to generate the permissible values.					SpecificationSubset|BasicSubset								pv_formula_options								
anonymous_enum_expression		reachable_from													Specifies a query for obtaining a list of permissible values based on graph reachability	enum_expression				SpecificationSubset								reachability_query								
anonymous_expression		aliases	skos:altLabel		schema:alternateName				synonyms|alternate names|alternative labels|designations			not be confused with the metaslot alias.			Alternate names/labels for the element. These do not alter the semantics of the schema, but may be useful to support search and alignment.	element				BasicSubset						True		string								
anonymous_expression		alt_descriptions							alternate definitions						A sourced alternative description for an element	element				BasicSubset		True				True		alt_description								
anonymous_expression		annotations													a collection of tag/text tuples with the semantics of OWL Annotation	annotatable						True	extensions			True		annotation								
anonymous_expression		broad mappings	skos:broadMatch					broad_mappings							A list of terms from different schemas or terminology systems that have broader meaning.						False		mappings			True		uriorcurie								
anonymous_expression		categories	dcterms:subject									if you wish to use uncontrolled terms or terms that lack identifiers then use the keywords element			Controlled terms used to categorize an element.					BasicSubset						True		uriorcurie							category	
anonymous_expression		close mappings	skos:closeMatch					close_mappings							A list of terms from different schemas or terminology systems that have close meaning.						False		mappings			True		uriorcurie								
anonymous_expression		comments	skos:note		rdfs:comment										notes and comments about an element intended primarily for external consumption	element				BasicSubset						True		string								
anonymous_expression		contributors	dcterms:contributor												agent that contributed to the element	element				BasicSubset						True		uriorcurie								
anonymous_expression		created_by	pav:createdBy												agent that created the element	element				BasicSubset								uriorcurie								
anonymous_expression		created_on	pav:createdOn												time at which the element was created	element				BasicSubset								datetime								
anonymous_expression		deprecated		owl:deprecated								note that linkml does not use a boolean to indicate deprecation status - the presence of a string value in this field is sufficient to indicate deprecation.			Description of why and when this element will no longer be used	element				BasicSubset								string								
anonymous_expression		deprecated element has exact replacement				IAO:0100001		deprecated_element_has_exact_replacement							When an element is deprecated, it can be automatically replaced by this uri or curie													uriorcurie								
anonymous_expression		deprecated element has possible replacement				OIO:consider		deprecated_element_has_possible_replacement							When an element is deprecated, it can be potentially replaced by this uri or curie													uriorcurie								
anonymous_expression		description	skos:definition		dcterms:description|schema:description				definition						a textual description of the element's purpose and use	element				BasicSubset								string		5.0		True				
anonymous_expression		exact mappings	skos:exactMatch					exact_mappings							A list of terms from different schemas or terminology systems that have identical meaning.						False		mappings			True		uriorcurie								
anonymous_expression		examples		vann:example											example usages of an element	element				BasicSubset		True				True		example							example	
anonymous_expression		extensions													a tag/text tuple attached to an arbitrary element	extensible						True				True		extension								
anonymous_expression		from_schema	skos:inScheme												id of the schema that defined the element	element				SpecificationSubset							A stronger model would be range schema_definition, but this doesn't address the import model	uri			supplied by the schema loader or schema view					
anonymous_expression		imported_from													the imports entry that this element was derived from.  Empty means primary source	element												string			supplied by the schema loader or schema view					
anonymous_expression		in_language	schema:inLanguage									Recommended to use a string from IETF BCP 47	https://www.rfc-editor.org/rfc/bcp/bcp47.txt		the primary language used in the sources													string								
anonymous_expression		in_subset	OIO:inSubset									an example of use in the translator_minimal subset in the biolink model, holding the minimal set of predicates used in a translator knowledge graph			used to indicate membership of a term in a defined subset of terms used for a particular domain or application.	element				BasicSubset						True		subset_definition								
anonymous_expression		keywords	schema:keywords												Keywords or tags used to describe the element	element				BasicSubset						True		string							keyword	
anonymous_expression		last_updated_on	pav:lastUpdatedOn												time at which the element was last updated	element				BasicSubset								datetime								
anonymous_expression		mappings	skos:mappingRelation						xrefs|identifiers|alternate identifiers|alternate ids						A list of terms from different schemas or terminology systems that have comparable meaning. These may include terms that are precisely equivalent, broader or narrower in meaning, or otherwise semantically related but not equivalent from a strict ontological perspective.											True		uriorcurie								
anonymous_expression		modified_by	oslc:modifiedBy												agent that modified the element	element				BasicSubset								uriorcurie								
anonymous_expression		narrow mappings	skos:narrowMatch					narrow_mappings							A list of terms from different schemas or terminology systems that have narrower meaning.						False		mappings			True		uriorcurie								
anonymous_expression		notes	skos:editorialNote												editorial notes about an element intended primarily for internal consumption	element				BasicSubset						True		string								
anonymous_expression		rank	sh:order		qudt:order|qb:order				order|precedence|display order			the rank of an element does not affect the semantics			the relative order in which the element occurs, lower values are given precedence					SpecificationSubset|BasicSubset								integer		51.0						
anonymous_expression		related mappings	skos:relatedMatch					related_mappings							A list of terms from different schemas or terminology systems that have related meaning.						False		mappings			True		uriorcurie								
anonymous_expression		see_also	rdfs:seeAlso												A list of related entities or URLs that may be of relevance	element				BasicSubset						True		uriorcurie								
anonymous_expression		source	dcterms:source	prov:wasDerivedFrom|schema:isBasedOn					origin|derived from			The described resource may be derived from the related resource in whole or in part			A related resource from which the element is derived.	element				BasicSubset								uriorcurie								
anonymous_expression		status	bibo:status						workflow status						status of the element	element	bibo:draft			BasicSubset								uriorcurie						https://www.hl7.org/fhir/valueset-publication-status.html|https://www.hl7.org/fhir/versions.html#std-process		
anonymous_expression		structured_aliases	skosxl:altLabel												A list of structured_alias objects, used to provide aliases in conjunction with additional metadata.							True				True		structured_alias						linkml:aliases		
anonymous_expression		title	dcterms:title						long name						A concise human-readable display label for the element. The title should mirror the name, and should use ordinary textual punctuation.	element				BasicSubset								string		3.0						
anonymous_expression		todos													Outstanding issues that needs resolution	element				BasicSubset						True		string								
anonymous_slot_expression		aliases	skos:altLabel		schema:alternateName				synonyms|alternate names|alternative labels|designations			not be confused with the metaslot alias.			Alternate names/labels for the element. These do not alter the semantics of the schema, but may be useful to support search and alignment.	element				BasicSubset						True		string								
anonymous_slot_expression		all_members													the value of the slot is multivalued with all members satisfying the condition					SpecificationSubset			list_value_specification_constant					anonymous_slot_expression								testing
anonymous_slot_expression		all_of			sh:and										holds if all of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_slot_expression		107.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_slot_expression		alt_descriptions							alternate definitions						A sourced alternative description for an element	element				BasicSubset		True				True		alt_description								
anonymous_slot_expression		annotations													a collection of tag/text tuples with the semantics of OWL Annotation	annotatable						True	extensions			True		annotation								
anonymous_slot_expression		any_of			sh:or										holds if at least one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_slot_expression		101.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_slot_expression		array													coerces the value of the slot into an array and defines the dimensions of that array	slot_definition					True							array_expression								testing
anonymous_slot_expression		bindings													"A collection of enum bindings that specify how a slot can be bound to a permissible value from an enumeration.
LinkML provides enums to allow string values to be restricted to one of a set of permissible values (specified statically or dynamically).
Enum bindings allow enums to be bound to any object, including complex nested objects. For example, given a (generic) class Concept with slots id and label, it may be desirable to restrict the values the id takes on in a given context. For example, a HumanSample class may have a slot for representing sample site, with a range of concept, but the values of that slot may be restricted to concepts from a particular branch of an anatomy ontology."	element				SpecificationSubset		True				True		enum_binding								testing
anonymous_slot_expression		broad mappings	skos:broadMatch					broad_mappings							A list of terms from different schemas or terminology systems that have broader meaning.						False		mappings			True		uriorcurie								
anonymous_slot_expression		categories	dcterms:subject									if you wish to use uncontrolled terms or terms that lack identifiers then use the keywords element			Controlled terms used to categorize an element.					BasicSubset						True		uriorcurie							category	
anonymous_slot_expression		close mappings	skos:closeMatch					close_mappings							A list of terms from different schemas or terminology systems that have close meaning.						False		mappings			True		uriorcurie								
anonymous_slot_expression		comments	skos:note		rdfs:comment										notes and comments about an element intended primarily for external consumption	element				BasicSubset						True		string								
anonymous_slot_expression		contributors	dcterms:contributor												agent that contributed to the element	element				BasicSubset						True		uriorcurie								
anonymous_slot_expression		created_by	pav:createdBy												agent that created the element	element				BasicSubset								uriorcurie								
anonymous_slot_expression		created_on	pav:createdOn												time at which the element was created	element				BasicSubset								datetime								
anonymous_slot_expression		deprecated		owl:deprecated								note that linkml does not use a boolean to indicate deprecation status - the presence of a string value in this field is sufficient to indicate deprecation.			Description of why and when this element will no longer be used	element				BasicSubset								string								
anonymous_slot_expression		deprecated element has exact replacement				IAO:0100001		deprecated_element_has_exact_replacement							When an element is deprecated, it can be automatically replaced by this uri or curie													uriorcurie								
anonymous_slot_expression		deprecated element has possible replacement				OIO:consider		deprecated_element_has_possible_replacement							When an element is deprecated, it can be potentially replaced by this uri or curie													uriorcurie								
anonymous_slot_expression		description	skos:definition		dcterms:description|schema:description				definition						a textual description of the element's purpose and use	element				BasicSubset								string		5.0		True				
anonymous_slot_expression		enum_range													An inlined enumeration					SpecificationSubset								enum_expression								testing
anonymous_slot_expression		equals_expression										for example, a 'length' slot may have an equals_expression with value '(end-start)+1'			the value of the slot must equal the value of the evaluated expression					SpecificationSubset	True		list_value_specification_constant					string						https://linkml.io/linkml/developers/inference.html|https://linkml.io/linkml/schemas/advanced.html#equals-expression		
anonymous_slot_expression		equals_number													the slot must have range of a number and the value of the slot must equal the specified value						True		list_value_specification_constant					integer								unstable
anonymous_slot_expression		equals_string													the slot must have range string and the value of the slot must equal the specified value					SpecificationSubset	True		list_value_specification_constant					string								
anonymous_slot_expression		equals_string_in													the slot must have range string and the value of the slot must equal one of the specified values					SpecificationSubset	True		list_value_specification_constant			True		string								testing
anonymous_slot_expression		exact mappings	skos:exactMatch					exact_mappings							A list of terms from different schemas or terminology systems that have identical meaning.						False		mappings			True		uriorcurie								
anonymous_slot_expression		exact_cardinality										if exact_cardinality is set, then minimum_cardinalty and maximum_cardinality must be unset or have the same value			the exact number of entries for a multivalued slot					SpecificationSubset	True		list_value_specification_constant					integer								
anonymous_slot_expression		exactly_one_of			sh:xone										holds if only one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_slot_expression		103.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_slot_expression		examples		vann:example											example usages of an element	element				BasicSubset		True				True		example							example	
anonymous_slot_expression		extensions													a tag/text tuple attached to an arbitrary element	extensible						True				True		extension								
anonymous_slot_expression		from_schema	skos:inScheme												id of the schema that defined the element	element				SpecificationSubset							A stronger model would be range schema_definition, but this doesn't address the import model	uri			supplied by the schema loader or schema view					
anonymous_slot_expression		has_member													the value of the slot is multivalued with at least one member satisfying the condition					SpecificationSubset			list_value_specification_constant					anonymous_slot_expression								testing
anonymous_slot_expression		implicit_prefix													Causes the slot value to be interpreted as a uriorcurie after prefixing with this string	slot_expression				SpecificationSubset								string								testing
anonymous_slot_expression		imported_from													the imports entry that this element was derived from.  Empty means primary source	element												string			supplied by the schema loader or schema view					
anonymous_slot_expression		in_language	schema:inLanguage									Recommended to use a string from IETF BCP 47	https://www.rfc-editor.org/rfc/bcp/bcp47.txt		the primary language used in the sources													string								
anonymous_slot_expression		in_subset	OIO:inSubset									an example of use in the translator_minimal subset in the biolink model, holding the minimal set of predicates used in a translator knowledge graph			used to indicate membership of a term in a defined subset of terms used for a particular domain or application.	element				BasicSubset						True		subset_definition								
anonymous_slot_expression		inlined										classes without keys or identifiers are necessarily inlined as lists|only applicable in tree-like serializations, e.g json, yaml			True means that keyed or identified slot appears in an outer structure by value.  False means that only the key or identifier for the slot appears within the domain, referencing a structure that appears elsewhere.	slot_definition				SpecificationSubset|BasicSubset	True							boolean		25.0				https://w3id.org/linkml/docs/specification/06mapping/#collection-forms|https://linkml.io/linkml/schemas/inlining.html		
anonymous_slot_expression		inlined_as_list										"The default loader will accept either list or dictionary form as input.  This parameter controls internal
representation and output.|A keyed or identified class with one additional slot can be input in a third form, a dictionary whose key
is the key or identifier and whose value is the one additional element.  This form is still stored according
to the inlined_as_list setting."			True means that an inlined slot is represented as a list of range instances.  False means that an inlined slot is represented as a dictionary, whose key is the slot key or identifier and whose value is the range instance.	slot_definition				SpecificationSubset|BasicSubset	True							boolean		27.0				https://w3id.org/linkml/docs/specification/06mapping/#collection-forms|https://linkml.io/linkml/schemas/inlining.html		
anonymous_slot_expression		keywords	schema:keywords												Keywords or tags used to describe the element	element				BasicSubset						True		string							keyword	
anonymous_slot_expression		last_updated_on	pav:lastUpdatedOn												time at which the element was last updated	element				BasicSubset								datetime								
anonymous_slot_expression		mappings	skos:mappingRelation						xrefs|identifiers|alternate identifiers|alternate ids						A list of terms from different schemas or terminology systems that have comparable meaning. These may include terms that are precisely equivalent, broader or narrower in meaning, or otherwise semantically related but not equivalent from a strict ontological perspective.											True		uriorcurie								
anonymous_slot_expression		maximum_cardinality										maximum_cardinality cannot be less than minimum_cardinality			the maximum number of entries for a multivalued slot					SpecificationSubset	True		list_value_specification_constant					integer								
anonymous_slot_expression		maximum_value							high value						For ordinal ranges, the value must be equal to or lower than this	slot_definition				SpecificationSubset|BasicSubset	True						"Range to be refined to an ""Ordinal"" metaclass - see https://github.com/linkml/linkml/issues/1384#issuecomment-1892721142"	Anything								
anonymous_slot_expression		minimum_cardinality										minimum_cardinality cannot be greater than maximum_cardinality			the minimum number of entries for a multivalued slot					SpecificationSubset	True		list_value_specification_constant					integer								
anonymous_slot_expression		minimum_value							low value						For ordinal ranges, the value must be equal to or higher than this	slot_definition				SpecificationSubset|BasicSubset	True						"Range to be refined to an ""Ordinal"" metaclass - see https://github.com/linkml/linkml/issues/1384#issuecomment-1892721142"	Anything								
anonymous_slot_expression		modified_by	oslc:modifiedBy												agent that modified the element	element				BasicSubset								uriorcurie								
anonymous_slot_expression		multivalued													true means that slot can have more than one value and should be represented using a list or collection structure.	slot_definition				SpecificationSubset|MinimalSubset|BasicSubset|ObjectOrientedProfile	True							boolean		7.0						
anonymous_slot_expression		narrow mappings	skos:narrowMatch					narrow_mappings							A list of terms from different schemas or terminology systems that have narrower meaning.						False		mappings			True		uriorcurie								
anonymous_slot_expression		none_of			sh:not										holds if none of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_slot_expression		105.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_slot_expression		notes	skos:editorialNote												editorial notes about an element intended primarily for internal consumption	element				BasicSubset						True		string								
anonymous_slot_expression		pattern													the string value of the slot must conform to this regular expression expressed in the string	definition				SpecificationSubset|BasicSubset	True							string		35.0						
anonymous_slot_expression		range							value domain			range is underspecified, as not all elements can appear as the range of a slot.|to use a URI or CURIE as the range, create a class with the URI or curie as the class_uri			"defines the type of the object of the slot.  Given the following slot definition
  S1:
    domain: C1
    range:  C2
the declaration
  X:
    S1: Y

implicitly asserts Y is an instance of C2
"	slot_definition			default_range	SpecificationSubset|MinimalSubset|BasicSubset|RelationalModelProfile|ObjectOrientedProfile	True							element								
anonymous_slot_expression		range_expression										one use for this is being able to describe a range using any_of expressions, for example to combine two enums			A range that is described as a boolean expression combining existing ranges	slot_expression				SpecificationSubset								anonymous_class_expression								testing
anonymous_slot_expression		rank	sh:order		qudt:order|qb:order				order|precedence|display order			the rank of an element does not affect the semantics			the relative order in which the element occurs, lower values are given precedence					SpecificationSubset|BasicSubset								integer		51.0						
anonymous_slot_expression		recommended										This is to be used where not all data is expected to conform to having a required field|If a slot is recommended, and it is not populated, applications must not treat this as an error. Applications may use this to inform the user of missing data			true means that the slot should be present in instances of the class definition, but this is not required	slot_definition				SpecificationSubset|BasicSubset	True							boolean		9.0				https://github.com/linkml/linkml/issues/177		
anonymous_slot_expression		related mappings	skos:relatedMatch					related_mappings							A list of terms from different schemas or terminology systems that have related meaning.						False		mappings			True		uriorcurie								
anonymous_slot_expression		required													true means that the slot must be present in instances of the class definition	slot_definition				SpecificationSubset|MinimalSubset|BasicSubset|RelationalModelProfile|ObjectOrientedProfile	True							boolean		8.0						
anonymous_slot_expression		see_also	rdfs:seeAlso												A list of related entities or URLs that may be of relevance	element				BasicSubset						True		uriorcurie								
anonymous_slot_expression		source	dcterms:source	prov:wasDerivedFrom|schema:isBasedOn					origin|derived from			The described resource may be derived from the related resource in whole or in part			A related resource from which the element is derived.	element				BasicSubset								uriorcurie								
anonymous_slot_expression		status	bibo:status						workflow status						status of the element	element	bibo:draft			BasicSubset								uriorcurie						https://www.hl7.org/fhir/valueset-publication-status.html|https://www.hl7.org/fhir/versions.html#std-process		
anonymous_slot_expression		structured_aliases	skosxl:altLabel												A list of structured_alias objects, used to provide aliases in conjunction with additional metadata.							True				True		structured_alias						linkml:aliases		
anonymous_slot_expression		structured_pattern													the string value of the slot must conform to the regular expression in the pattern expression	definition				SpecificationSubset	True							pattern_expression						https://linkml.io/linkml/schemas/constraints.html#structured-patterns		
anonymous_slot_expression		title	dcterms:title						long name						A concise human-readable display label for the element. The title should mirror the name, and should use ordinary textual punctuation.	element				BasicSubset								string		3.0						
anonymous_slot_expression		todos													Outstanding issues that needs resolution	element				BasicSubset						True		string								
anonymous_slot_expression		unit	qudt:unit												an encoding of a unit													UnitOfMeasure								
anonymous_slot_expression		value_presence										if set to true this has the same effect as required=true. In contrast, required=false allows a value to be present			if PRESENT then a value must be present (for lists there must be at least one value). If ABSENT then a value must be absent (for lists, must be empty)	slot_definition					True		list_value_specification_constant					presence_enum								unstable
anonymous_type_expression		all_of			sh:and										holds if all of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_type_expression		107.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_type_expression		any_of			sh:or										holds if at least one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_type_expression		101.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
anonymous_type_expression		equals_number													the slot must have range of a number and the value of the slot must equal the specified value						True		list_value_specification_constant					integer								unstable
anonymous_type_expression		equals_string													the slot must have range string and the value of the slot must equal the specified value					SpecificationSubset	True		list_value_specification_constant					string								
anonymous_type_expression		equals_string_in													the slot must have range string and the value of the slot must equal one of the specified values					SpecificationSubset	True		list_value_specification_constant			True		string								testing
anonymous_type_expression		exactly_one_of			sh:xone										holds if only one of the expressions hold					SpecificationSubset			boolean_slot			True		anonymous_type_expression		103.0				https://w3id.org/linkml/docs/specification/05validation/#rules		
