projectGoldId	sequencingStrategy	projectStatus	studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	sraExperimentIds
Gp0619561	Targeted Gene Survey	incomplete	Gs0154244	Gb0297369	PRJEB42019	SAMEA7723610	ERX4805575|ERX4804133|ERX4803604|ERX4805270|ERX4806704|ERX4807286|ERX4809687
Gp0578140	Metagenome	incomplete	Gs0154244	Gb0297369	PRJEB42019	SAMEA7723610	ERX4812380|ERX4813738|ERX4811101|ERX4812951
Gp0578173	Metagenome	incomplete	Gs0154244	Gb0297373	PRJEB42019	SAMEA7723674	ERX4811239|ERX4814001|ERX4812518|ERX4813214
Gp0619622	Targeted Gene Survey	incomplete	Gs0154244	Gb0297373	PRJEB42019	SAMEA7723674	ERX4806773|ERX4805661|ERX4804218|ERX4805339|ERX4807355|ERX4803673
Gp0619798	Targeted Gene Survey	incomplete	Gs0154244	Gb0297392	PRJEB42019	SAMEA7723898	ERX4804919|ERX4804134|ERX4805979|ERX4806944|ERX4807764|ERX4805576
Gp0578337	Metagenome	incomplete	Gs0154244	Gb0297392	PRJEB42019	SAMEA7723898	ERX4813739|ERX4812381|ERX4812952|ERX4811102
Gp0578413	Metagenome	incomplete	Gs0154244	Gb0297468	PRJEB42019	SAMEA7724063	ERX4812825|ERX4811546|ERX4813602|ERX4814389
Gp0619945	Targeted Gene Survey	incomplete	Gs0154244	Gb0297468	PRJEB42019	SAMEA7724063	ERX4805212|ERX4804453|ERX4805891|ERX4806271|ERX4807829|ERX4807235
Gp0577691	Metagenome	incomplete	Gs0154244	Gb0297327	PRJEB42019	SAMEA7723424	ERX4812954|ERX4812383|ERX4811104|ERX4813741
Gp0619393	Targeted Gene Survey	incomplete	Gs0154244	Gb0297327	PRJEB42019	SAMEA7723424	ERX4807678|ERX4806520|ERX4805980|ERX4807867|ERX4803845|ERX4803413|ERX4806945|ERX4804920|ERX4805578|ERX4807478|ERX4804136
Gp0578374	Metagenome	incomplete	Gs0154244	Gb0297429	PRJEB42019	SAMEA7723973	ERX4812636|ERX4813374|ERX4814161|ERX4811357
Gp0619855	Targeted Gene Survey	incomplete	Gs0154244	Gb0297429	PRJEB42019	SAMEA7723973	ERX4807118|ERX4804285|ERX4809717|ERX4806153|ERX4805094|ERX4805725
Gp0578389	Metagenome	incomplete	Gs0154244	Gb0297444	PRJEB42019	SAMEA7724023	ERX4811495|ERX4812774
Gp0619905	Targeted Gene Survey	incomplete	Gs0154244	Gb0297444	PRJEB42019	SAMEA7724023	ERX4807814|ERX4805827|ERX4804389
Gp0578345	Metagenome	incomplete	Gs0154244	Gb0297400	PRJEB42019	SAMEA7723934	ERX4812509|ERX4813205|ERX4811230|ERX4813992
Gp0619822	Targeted Gene Survey	incomplete	Gs0154244	Gb0297400	PRJEB42019	SAMEA7723934	ERX4805025|ERX4805651|ERX4807966|ERX4807050|ERX4806084|ERX4804208
Gp0578401	Metagenome	incomplete	Gs0154244	Gb0297456	PRJEB42019	SAMEA7724039	ERX4811507|ERX4812786
Gp0619921	Targeted Gene Survey	incomplete	Gs0154244	Gb0297456	PRJEB42019	SAMEA7724039	ERX4804405|ERX4805843|ERX4809840
Gp0619923	Targeted Gene Survey	incomplete	Gs0154244	Gb0297458	PRJEB42019	SAMEA7724041	ERX4804407|ERX4805845|ERX4809841
Gp0578403	Metagenome	incomplete	Gs0154244	Gb0297458	PRJEB42019	SAMEA7724041	ERX4811509|ERX4812788
Gp0578405	Metagenome	incomplete	Gs0154244	Gb0297460	PRJEB42019	SAMEA7724055	ERX4814374|ERX4812811|ERX4811532|ERX4813587
Gp0619937	Targeted Gene Survey	incomplete	Gs0154244	Gb0297460	PRJEB42019	SAMEA7724055	ERX4806257|ERX4805198|ERX4809749|ERX4804438|ERX4807221|ERX4805876
Gp0619555	Targeted Gene Survey	incomplete	Gs0154244	Gb0297367	PRJEB42019	SAMEA7723604	ERX4805264|ERX4807757|ERX4807280|ERX4804091|ERX4803598|ERX4806698
Gp0578126	Metagenome	incomplete	Gs0154244	Gb0297367	PRJEB42019	SAMEA7723604	ERX4812911|ERX4811062|ERX4813698|ERX4812341
Gp0578428	Metagenome	incomplete	Gs0154244	Gb0297483	PRJEB42019	SAMEA7724381	ERX4814338|ERX4813551
Gp0620096	Targeted Gene Survey	incomplete	Gs0154244	Gb0297483	PRJEB42019	SAMEA7724381	ERX4806231|ERX4807195|ERX4805172
Gp0577513	Metagenome	incomplete	Gs0154244	Gb0297315	PRJEB42019	SAMEA7723401	ERX4812902|ERX4811053|ERX4812332|ERX4813689
Gp0619370	Targeted Gene Survey	incomplete	Gs0154244	Gb0297315	PRJEB42019	SAMEA7723401	ERX4806498|ERX4805938|ERX4803390|ERX4803822|ERX4805527|ERX4804082|ERX4806901|ERX4804876|ERX4809676|ERX4807455
Gp0577584	Metagenome	incomplete	Gs0154244	Gb0297321	PRJEB42019	SAMEA7723418	ERX4812944|ERX4812373|ERX4811094|ERX4813731
Gp0619387	Targeted Gene Survey	incomplete	Gs0154244	Gb0297321	PRJEB42019	SAMEA7723418	ERX4807865|ERX4803839|ERX4805570|ERX4803407|ERX4806937|ERX4807472|ERX4804912|ERX4806515|ERX4804126|ERX4807676|ERX4805972
Gp0619592	Targeted Gene Survey	incomplete	Gs0154244	Gb0315925	PRJEB42019	SAMEA7723644	ERX4807325|ERX4804585|ERX4805309|ERX4803643|ERX4806743
Gp0619019	Metagenome	Permanent Draft	Gs0154244	Gb0315925	PRJEB42019	SAMEA7723644	ERX4814507|ERX4813107|ERX4813894
Gp0619021	Metagenome	Permanent Draft	Gs0154244	Gb0315927	PRJEB42019	SAMEA7723646	ERX4814509|ERX4813109|ERX4813896
Gp0619594	Targeted Gene Survey	incomplete	Gs0154244	Gb0315927	PRJEB42019	SAMEA7723646	ERX4805311|ERX4807327|ERX4803645|ERX4806745|ERX4804587
Gp0618828	Metagenome	Permanent Draft	Gs0154244	Gb0315734	PRJEB42019	SAMEA7723865	ERX4813678|ERX4811043|ERX4812891
Gp0619765	Targeted Gene Survey	incomplete	Gs0154244	Gb0315734	PRJEB42019	SAMEA7723865	ERX4804871|ERX4805516|ERX4804071|ERX4805933|ERX4807662|ERX4806896|ERX4807852
Gp0619867	Targeted Gene Survey	incomplete	Gs0154244	Gb0315970	PRJEB42019	SAMEA7723985	ERX4807138|ERX4806173|ERX4804307|ERX4805747|ERX4809721|ERX4805114
Gp0619064	Metagenome	Permanent Draft	Gs0154244	Gb0315970	PRJEB42019	SAMEA7723985	ERX4813396|ERX4814584|ERX4814183|ERX4812656|ERX4811377
Gp0619069	Metagenome	Permanent Draft	Gs0154244	Gb0315975	PRJEB42019	SAMEA7723990	ERX4814591|ERX4812663|ERX4814190|ERX4813403|ERX4811384
Gp0619872	Targeted Gene Survey	incomplete	Gs0154244	Gb0315975	PRJEB42019	SAMEA7723990	ERX4805121|ERX4806180|ERX4807145|ERX4804314|ERX4805754|ERX4809722
Gp0618852	Metagenome	Permanent Draft	Gs0154244	Gb0315758	PRJEB42019	SAMEA7723599	ERX4812296|ERX4812864|ERX4813651|ERX4811016
Gp0619550	Targeted Gene Survey	incomplete	Gs0154244	Gb0315758	PRJEB42019	SAMEA7723599	ERX4805255|ERX4804044|ERX4807934|ERX4807271|ERX4806690|ERX4803589|ERX4805489
Gp0618854	Metagenome	Permanent Draft	Gs0154244	Gb0315760	PRJEB42019	SAMEA7723601	ERX4812308|ERX4811028|ERX4812876|ERX4813663
Gp0619552	Targeted Gene Survey	incomplete	Gs0154244	Gb0315760	PRJEB42019	SAMEA7723601	ERX4804056|ERX4803595|ERX4806695|ERX4805261|ERX4807750|ERX4807277|ERX4805501
Gp0619565	Targeted Gene Survey	incomplete	Gs0154244	Gb0315898	PRJEB42019	SAMEA7723617	ERX4803616|ERX4805282|ERX4806716|ERX4807298|ERX4806314|ERX4804532
Gp0618992	Metagenome	Permanent Draft	Gs0154244	Gb0315898	PRJEB42019	SAMEA7723617	ERX4813055|ERX4813842|ERX4814455
Gp0619023	Metagenome	Permanent Draft	Gs0154244	Gb0315929	PRJEB42019	SAMEA7723648	ERX4813900|ERX4814513|ERX4813113
Gp0619596	Targeted Gene Survey	incomplete	Gs0154244	Gb0315929	PRJEB42019	SAMEA7723648	ERX4807329|ERX4804592|ERX4803647|ERX4806747|ERX4805313
Gp0619782	Targeted Gene Survey	incomplete	Gs0154244	Gb0315790	PRJEB42019	SAMEA7723882	ERX4805542|ERX4809778|ERX4804099|ERX4805948|ERX4804887|ERX4806912
Gp0618884	Metagenome	Permanent Draft	Gs0154244	Gb0315790	PRJEB42019	SAMEA7723882	ERX4812916|ERX4813703|ERX4811067|ERX4812346
Gp0619041	Metagenome	Permanent Draft	Gs0154244	Gb0315947	PRJEB42019	SAMEA7723666	ERX4813151|ERX4813938|ERX4814551
Gp0619614	Targeted Gene Survey	incomplete	Gs0154244	Gb0315947	PRJEB42019	SAMEA7723666	ERX4807347|ERX4805331|ERX4803665|ERX4804630|ERX4806765
Gp0619523	Targeted Gene Survey	incomplete	Gs0154244	Gb0315476	PRJEB42019	SAMEA7723572	ERX4803561|ERX4807248|ERX4805227
Gp0619534	Targeted Gene Survey	incomplete	Gs0154244	Gb0315487	PRJEB42019	SAMEA7723583	ERX4803572|ERX4805238|ERX4807258
Gp0619716	Targeted Gene Survey	incomplete	Gs0154244	Gb0315513	PRJEB42019	SAMEA7723816	ERX4807644|ERX4805451|ERX4807836|ERX4804006
Gp0620117	Targeted Gene Survey	incomplete	Gs0154244	Gb0315594	PRJEB42019	SAMEA7724402	ERX4806287
Gp0619537	Targeted Gene Survey	incomplete	Gs0154244	Gb0315490	PRJEB42019	SAMEA7723586	ERX4805241|ERX4807260|ERX4803575
Gp0619729	Targeted Gene Survey	incomplete	Gs0154244	Gb0315526	PRJEB42019	SAMEA7723829	ERX4805464|ERX4804019|ERX4809766
Gp0619972	Targeted Gene Survey	incomplete	Gs0154244	Gb0315555	PRJEB42019	SAMEA7724090	ERX4804481
Gp0620136	Targeted Gene Survey	incomplete	Gs0154244	Gb0315613	PRJEB42019	SAMEA7724426	ERX4806673
Gp0618863	Metagenome	Permanent Draft	Gs0154244	Gb0315769	PRJEB42019	SAMEA7723852	ERX4812868|ERX4811020|ERX4812300|ERX4813655
Gp0619752	Targeted Gene Survey	incomplete	Gs0154244	Gb0315769	PRJEB42019	SAMEA7723852	ERX4805919|ERX4806881|ERX4807748|ERX4805493|ERX4804856|ERX4804048
Gp0618779	Metagenome	Permanent Draft	Gs0154244	Gb0315685	PRJEB42019	SAMEA7724233	ERX4812538|ERX4814022|ERX4811259|ERX4813235
Gp0620054	Targeted Gene Survey	incomplete	Gs0154244	Gb0315685	PRJEB42019	SAMEA7724233	ERX4805047|ERX4804695|ERX4807072|ERX4806106
Gp0619949	Targeted Gene Survey	incomplete	Gs0154244	Gb0315703	PRJEB42019	SAMEA7724067	ERX4804458
Gp0619380	Targeted Gene Survey	incomplete	Gs0154244	Gb0315859	PRJEB42019	SAMEA7723411	ERX4805960|ERX4806508|ERX4809781|ERX4806924|ERX4804899|ERX4803832|ERX4803400|ERX4805556|ERX4807465|ERX4804113
Gp0618953	Metagenome	Permanent Draft	Gs0154244	Gb0315859	PRJEB42019	SAMEA7723411	ERX4813717|ERX4811080|ERX4814438|ERX4812359|ERX4812930
Gp0619753	Targeted Gene Survey	incomplete	Gs0154244	Gb0315770	PRJEB42019	SAMEA7723853	ERX4806883|ERX4804054|ERX4807936|ERX4804858|ERX4805921|ERX4805499
Gp0618864	Metagenome	Permanent Draft	Gs0154244	Gb0315770	PRJEB42019	SAMEA7723853	ERX4812306|ERX4813661|ERX4811026|ERX4812874
Gp0618946	Metagenome	Permanent Draft	Gs0154244	Gb0315852	PRJEB42019	SAMEA7724013	ERX4812757|ERX4811478
Gp0619895	Targeted Gene Survey	incomplete	Gs0154244	Gb0315852	PRJEB42019	SAMEA7724013	ERX4804372|ERX4808000|ERX4805810
Gp0618996	Metagenome	Permanent Draft	Gs0154244	Gb0315902	PRJEB42019	SAMEA7723621	ERX4813063|ERX4814463|ERX4813850
Gp0619569	Targeted Gene Survey	incomplete	Gs0154244	Gb0315902	PRJEB42019	SAMEA7723621	ERX4804540|ERX4805286|ERX4803620|ERX4806720|ERX4807302
Gp0618999	Metagenome	Permanent Draft	Gs0154244	Gb0315905	PRJEB42019	SAMEA7723624	ERX4813070|ERX4813857|ERX4814470
Gp0619572	Targeted Gene Survey	incomplete	Gs0154244	Gb0315905	PRJEB42019	SAMEA7723624	ERX4805289|ERX4807305|ERX4803623|ERX4804547|ERX4806723
Gp0619451	Targeted Gene Survey	incomplete	Gs0154244	Gb0315645	PRJEB42019	SAMEA7723500	ERX4805078|ERX4809814|ERX4806595|ERX4803921|ERX4805712|ERX4807552|ERX4803489|ERX4807102|ERX4804268|ERX4806137
Gp0618739	Metagenome	Permanent Draft	Gs0154244	Gb0315645	PRJEB42019	SAMEA7723500	ERX4813307|ERX4814094|ERX4811310|ERX4812589
Gp0618770	Metagenome	Permanent Draft	Gs0154244	Gb0315676	PRJEB42019	SAMEA7723677	ERX4812527|ERX4814010|ERX4811248|ERX4813223
Gp0619625	Targeted Gene Survey	incomplete	Gs0154244	Gb0315676	PRJEB42019	SAMEA7723677	ERX4804683|ERX4807358|ERX4805342|ERX4803676|ERX4806776
Gp0619627	Targeted Gene Survey	incomplete	Gs0154244	Gb0315683	PRJEB42019	SAMEA7723679	ERX4804694|ERX4805344|ERX4807360|ERX4803678|ERX4806778|ERX4806404
Gp0618777	Metagenome	Permanent Draft	Gs0154244	Gb0315683	PRJEB42019	SAMEA7723679	ERX4814021|ERX4812537|ERX4811258|ERX4813234
Gp0618780	Metagenome	Permanent Draft	Gs0154244	Gb0315686	PRJEB42019	SAMEA7723680	ERX4813242|ERX4811266|ERX4814029|ERX4812545
Gp0619628	Targeted Gene Survey	incomplete	Gs0154244	Gb0315686	PRJEB42019	SAMEA7723680	ERX4803683|ERX4806783|ERX4806409|ERX4804702|ERX4805349|ERX4807365
Gp0619629	Targeted Gene Survey	incomplete	Gs0154244	Gb0315445	PRJEB42019	SAMEA7723681	ERX4806785|ERX4805351|ERX4804704|ERX4807367|ERX4803685
Gp0618539	Metagenome	Permanent Draft	Gs0154244	Gb0315445	PRJEB42019	SAMEA7723681	ERX4814031|ERX4812547|ERX4813244|ERX4811268
Gp0618930	Metagenome	incomplete	Gs0154244	Gb0315836	PRJEB42019	SAMEA7723724	ERX4814318|ERX4813531
Gp0619672	Targeted Gene Survey	incomplete	Gs0154244	Gb0315836	PRJEB42019	SAMEA7723724	ERX4803738|ERX4807419|ERX4805404
Gp0619046	Metagenome	Permanent Draft	Gs0154244	Gb0315952	PRJEB42019	SAMEA7723683	ERX4814582|ERX4813394|ERX4814181|ERX4811375|ERX4812654
Gp0619631	Targeted Gene Survey	incomplete	Gs0154244	Gb0315952	PRJEB42019	SAMEA7723683	ERX4807799|ERX4803694|ERX4806794|ERX4805360|ERX4804305|ERX4805745|ERX4807376
Gp0619047	Metagenome	incomplete	Gs0154244	Gb0315953	PRJEB42019	SAMEA7723684	ERX4814615|ERX4813427|ERX4814214
Gp0619632	Targeted Gene Survey	incomplete	Gs0154244	Gb0315953	PRJEB42019	SAMEA7723684	ERX4806796|ERX4805362|ERX4809827|ERX4804338|ERX4805778|ERX4807378|ERX4803696
Gp0619472	Targeted Gene Survey	incomplete	Gs0154244	Gb0315879	PRJEB42019	SAMEA7723521	ERX4805751|ERX4807801|ERX4806177|ERX4806616|ERX4807142|ERX4807573|ERX4803942|ERX4805118|ERX4803510|ERX4804311
Gp0618973	Metagenome	Permanent Draft	Gs0154244	Gb0315879	PRJEB42019	SAMEA7723521	ERX4814187|ERX4811381|ERX4812660|ERX4814588|ERX4813400
Gp0620007	Targeted Gene Survey	incomplete	Gs0154244	Gb0315999	PRJEB42019	SAMEA7724152	ERX4804559|ERX4806329
Gp0619093	Metagenome	Permanent Draft	Gs0154244	Gb0315999	PRJEB42019	SAMEA7724152	ERX4814482|ERX4813082|ERX4813869
Gp0620023	Targeted Gene Survey	incomplete	Gs0154244	Gb0316015	PRJEB42019	SAMEA7724168	ERX4804596|ERX4807018|ERX4806353|ERX4806052|ERX4804993
Gp0619109	Metagenome	Permanent Draft	Gs0154244	Gb0316015	PRJEB42019	SAMEA7724168	ERX4813904|ERX4814517|ERX4813117
Gp0619646	Targeted Gene Survey	incomplete	Gs0154244	Gb0315810	PRJEB42019	SAMEA7723698	ERX4804828|ERX4806481|ERX4803712|ERX4807394|ERX4806812|ERX4805378
Gp0618904	Metagenome	Permanent Draft	Gs0154244	Gb0315810	PRJEB42019	SAMEA7723698	ERX4813504|ERX4814291|ERX4811475|ERX4812754
Gp0619652	Targeted Gene Survey	incomplete	Gs0154244	Gb0315816	PRJEB42019	SAMEA7723704	ERX4803718|ERX4805384|ERX4806818|ERX4806483|ERX4804830|ERX4807400
Gp0618910	Metagenome	Permanent Draft	Gs0154244	Gb0315816	PRJEB42019	SAMEA7723704	ERX4814297|ERX4811485|ERX4812764|ERX4813510
Gp0619992	Targeted Gene Survey	incomplete	Gs0154244	Gb0315984	PRJEB42019	SAMEA7724137	ERX4804980|ERX4804534|ERX4806039|ERX4807005
Gp0619078	Metagenome	Permanent Draft	Gs0154244	Gb0315984	PRJEB42019	SAMEA7724137	ERX4814457|ERX4813844|ERX4813057
Gp0620005	Targeted Gene Survey	incomplete	Gs0154244	Gb0315997	PRJEB42019	SAMEA7724150	ERX4804556
Gp0619091	Metagenome	Permanent Draft	Gs0154244	Gb0315997	PRJEB42019	SAMEA7724150	ERX4814479|ERX4813866|ERX4813079
Gp0619660	Targeted Gene Survey	incomplete	Gs0154244	Gb0315824	PRJEB42019	SAMEA7723712	ERX4807408|ERX4803726|ERX4805392|ERX4806826
Gp0618918	Metagenome	incomplete	Gs0154244	Gb0315824	PRJEB42019	SAMEA7723712	ERX4813518|ERX4814305
Gp0619669	Targeted Gene Survey	incomplete	Gs0154244	Gb0315833	PRJEB42019	SAMEA7723721	ERX4807416|ERX4803735|ERX4806835|ERX4805401
Gp0618927	Metagenome	Permanent Draft	Gs0154244	Gb0315833	PRJEB42019	SAMEA7723721	ERX4813527|ERX4814314
Gp0619131	Metagenome	Permanent Draft	Gs0154244	Gb0316037	PRJEB42019	SAMEA7724190	ERX4813945|ERX4814558|ERX4813158
Gp0620045	Targeted Gene Survey	incomplete	Gs0154244	Gb0316037	PRJEB42019	SAMEA7724190	ERX4806376|ERX4807040|ERX4806074|ERX4804637|ERX4805015
Gp0619676	Targeted Gene Survey	incomplete	Gs0154244	Gb0315840	PRJEB42019	SAMEA7723728	ERX4805408|ERX4803742|ERX4807423|ERX4806841
Gp0618934	Metagenome	Permanent Draft	Gs0154244	Gb0315840	PRJEB42019	SAMEA7723728	ERX4813535|ERX4814322
Gp0618937	Metagenome	Permanent Draft	Gs0154244	Gb0315843	PRJEB42019	SAMEA7723731	ERX4813538|ERX4814325
