	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score
farm_equip	False		2	False	string																																																																																																																																				True																																																																													True						True																																																																																																																																																																																																					-3	-1.5
farm_equip_san	False	True	3	False	string																																																																																														True																																																																																																																			True						True																																																																																																																								True																																																																													-1	-0.3333333333333333
farm_equip_san_freq	False		4	False	string																																																																																																																																																																																																																	True						True									True																																																																																																															True																																																																													-2	-0.5
farm_equip_shared	False		3	False	string																																																																																																																																				True																																																																													True						True																																																																																																																																					True																																																																-4	-1.3333333333333333
farm_water_source	True		3	False	FarmWaterSourceEnum																																																																																																																																																																																																																							True																																																																																																																																														True																																																True							-2	-0.6666666666666666
feat_pred	False		2	False	string																																																																																																																																			True																																																																																					True																																																																																																True																																																																																																				-2	-1.0
ferm_chem_add	False		3	False	string																																																																																																																																												True																												True																																																	True																																																																																																																																																																																																			0	0.0
ferm_chem_add_perc	False	True	4	False	float																																																																																																			True																																									True																												True																																																	True																																																																																																																																																																																																			1	0.25
ferm_headspace_oxy	False	True	3	False	float																																																																																																			True																																																																																																																						True																																																																												True																																																																																																																							1	0.3333333333333333
ferm_medium	False		2	False	string																																																																																																																																																																																																																									True																																																					True																																																																																																																																														-1	-0.5
ferm_pH	False		2	False	float																																																																																																																																																																																																																									True																																																																														True																																																																																																																					-1	-0.5
ferm_rel_humidity	False	True	3	False	string																																																																																																			True																															True																																																																																							True																							True																																																																																							True																																																																																					3	1.0
ferm_temp	False	True	2	False	string																			True																																																																																																															True																																																																																							True																																																																																																																																																																					True																														3	1.5
ferm_time	False	True	2	False	string																	True																																																																																																							True																																																																																																	True																																																																																																																																																																									True																										3	1.5
ferm_vessel	False		2	False	string																																																																																																																																																																																																																									True																																																																																																																																																																																																			0	0.0
fertilizer_admin	False		2	False	string																																																																																																																																				True									True																																																																													True																																																																																																																																																																																																		-1	-0.5
fertilizer_date	False		2	False	datetime																																																																																																																																																																																														True																												True																																																																																																																																																																																																		-1	-0.5
fertilizer_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																				True																																																																																																												True																																																																																						0	0.0
field	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
filter_type	True		2	False	FilterTypeEnum																																																																																																																																																																																																																																																																																																																																																																																																												True																-2	-1.0
fire	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
fireplace_type	True		2	False	FireplaceTypeEnum																																																																																																																																																																																																																																																																																																																																																																																																												True																-2	-1.0
flooding	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
floor_age	False	True	2	True	string																	True																																																																																											True		True																				True												True																																																																														True																																																																																																																																																																																																4	2.0
floor_area	False	True	2	True	string																																																																																																									True																									True																						True																																																																				True																																																																																																																																																																																																4	2.0
floor_cond	True		2	False	DamagedEnum																																																																																																																																																																																True																																												True																																																																																																																																																																																																-2	-1.0
floor_count	False		2	False	integer																																																																																																																																																																																								True																																				True																																																																																																																																																																																																0	0.0
floor_finish_mat	False		3	False	string																																																																																																																																																																																																																											True	True																																													True																																																																																																																																																			-2	-0.6666666666666666
floor_struc	True		2	False	FloorStrucEnum																																																																																																																																																																																																																												True																																																																																																																																																						True																																										-1	-0.5
floor_thermal_mass	False	True	3	True	string																																								True																																																																																										True																																																																																										True																																												True																																																																																																																								True																												5	1.6666666666666667
floor_water_mold	True		3	False	FloorWaterMoldEnum																																																																																																																																																																																																																												True																																																										True																																																																																																																															True							-2	-0.6666666666666666
fluor	False	True	1	True	string																																																																									True																																		True																							True																																																																																																																																																																																																																																																																																										3	3.0
foetal_health_stat	False		3	False	string																																																																																																																																																																																																																																									True																																																																																																																																				True																																															-2	-0.6666666666666666
food_additive	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																																																																														-1	-0.5
food_allergen_label	False		3	False	string																																																																																																																																																																																																																														True																														True																																																																																																																																																																-2	-0.6666666666666666
food_clean_proc	True		3	False	FoodCleanProcEnum																																																																																																																																																																										True																																																				True																																																																																																True																																																																																														-3	-1.0
food_contact_surf	False		3	False	string																																																																																																																																																																																				True																																										True																																																																																																																																																								True																																						-1	-0.3333333333333333
food_contain_wrap	False		3	False	string																																																																																																																																																																																																																														True																																																																																																																																																																																														-1	-0.3333333333333333
food_cooking_proc	False		3	False	string																																																																																																																																																																																																																														True																																																																																																True																																																																																														-2	-0.6666666666666666
food_dis_point	False		3	False	string																																																																																																																																						True																																																																		True																						True																																																																																						True																																																																																																								-2	-0.6666666666666666
food_dis_point_city	False		4	False	string																																																																																																																																																																																																								True																						True																																																																																						True																																																																																																								-2	-0.5
food_harvest_proc	False		3	False	string																																																																																																																																																																																																																														True																																																																																																True																																																																																														-2	-0.6666666666666666
food_ingredient	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																																																																														-1	-0.5
food_name_status	False		3	False	string																																																																																																																																				True																																																																																										True																																																										True																																																																																							True																																													-4	-1.3333333333333333
food_origin	False		2	False	string																																																																																																																																						True																																																																																								True																																																																																																																																																																																														-1	-0.5
food_pack_capacity	False	True	3	False	string																																			True																																																																																															True																																																																																												True																																																																										True																																																																																																																				0	0.0
food_pack_integrity	False		3	False	string																																																																																																																																																																																																																														True																																																																										True																																																																																																																				-2	-0.6666666666666666
food_pack_medium	False		3	False	string																																																																																																																																																																																																																														True																																																True																										True																																																																																																																				-3	-1.0
food_preserv_proc	False		3	False	string																																																																																																																																																																																																																														True																																																																																												True				True																																																																																														-3	-1.0
food_prior_contact	False		3	False	string																																																																																																																																																																																				True																																										True																																																																																																																																																																																														-1	-0.3333333333333333
food_prod	False		2	False	string																																																																																																																																				True																																																																																										True																																																																																																	True																																																																																													-2	-1.0
food_prod_char	False		3	False	string																																																																																																																																																																																																																														True																																																																																																	True																																																																																													-1	-0.3333333333333333
food_prod_synonym	False		3	False	string																																																																																																																																																																																																																														True																																																																																																	True																																																																																													-1	-0.3333333333333333
food_product_qual	False		3	False	string																																																																																																																																				True																																																																																										True																																																																																																		True	True																																																																																											-4	-1.3333333333333333
food_product_type	False		3	False	string																																																																																																																																																																																																																														True																																																																																																		True																																																																												True																-3	-1.0
food_quality_date	False		3	False	string																																																																																																																																																																																														True																																True																																																																																																				True																																																																																										-3	-1.0
food_source	False		2	False	string																																																																																																																																																																																																																														True																																																																																																																																							True																																																							-1	-0.5
food_source_age	False	True	3	False	string																	True																																																																																																																	True												True																																																																																True																																																																																																																																							True																																																							2	0.6666666666666666
food_trace_list	True		3	False	FoodTraceListEnum																																																																																																																																																																																																																														True																																																																																																																																																																																														-2	-0.6666666666666666
food_trav_mode	False		3	False	string																																																																																																																																				True																																																																																										True																																																						True																																																																																																																			True																					-3	-1.0
food_trav_vehic	False		3	False	string																																																																																																																																																																																																																														True																																																																																																																																																																									True																					-1	-0.3333333333333333
food_treat_proc	False		3	False	string																																																																																																																																																																																																																														True																																																																																																True																																																																										True																				-3	-1.0
freq_clean	True		2	True	FreqCleanEnum																																																																																																																																																																										True																																																						True																																																																																																																																																																																												0	0.0
freq_cook	False		2	True	string																																																																																																																											True																																																																																																					True																																																																																																																																																																																												2	1.0
fungicide_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																																																																																																																																True																																																																																						0	0.0
furniture	True		1	False	FurnitureEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-1.0
gaseous_environment	False	True	2	False	string																																																																					True																																																																																																																																											True																			True																																																																																																																																																																																									0	0.0
gaseous_substances	False	True	2	False	string																																																																					True																																																																																																																																																														True																																																																																																																																																																																									1	0.5
gastrointest_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5
gender_restroom	True		2	False	GenderRestroomEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5
genetic_mod	False		2	False	string																																																																																																																		True																																																																																																																																																																																																																																																																																																										-1	-0.5
geo_loc_name	False		3	False	string																																																																																																																																						True																																																																																															True																															True																				True																																																																																																																																				-2	-0.6666666666666666
gestation_state	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																														True																																														-1	-0.5
glucosidase_act	False	True	2	True	string																																																																																					True																																													True								True																																																																																																																																																																																																																																																																																		4	2.0
gravidity	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0.0
gravity	False	True	1	False	string																								True																																		True																																																																																																																																																																																																																																																																																																																																																																		1	1.0
growth_facil	False		2	False	string																																																																																																																																																																																																																																							True																																																																																																																																																																																					-1	-0.5
growth_habit	True		2	False	GrowthHabitEnum																																																																																																																																																																																																																																							True																																																																																																																																																																																					-2	-1.0
growth_hormone_regm	False	True	3	False	string																									True																																																				True									True																																																																																																																																																	True																																																																																															True																																																																																						-1	-0.3333333333333333
growth_medium	False		2	False	string																																																																																																																																																																																																																																							True																																							True																																																																																																																																														-2	-1.0
gynecologic_disord	False		2	False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																		-1	-0.5
hall_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0.0
handidness	True		1	False	HandidnessEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-1.0
hc_produced	True		2	False	HcProducedEnum																																																																																																																																																																																																																																																																																																																																																																																																																												-1	-0.5
hcr	True		1	False	HcrEnum																																																																																																																																																																																																																																								True																																																																																																																																																																																				-1	-1.0
hcr_fw_salinity	False	True	3	True	string																																																																													True																																																					True																																																																																																True						True																																																																																																					True																																																																															4	1.3333333333333333
hcr_geol_age	True		3	False	GeolAgeEnum																																																																																																																																														True																																																																																								True		True																																																																																																																																																																																				0	0.0
hcr_pressure	False	True	2	False	string		True																																												True																																																																											True																																																																																																															True																																																																																				True																																																																																																3	1.5
hcr_temp	False	True	2	False	string																			True																																																																																																						True																																																																																																															True																																																																																																																																																						True																														3	1.5
heat_cool_type	True		3	False	HeatCoolTypeEnum																																																																																																																																																																																							True																																																			True																																																																																																																																																																		True																-3	-1.0
heat_deliv_loc	True		3	False	CompassDirections8Enum																																																																																																																																																																																																True																																										True																										True																																																																																																																																																								-4	-1.3333333333333333
heat_sys_deliv_meth	True		4	False	HeatSysDelivMethEnum																																																																																																																																																																																																True																																										True																																							True																																																																																																																																											-4	-1.0
heat_system_id	False		3	False	integer																																																																																																																																																																																																																																										True							True																																																																																																																																																																											-2	-0.6666666666666666
heavy_metals	False	True	2	False	string																																																															True																																																																																																																																																																												True																																					True																																																																																																																																												1	0.5
heavy_metals_meth	False		3	False	string																																																																																																																		True																																																																																																																									True																																					True	True																																																																																																																																											-2	-0.6666666666666666
height_carper_fiber	False	True	3	True	string					True																																																																																																																													True																																																																																																										True																																																																																																																																																																																4	1.3333333333333333
