id	preferredPrefix	title
ncro	NCRO	Non-Coding RNA Ontology
ngbo	NGBO	Next Generation Biobanking Ontology
nomen	NOMEN	NOMEN - A nomenclatural ontology for biological names
oae	OAE	Ontology of Adverse Events
oarcs	OARCS	Ontology of Arthropod Circulatory Systems
oba	OBA	Ontology of Biological Attributes
obcs	OBCS	Ontology of Biological and Clinical Statistics
obi	OBI	Ontology for Biomedical Investigations
obib	OBIB	Ontology for Biobanking
occo	OCCO	Occupation Ontology
ogg	OGG	The Ontology of Genes and Genomes
ogms	OGMS	Ontology for General Medical Science
ohd	OHD	Oral Health and Disease Ontology
ohmi	OHMI	Ontology of Host-Microbiome Interactions
ohpi	OHPI	Ontology of Host Pathogen Interactions
omit	OMIT	Ontology for MIRNA Target
omo	OMO	OBO Metadata Ontology
omp	OMP	Ontology of Microbial Phenotypes
omrse	OMRSE	Ontology for Modeling and Representation of Social Entities
one	ONE	Ontology for Nutritional Epidemiology
ons	ONS	Ontology for Nutritional Studies
ontoavida	ONTOAVIDA	OntoAvida: ontology for Avida digital evolution platform
ontoneo	ONTONEO	Obstetric and Neonatal Ontology
oostt	OOSTT	Ontology of Organizational Structures of Trauma centers and Trauma systems
opl	OPL	Ontology for Parasite LifeCycle
opmi	OPMI	Ontology of Precision Medicine and Investigation
ornaseq	ORNASEQ	Ontology of RNA Sequencing
ovae	OVAE	Ontology of Vaccine Adverse Events
pato	PATO	Phenotype And Trait Ontology
pcl	PCL	Provisional Cell Ontology
pco	PCO	Population and Community Ontology
pdro	PDRO	The Prescription of Drugs Ontology
peco	PECO	Plant Experimental Conditions Ontology
phipo	PHIPO	Pathogen Host Interaction Phenotype Ontology
plana	PLANA	planaria-ontology
planp	PLANP	Planarian Phenotype Ontology
po	PO	Plant Ontology
poro	PORO	Porifera Ontology
ppo	PPO	Plant Phenology Ontology
pr	PR	PRotein Ontology (PRO)
proco	PROCO	Process Chemistry Ontology
psdo	PSDO	Performance Summary Display Ontology
pso	PSO	Plant Stress Ontology
pw	PW	Pathway ontology
rbo	RBO	Radiation Biology Ontology
ro	RO	Relation Ontology
rs	RS	Rat Strain Ontology
rxno	RXNO	Name Reaction Ontology
sepio	SEPIO	Scientific Evidence and Provenance Information Ontology
slso	SLSO	Space Life Sciences Ontology
so	SO	Sequence types and features ontology
spd	SPD	Spider Ontology
stato	STATO	The Statistical Methods Ontology
swo	SWO	Software ontology
symp	SYMP	Symptom Ontology
t4fs	T4FS	terms4FAIRskills
taxrank	TAXRANK	Taxonomic rank vocabulary
to	TO	Plant Trait Ontology
trans	TRANS	Pathogen Transmission Ontology
tto	TTO	Teleost taxonomy ontology
txpo	TXPO	Toxic Process Ontology
uberon	UBERON	Uberon multi-species anatomy ontology
uo	UO	Units of measurement ontology
upheno	UPHENO	Unified Phenotype Ontology (uPheno)
vbo	VBO	Vertebrate Breed Ontology
vo	VO	Vaccine Ontology
vt	VT	Vertebrate trait ontology
vto	VTO	Vertebrate Taxonomy Ontology
wbbt	WBbt	C. elegans Gross Anatomy Ontology
wbls	WBls	C. elegans development ontology
wbphenotype	WBPhenotype	C. elegans phenotype
xao	XAO	Xenopus Anatomy Ontology
xco	XCO	Experimental condition ontology
xlmod	XLMOD	HUPO-PSI cross-linking and derivatization reagents controlled vocabulary
xpo	XPO	Xenopus Phenotype Ontology
zeco	ZECO	Zebrafish Experimental Conditions Ontology
zfa	ZFA	Zebrafish anatomy and development ontology
zfs	ZFS	Zebrafish developmental stages ontology
zp	ZP	Zebrafish Phenotype Ontology
gsso	GSSO	Gender, Sex, and Sexual Orientation (GSSO) ontology
hp	HP	Human Phenotype Ontology (HPO)
kisao	KISAO	Kinetic Simulation Algorithm Ontology
sbo	SBO	Systems Biology Ontology
scdo	SCDO	Sickle Cell Disease Ontology
fix		Physico-chemical methods and properties
mamo	MAMO	Mathematical modeling ontology
rex		Physico-chemical process
sibo	SIBO	Social Insect Behavior Ontology
vario	VariO	Variation Ontology
eupath	EUPATH	VEuPathDB ontology
fbbi	FBbi	Biological Imaging Methods Ontology
mfmo	MFMO	Mammalian Feeding Muscle Ontology
micro	MICRO	Ontology of Prokaryotic Phenotypic and Metabolic Characters
ogsf	OGSF	Ontology of Genetic Susceptibility Factor
olatdv	OlatDv	Medaka Developmental Stages
pdumdv	PdumDv	Platynereis Developmental Stages
aeo	AEO	Anatomical Entity Ontology
ceph		Cephalopod Ontology
ehdaa2		Human developmental anatomy, abstract
fma	FMA	Foundational Model of Anatomy Ontology (subset)
gaz		Gazetteer
idomal		Malaria Ontology
miro		Mosquito insecticide resistance
rnao		RNA ontology
tads		Tick Anatomy Ontology
tgma		Mosquito gross anatomy ontology
upa		Unipathway
aao		Amphibian gross anatomy
adw		Animal natural history and life history
aero		Adverse Event Reporting Ontology
ato		Amphibian taxonomy
bcgo		Beta Cell Genomics Ontology
bila		Bilateria anatomy
bootstrep		Gene Regulation Ontology
cmf		CranioMaxilloFacial ontology
dc_cl		Dendritic cell
dinto		The Drug-Drug Interactions Ontology
ehda		Human developmental anatomy, timed version
ehdaa		Human developmental anatomy, abstract version
emap		Mouse gross anatomy and development, timed
eo		Plant Environment Ontology
epo		Epidemiology Ontology
ero		eagle-i resource ontology
ev		eVOC (Expressed Sequence Annotation for Humans)
fbsp		Fly taxonomy
flu		Influenza Ontology
gro		Cereal Plant Gross Anatomy
habronattus		Habronattus courtship
iev		Event (INOH pathway ontology)
imr		Molecule role (INOH Protein name/family name ontology)
ipr		Protein Domains
lipro		Lipid Ontology
loggerhead		Loggerhead nesting
mao		Multiple alignment
mat		Minimal anatomical terminology
mfo		Medaka fish anatomy and development
mirnao		microRNA Ontology
mo		Microarray experimental conditions
nif_cell		NIF Cell
nif_dysfunction		NIF Dysfunction
nif_grossanatomy		NIF Gross Anatomy
nmr		NMR-instrument specific component of metabolomics investigations
obo_rel		OBO relationship types (legacy)
ogi		Ontology for genetic interval
omiabis		Ontologized MIABIS
pao		Plant Anatomy Ontology
pd_st		Platynereis stage ontology
pgdso		Plant Growth and Development Stage
plo		Plasmodium life cycle
propreo		Proteomics data and process provenance
resid		Protein covalent bond
sao		Subcellular anatomy ontology
sep		Sample processing and separation techniques
sopharm		Suggested Ontology for Pharmacogenomics
tahe		Terminology of Anatomy of Human Embryology
tahh		Terminology of Anatomy of Human Histology
tao		Teleost Anatomy Ontology
vhog		Vertebrate Homologous Ontology Group Ontology
vsao		Vertebrate Skeletal Anatomy Ontology-
ypo		Yeast phenotypes
zea		Maize gross anatomy
