DOI	Updated DOI	Title	Journal	Year	Year Type	Publisher	Authors	Volume	Issue	Pages	DOI URL
10.1038/s41597-024-03069-7		An integrated metagenomic, metabolomic and transcriptomic survey of Populus across genotypes and environments	Scientific Data	2024	published	Springer Science and Business Media LLC	Christopher Schadt; Stanton Martin; Alyssa Carrell; Allison Fortner; Dan Hopp; Dan Jacobson; Dawn Klingeman; Brandon Kristy; Jana Phillips; Bryan Piatkowski; Mark A. Miller; Montana Smith; Sujay Patil; Mark Flynn; Shane Canon; Alicia Clum; Christopher J. Mungall; Christa Pennacchio; Benjamin Bowen; Katherine Louie; Trent Northen; Emiley A. Eloe-Fadrosh; Melanie A. Mayes; Wellington Muchero; David J. Weston; Julie Mitchell; Mitchel Doktycz	11	1		https://doi.org/10.1038/s41597-024-03069-7
10.1038/s41564-020-00861-0		Genomic and functional analyses of fungal and bacterial consortia that enable lignocellulose breakdown in goat gut microbiomes	Nature Microbiology	2021	published	Springer Science and Business Media LLC	Xuefeng Peng; St. Elmo Wilken; Thomas S. Lankiewicz; Sean P. Gilmore; Jennifer L. Brown; John K. Henske; Candice L. Swift; Asaf Salamov; Kerrie Barry; Igor V. Grigoriev; Michael K. Theodorou; David L. Valentine; Michelle A. O’Malley	6	4	499-511	https://doi.org/10.1038/s41564-020-00861-0
10.1128/MRA.01361-19		Metatranscriptomic Sequencing of a Cyanobacterial Soil-Surface Consortium with and without a Diverse Underlying Soil Microbiome	Microbiology Resource Announcements	2020	published-print	American Society for Microbiology	Terrence H. Bell; Ryan V. Trexler; Xin Peng; Marcel Huntemann; Alicia Clum; Brian Foster; Bryce Foster; Simon Roux; Krishnaveni Palaniappan; Neha Varghese; Supratim Mukherjee; T. B. K. Reddy; Chris Daum; Alex Copeland; Natalia N. Ivanova; Nikos C. Kyrpides; Christa Pennacchio; Emiley A. Eloe-Fadrosh; Mary Ann Bruns	9	1		https://doi.org/10.1128/mra.01361-19
10.1128/mra.01080-23		Metatranscriptomes of two biological soil crust types from the Mojave desert in response to wetting	Microbiology Resource Announcements	2024	published-print	American Society for Microbiology	Thuy M. Nguyen; Nuttapon Pombubpa; Marcel Huntemann; Alicia Clum; Brian Foster; Bryce Foster; Simon Roux; Krishnaveni Palaniappan; Neha Varghese; Supratim Mukherjee; T. B. K. Reddy; Chris Daum; Alex Copeland; I-Min A. Chen; Natalia N. Ivanova; Nikos C. Kyrpides; Miranda Harmon-Smith; Emiley A. Eloe-Fadrosh; Nicole Pietrasiak; Jason E. Stajich; Erik F. Y. Hom	13	2		https://doi.org/10.1128/mra.01080-23
10.1038/s41597-019-0132-4		Microbial metagenomes and metatranscriptomes during a coastal phytoplankton bloom	Scientific Data	2019	published	Springer Science and Business Media LLC	Brent Nowinski; Christa B. Smith; Courtney M. Thomas; Kaitlin Esson; Roman Marin; Christina M. Preston; James M. Birch; Christopher A. Scholin; Marcel Huntemann; Alicia Clum; Brian Foster; Bryce Foster; Simon Roux; Krishnaveni Palaniappan; Neha Varghese; Supratim Mukherjee; T. B. K. Reddy; Chris Daum; Alex Copeland; I.-Min A. Chen; Natalia N. Ivanova; Nikos C. Kyrpides; Tijana Glavina del Rio; William B. Whitman; Ronald P. Kiene; Emiley A. Eloe-Fadrosh; Mary Ann Moran	6	1		https://doi.org/10.1038/s41597-019-0132-4
10.1038/s41597-024-04013-5		Microbial Metagenomes Across a Complete Phytoplankton Bloom Cycle: High-Resolution Sampling Every 4 Hours Over 22 Days	Scientific Data	2024	published	Springer Science and Business Media LLC	Brook L. Nunn; Emma Timmins-Schiffman; Miranda C. Mudge; Deanna L. Plubell; Gabriella Chebli; Julia Kubanek; Michael Riffle; William S. Noble; Elizabeth Harvey; Tasman A. Nunn; Tatiana Rynearson; Marcel Huntemann; Kurt LaButti; Brian Foster; Bryce Foster; Simon Roux; Krishnaveni Palaniappan; Supratim Mukherjee; T. B. K. Reddy; Chris Daum; Alex Copeland; I-Min A. Chen; Natalia N. Ivanova; Nikos C. Kyrpides; Tijana Glavina del Rio; Emiley A. Eloe-Fadrosh	11	1		https://doi.org/10.1038/s41597-024-04013-5
10.1186/s40168-020-00889-8		Influence of the polar light cycle on seasonal dynamics of an Antarctic lake microbial community	Microbiome	2020	published-print	Springer Science and Business Media LLC	Pratibha Panwar; Michelle A. Allen; Timothy J. Williams; Alyce M. Hancock; Sarah Brazendale; James Bevington; Simon Roux; David Páez-Espino; Stephen Nayfach; Maureen Berg; Frederik Schulz; I-Min A. Chen; Marcel Huntemann; Nicole Shapiro; Nikos C. Kyrpides; Tanja Woyke; Emiley A. Eloe-Fadrosh; Ricardo Cavicchioli	8	1		https://doi.org/10.1186/s40168-020-00889-8
10.1093/nar/gkab990		The National Microbiome Data Collaborative Data Portal: an integrated multi-omics microbiome data resource	Nucleic Acids Research	2022	published	Oxford University Press (OUP)					https://doi.org/10.1093/nar/gkab990
10.1126/sciadv.adg7888		Reproducible growth of<i>Brachypodium</i>in EcoFAB 2.0 reveals that nitrogen form and starvation modulate root exudation	Science Advances	2024	published-print	American Association for the Advancement of Science (AAAS)	Vlastimil Novak; Peter F. Andeer; Benjamin P. Bowen; Yezhang Ding; Kateryna Zhalnina; Kirsten S. Hofmockel; Connor Tomaka; Thomas V. Harwood; Michelle C. M. van Winden; Amber N. Golini; Suzanne M. Kosina; Trent R. Northen	10	1		https://doi.org/10.1126/sciadv.adg7888
10.1371/journal.pone.0228165		Distinct temporal diversity profiles for nitrogen cycling genes in a hyporheic microbiome	PLOS ONE	2020	published	Public Library of Science (PLoS)	William C. Nelson; Emily B. Graham; Alex R. Crump; Sarah J. Fansler; Evan V. Arntzen; David W. Kennedy; James C. Stegen	15	1	e0228165	https://doi.org/10.1371/journal.pone.0228165
10.3390/microorganisms9020357		Soil Bacterial Diversity Is Positively Correlated with Decomposition Rates during Early Phases of Maize Litter Decomposition	Microorganisms	2021	published	MDPI AG	Akane Chiba; Yoshitaka Uchida; Susanne Kublik; Gisle Vestergaard; Franz Buegger; Michael Schloter; Stefanie Schulz	9	2	357	https://doi.org/10.3390/microorganisms9020357
10.3897/tdwgproceedings.1.20637		Using MIxS: An Implementation Report from Two Metagenomic Information Systems	Proceedings of TDWG	2017	published	Pensoft Publishers	Joel Sachs; Luke Thompson; Nazir El-Kayssi; Satpal Bilkhu	1		e20637	https://doi.org/10.3897/tdwgproceedings.1.20637
10.5194/acp-23-15783-2023		Active thermokarst regions contain rich  sources of ice-nucleating particles	Atmospheric Chemistry and Physics	2023	published	Copernicus GmbH	Kevin R. Barry; Thomas C. J. Hill; Marina Nieto-Caballero; Thomas A. Douglas; Sonia M. Kreidenweis; Paul J. DeMott; Jessie M. Creamean	23	24	15783-15793	https://doi.org/10.5194/acp-23-15783-2023
