accession,ENA first public,ENA last update,ENA-CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,alpha_shotgun_woltka_min10k_richness,alpha_shotgun_woltka_rar10k_richness,alpha_shotgun_woltka_rar3450_richness,collection_timestamp,cur_land_use,cur_vegetation,depth_sample,elevation,emp500_principal_investigator,emp500_study_id,emp500_title,empo_2,empo_3,env biome,env feature,env package,env_material,environmental_package,experimental_factor,gcms_sample_name,geo loc name,latitude,lcms_batch,lcms_extraction_protocol,local_class,longitude,physical_specimen_location,project name,sample name,sample type,sampling method,scientific_name,soil type,store_cond,study_sample_number,tier,water content,water_content_soil_meth
SAMEA7724205,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724205,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:23:59Z,public,qiita_sid_13114:13114.myrold.5.s011,786.0,477.0,259.0,11/11/15 0:00,forest,Red alder,0.15,665,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.229297,,,,-122.191414,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s011,soil,bulk,,,-80,11,,0.6144,gravimetric
SAMEA7724206,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724206,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.5.s012,656.0,490.0,291.0,11/11/15 0:00,forest,Red alder,0.15,758,Myrold,5,Tree-associated soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,"Two sites (low, high soil N) by two tree species (Douglas-fir, red alder) in three replicate blocks per site",,"USA: State of Oregon,Lane County",44.226456,,,,-122.163825,UCSD Knight Lab Freezer I and David Myrold Lab,Alder-Fir Study,qiita_sid_13114:13114.myrold.5.s012,soil,bulk,,,-80,12,,0.531,gravimetric
SAMEA7724207,,,ERC000011,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,SAMEA7724207,,UCSDMI,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s001,858.0,554.0,340.0,4/8/15 0:00,cropland,,0.15,177,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Marion County",45.2505,,,"Fine, mixed, active, mesic Xeric Palehumults",-123.07038,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s001,soil,bulk,soil metagenome,Jory,-80,1,1,26.26458316,gravemetric
SAMEA7724208,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724208,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s002,1111.0,303.0,256.0,4/10/15 0:00,cropland,,0.15,70,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_2_NRCS0056_032_GC,"USA: Oregon,Benton County",44.62691,8.00,Bulk_Seed_PNNL,"Fine-silty, mixed, superactive, mesic Argiaquic Xeric Argialbolls",-123.21072,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s002,soil,bulk,,Amity,-80,2,1,40.87406679,gravemetric
SAMEA7724209,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724209,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s003,821.0,574.0,357.0,4/10/15 0:00,cropland,,0.15,69,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_3_NRCS0061_040_GC,"USA: Oregon,Benton County",44.62484,8.00,Bulk_Seed_PNNL,"Fine-silty, mixed, superactive, mesic Pachic Ultic Argixerolls",-123.21777,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s003,soil,bulk,,Willamette,-80,3,1,32.94649763,gravemetric
SAMEA7724210,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724210,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s004,1043.0,431.0,348.0,4/10/15 0:00,cropland,,0.15,72,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_4_NRCS0066_041_GC,"USA: Oregon,Benton County",44.63881,8.00,Bulk_Seed_PNNL,"Fine-silty, mixed, superactive, mesic Aquultic Argixerolls",-123.18977,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s004,soil,bulk,,Woodburn,-80,4,1,41.85246269,gravemetric
SAMEA7724211,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724211,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s005,744.0,611.0,394.0,4/15/15 0:00,rangeland,,0.15,1171,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),rangeland biome,rangeland,soil,soil,soil,Biogeographical study,EMP_Myr_5_NRCS0096_036_GC,"USA: Oregon,Union County",45.093472,8.00,Bulk_Seed_PNNL,"Clayey-skeletal, smectitic, mesic Lithic Argixerolls",-117.784667,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s005,soil,bulk,,Gwinly,-80,5,1,25.57745123,gravemetric
SAMEA7724212,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724212,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s006,831.0,610.0,375.0,4/17/15 0:00,temperate coniferous forest,,0.15,1473,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,Biogeographical study,,"USA: Oregon,Klamath County",43.228761,,,"Ashy-pumiceous, glassy Xeric Vitricryands",-121.794902,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s006,soil,bulk,,Lapine,-80,6,1,64.03522285,gravemetric
SAMEA7724213,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724213,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s007,848.0,740.0,392.0,4/17/15 0:00,rangeland,,0.15,1379,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),rangeland biome,rangeland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Klamath County",42.881698,,,"Diatomaceous, euic Limnic Cryosaprists",-121.738759,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s007,soil,bulk,,Wocusbay,-80,7,1,342.2400884,gravemetric
SAMEA7724214,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724214,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s008,,,,4/17/15 0:00,rangeland,,0.15,773,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),rangeland biome,rangeland,soil,soil,soil,Biogeographical study,EMP_Myr_8_NRCS0176_035_GC,"USA: Oregon,Sherman County",45.24199,8.00,Bulk_Seed_PNNL,"Loamy-skeletal, mixed, superactive, mesic Aridic Lithic Haploxerolls",-120.5791,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s008,soil,bulk,,Lickskillet,-80,8,1,14.95127057,gravemetric
SAMEA7724215,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724215,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s009,622.0,574.0,335.0,4/16/15 0:00,cropland,,0.15,790,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_9_NRCS0181_038_GC,"USA: Oregon,Sherman County",45.16543,8.00,Bulk_Seed_PNNL,"Fine-silty, mixed, superactive, mesic Typic Haploxerolls",-120.6592,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s009,soil,bulk,,Condon,-80,9,1,13.41290111,gravemetric
SAMEA7724216,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724216,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s010,823.0,480.0,277.0,4/22/15 0:00,cropland,,0.15,457,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Umatilla County",45.71948,,,"Coarse-silty, mixed, superactive, mesic Typic Haploxerolls",-118.62585,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s010,soil,bulk,,Walla Walla,-80,10,1,11.08752956,gravemetric
SAMEA7724217,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724217,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s011,1449.0,726.0,399.0,4/21/15 0:00,cropland,,0.15,6,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_11_NRCS0221_033_GC,"USA: Oregon,Tillamook County",45.47756,8.00,Bulk_Seed_PNNL,"Fine-silty, mixed, superactive, isomesic Fluventic Humudepts",-123.84166,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s011,soil,bulk,,Nehalem,-80,11,1,71.79258607,gravemetric
SAMEA7724218,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724218,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s012,,,,4/28/15 0:00,cropland,,0.15,321,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_12_NRCS0261_039_GC,"USA: Oregon,Umatilla County",45.65347,8.00,Bulk_Seed_PNNL,"Coarse-silty, mixed, superactive, mesic Calcidic Haploxerolls",-119.46691,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s012,soil,bulk,,Ritzville,-80,12,1,5.965089674,gravemetric
SAMEA7724219,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724219,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s013,,,,5/4/15 0:00,rangeland,,0.15,1355,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),rangeland biome,rangeland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Deschutes County",43.410408,,,"Fine-loamy, mixed, superactive, frigid Xeric Argidurids",-119.630923,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s013,soil,bulk,,Brace,-80,13,1,10.44359165,gravemetric
SAMEA7724220,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724220,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s014,,,,5/4/15 0:00,temperate coniferous forest,,0.15,1496,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,Biogeographical study,EMP_Myr_14_NRCS0331_043_GC,"USA: Oregon,Grant County",44.57589,8.00,Bulk_Seed_PNNL,"Loamy-skeletal, isotic, frigid Vitrandic Argixerolls",-118.29807,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s014,soil,bulk,,Klicker,-80,14,1,10.56014099,gravemetric
SAMEA7724221,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724221,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s015,1310.0,790.0,453.0,5/8/15 0:00,temperate woodland,,0.15,67,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate woodland biome,temperate woodland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Benton County",44.60695,,,"Very-fine, smectitic, mesic Xeric Endoaquerts",-123.238343,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s015,soil,bulk,,Bashaw,-80,15,1,79.61128738,gravemetric
SAMEA7724222,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724222,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:00Z,public,qiita_sid_13114:13114.myrold.59.s016,,,,5/8/15 0:00,rangeland,,0.15,1422,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),rangeland biome,rangeland,soil,soil,soil,Biogeographical study,EMP_Myr_16_NRCS0371_042_GC,"USA: Oregon,Crook County",43.97827,8.00,Bulk_Seed_PNNL,"Clayey-skeletal, smectitic, frigid Lithic Argixerolls",-119.879203,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s016,soil,bulk,,Ateron,-80,16,1,9.582366246,gravemetric
SAMEA7724223,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724223,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s017,601.0,529.0,297.0,5/12/15 0:00,temperate woodland,,0.15,589,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate woodland biome,temperate woodland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Jackson County",42.311278,,,"Fine-loamy, mixed, superactive, mesic Mollic Haploxeralfs",-122.983444,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s017,soil,bulk,,Vannoy,-80,17,1,21.12107927,gravemetric
SAMEA7724224,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724224,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s018,,,,5/13/15 0:00,cropland,,0.15,1242,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_18_NRCS0426_034_GC,"USA: Oregon,Harney County",42.26074,8.00,Bulk_Seed_PNNL,"Fine, smectitic, mesic Sodic Aquicambids",-118.60881,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s018,soil,bulk,,Alvodest,-80,18,1,16.22584686,gravemetric
SAMEA7724225,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724225,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s019,486.0,383.0,211.0,5/13/15 0:00,temperate coniferous forest,,0.15,460,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,Biogeographical study,,"USA: Oregon,Lincoln County",44.52175,,,"Fine-loamy, isotic, mesic Andic Humudepts",-123.7665,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s019,soil,bulk,,Bohannon,-80,19,1,65.25774777,gravemetric
SAMEA7724226,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724226,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s020,815.0,686.0,432.0,5/15/15 0:00,cropland,,0.15,104,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),cropland biome,cropland,soil,soil,soil,Biogeographical study,EMP_Myr_22_NRCS0526_037_GC,"USA: Oregon,Morrow County",45.87244,,,"Mixed, mesic Xeric Torripsamments",-119.57654,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s020,soil,bulk,,Quincy,-80,20,1,14.34269186,gravemetric
SAMEA7724227,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724227,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s021,603.0,599.0,365.0,5/18/15 0:00,temperate coniferous forest,,0.15,46,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate coniferous forest biome,temperate coniferous forest,soil,soil,soil,Biogeographical study,,"USA: Oregon,Coos County",43.2122,,,"Coarse-loamy, isotic, isomesic, ortstein Typic Haplorthods",-124.35476,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s021,soil,bulk,,Bullards,-80,21,1,17.57797233,gravemetric
SAMEA7724228,2020-12-17,2020-12-16,ERC000011,,,SAMEA7724228,UCSDMI,University of California San Diego Microbiome Initiative,2020-12-17T04:08:06Z,2020-12-16T01:24:01Z,public,qiita_sid_13114:13114.myrold.59.s022,631.0,574.0,358.0,6/3/15 0:00,temperate shrubland,,0.15,548,Myrold,59,Oregon soils,Non-saline,Soil (non-saline),temperate shrubland biome,temperate shrubland,soil,soil,soil,Biogeographical study,,"USA: Oregon,Josephine County",42.237306,8.00,Bulk_Seed_PNNL,"Clayey-skeletal, magnesic, mesic Typic Dystroxerepts",-123.654694,PNNL and David Myrold Laboratory,Microbial Biogeography of Oregon Soils,qiita_sid_13114:13114.myrold.59.s022,soil,bulk,,Eightlar,-80,22,1,21.57024981,gravemetric
