slot	has_enum_range	has_preferred_unit	name_components	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s	evidence_score	weighted_evidence_score	confirmed
diether_lipids	False	True	2	False	string																																																																																								True																																																																																																																																																																																																																																																																																																																																				1	0.5	-1
exp_pipe	False		2	True	string																																																																																																																											True																																																																																								True																																																																																																																																																																																																									1	0.5	-1
gaseous_substances	False	True	2	False	string																																																																					True																																																																																																																																																														True																																																																																																																																																																																									1	0.5	-1
heavy_metals	False	True	2	False	string																																																															True																																																																																																																																																																												True																																					True																																																																																																																																												1	0.5	-1
humidity_regm	False	True	2	False	string																													True																																																																																																																																																																																																																			True																																																																																						True																																																																																						1	0.5	-1
hygienic_area	False		2	False	string																																																																																																																																																								True																																																																																																																																																																																																																																																																				1	0.5	-1
inorg_particles	False	True	2	False	string																																																																													True									True																																																																																																																																																																	True																																																				True																																																																																																																	1	0.5	-1
lib_size	False		2	False	integer																																																																																																																																																																																																																																																															True																																																																																																True																																																													1	0.5	-1
number_pets	False		2	True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																															1	0.5	-1
number_plants	False		2	True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																															1	0.5	-1
number_resident	False		2	True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																															1	0.5	-1
org_particles	False	True	2	False	string																																True																																																																																																																																																																																																																																																																	True										True																																																																																																																	1	0.5	-1
organism_count	False		2	True	string																																																																																																																																																																																								True																																																																																																																																																																																																																																				1	0.5	-1
room_dim	False	True	2	False	string																																																								True																																																																																																																																																																																																																																																																																		True																																																																																		1	0.5	-1
samp_loc_corr_rate	False	True	4	False	string																																																																																	True																																								True																																																																																																																																											True																																																															True											True																																																																														2	0.5	-1
sexual_act	False		2	False	string																																																																																																																																										True																																																																																																																																																																																																																																																																																		1	0.5	-1
suspend_solids	False	True	2	False	string																									True							True																													True																True									True						True																																																																																																																																																																																																																																																																																											True																																					1	0.5	-1
time_since_last_wash	False		4	False	string																																																																																																																								True																																																																																																																																						True																																																																																																																																				True																										2	0.5	-1
water_frequency	False	True	2	False	string																																																																																															True	True	True																																																																																																																																																																																																																																																																																																																				True							1	0.5	-1
wind_direction	False	True	2	False	string				True																True																																																																																																																																																																																																																																																																																																																																																																																																					True			1	0.5	-1
samp_transport_temp	False	True	3	False	string																			True																																																																																																																																																																																																																																																																																																																											True																																																True								True																						1	0.333333333333333	1
air_temp_regm	False	True	3	False	string																																																								True																																																																																							True																																																																																																																																																																																							True																																																								True																														1	0.333333333333333	-1
animal_am_freq	False		3	False	float																																																																																																																																		True																True		True																																																																												True																																																																																																																																																																																												1	0.333333333333333	-1
animal_group_size	False		3	False	integer																																																																																																																																																				True																																																																																																																																																																																																											True																																																													1	0.333333333333333	-1
carb_nitro_ratio	False		3	True	float																																																																																																																																																																					True																																																																																																																				True																																																																																																																																			1	0.333333333333333	-1
cons_qty_purchased	False		3	False	string																																																																																																																											True																																																							True																																																																																																																																																																																																																																										1	0.333333333333333	-1
ferm_headspace_oxy	False	True	3	False	float																																																																																																			True																																																																																																																						True																																																																												True																																																																																																																							1	0.333333333333333	-1
microb_start_count	False	True	3	False	string							True	True																																																																																																																																																																																True																																																																																											True																																																																																									True																																																1	0.333333333333333	-1
pool_dna_extracts	False	True	3	False	string																									True																																								True													True																																																																																																																														True																																																																																																																																																																																																																1	0.333333333333333	-1
samp_rep_biol	False		3	False	string																																																																																																																																		True																												True																																																																																																																																																																										True						True																																																																														1	0.333333333333333	-1
typ_occup_density	False		3	False	float																																																																																																																																																																																																		True																																																																																													True																																																																																																												True																	1	0.333333333333333	-1
volatile_org_comp	False	True	3	False	string																																																														True																										True						True																																																																																True																																																																																																																			True																																																																																																																											1	0.333333333333333	-1
water_temp_regm	False	True	3	False	string																			True																																																																																																																																																																																																																																																																																																																			True																																																								True																							True							1	0.333333333333333	-1
cons_food_stor_temp	False	True	4	False	string																			True																																																																																																																																																															True																																												True																																																																																																																																																		True														True																														1	0.25	1
host_of_host_totmass	False		4	False	string																																																																																																																																		True																																																																																																													True																																																	True																																																																																																																												1	0.25	1
ferm_chem_add_perc	False	True	4	False	float																																																																																																			True																																									True																												True																																																	True																																																																																																																																																																																																			1	0.25	-1
weight_loss_3_month	False	True	4	False	string																									True																True																																																																																																																																																																																																																																														True																																																																																																																																					1	0.25	-1
phosplipid_fatt_acid	False		3	False	string																																																																																																																																									True																																																																																																																																																																																																																																																																																			0	0	
IFSAC_category	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
agrochem_addition	False	True	2	False	string																									True																																																				True									True																															True																																																																																																																																																																																																																																																																																																							0	0	
air_flow_impede	False		3	False	string																																																																																																																																															True																																																																																																																																																																																																																																																																													0	0	
amniotic_fluid_color	False		3	False	string																																																																																																																																																																													True																																																True																																																																																																																																																																																															0	0	
animal_am	False		2	False	string																																																																																																																																																		True		True																																																																																																																																																																																																																																																																								0	0	
annot	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
antibiotic_regm	False	True	2	False	string																																																																								True																																																																														True																																																																																																																																																																																True																																																																																						0	0	
aromatics_pc	False	True	2	False	string																																																																																																		True																													True																																																																																																																																																																													True		True																																																																																																														0	0	
asphaltenes_pc	False	True	2	False	string																																																																																																		True																													True																																																																																																																																																																													True		True																																																																																																														0	0	
basin	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
bathroom_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0	
bedroom_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0	
biocide	False		1	False	string																																																																																																																																																													True																																																																																																																																																																																																																																																															0	0	
biocide_admin_method	False	True	3	False	string																																																																													True																																																																True																True																																																																																																																					True																																																																																																																																										0	0	
biocide_used	False		2	False	string																																																																																																																																																													True																																																																																																																																																																																																																																																															0	0	
birth_control	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
chem_administration	False		2	False	string																																																																																																																																																																								True																																																																																																																																																																																																																																																				0	0	
compl_score	False		2	False	string																																																																																																																																																																															True																																																																																																																																																																				True																																																																									0	0	
contam_score	False		2	False	float																																																																																																																																																																																					True																																																																																																																																																														True																																																																									0	0	
crop_rotation	False		2	False	string																																																																																																																																																																																										True																																																																																																																																																																																																																																		0	0	
douche	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
drug_usage	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
elevator	False		1	False	integer																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
encoded_traits	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
escalator	False		1	False	integer																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
ethnicity	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
experimental_factor	False		2	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
extrachrom_elements	False		2	False	integer																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
ferm_chem_add	False		3	False	string																																																																																																																																												True																												True																																																	True																																																																																																																																																																																																			0	0	
ferm_vessel	False		2	False	string																																																																																																																																																																																																																									True																																																																																																																																																																																																			0	0	
fertilizer_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																				True																																																																																																												True																																																																																						0	0	
field	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
fire	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
flooding	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
floor_count	False		2	False	integer																																																																																																																																																																																								True																																				True																																																																																																																																																																																																0	0	
food_pack_capacity	False	True	3	False	string																																			True																																																																																															True																																																																																												True																																																																										True																																																																																																																				0	0	
freq_clean	True		2	True	FreqCleanEnum																																																																																																																																																																										True																																																						True																																																																																																																																																																																												0	0	
fungicide_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																																																																																																																																True																																																																																						0	0	
gaseous_environment	False	True	2	False	string																																																																					True																																																																																																																																											True																			True																																																																																																																																																																																									0	0	
gravidity	False		1	False	string																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
hall_count	False		2	False	integer																																																																																																																																																																																								True																																																																																																																																																																																																																																				0	0	
hcr_geol_age	True		3	False	GeolAgeEnum																																																																																																																																														True																																																																																								True		True																																																																																																																																																																																				0	0	
herbicide_regm	False	True	2	False	string																									True																																																				True									True																																																																																																																																																																																																																																																True																																																																																						0	0	
host_body_habitat	False		3	False	string																																																																																																																																																																		True																																																																													True																																																																																																																																																																													0	0	
host_color	False		2	False	string																																																																																																																																																																													True																																																																		True																																																																																																																																																																													0	0	
host_genotype	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																																																													0	0	
host_last_meal	False		3	False	string																																																																																																																																																																																																																																															True															True																																																																																																																																																														0	0	
host_occupation	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																																																													0	0	
host_of_host_coinf	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_of_host_geno	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_of_host_gravid	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_of_host_infname	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_of_host_infrank	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_of_host_pheno	False		4	False	string																																																																																																																																																																																																																																															True																																																	True																																																																																																																												0	0	
host_phenotype	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																																																													0	0	
host_shape	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																																																													0	0	
host_substrate	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																																																													0	0	
host_symbiont	False		2	False	string																																																																																																																																																																																																																																															True																																																																																																																																									True																																				0	0	
hrt	False		1	False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																												0	0	
