Number	Item	Vote	Comments	Filename
7.7	Subgroup analysis	Yes	Describes analysis by depth classes and site comparisons.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.8	Sensitivity analyses	No	No sensitivity analyses reported.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
7.9	Criteria for significance	Yes	States alpha = 0.05 for statistical significance.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.0	Metadata access	Yes	Notes data and code availability via GitHub.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.1	Host data access (if applicable)	NA	No host data involved.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.2	Raw data access	Yes	States data available on GitHub with link provided.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.3	Processed data access	Yes	States processed data available on GitHub and EMSL.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.4	Software & source code access	Yes	Lists all software used with versions and provides GitHub repository link.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
8.5	Reproducible research	Yes	Provides code availability and methods for reproducibility.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
9.0	Descriptive data	Yes	Comprehensive reporting of soil properties and site characteristics.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
10.0	Microbiome sequencing data	NA	No sequencing performed.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
10.1	Metabolomics, proteomics, & other omics data	Yes	Reports FT-ICR-MS results including carbon compound classifications.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
10.2	Statistical analyses	Yes	Reports statistical test results with p-values.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
10.3	Figures, tables, & captions	Yes	Clear figures and tables with detailed captions.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
11.0	Key results	Yes	Clear summary of key findings tied to objectives.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
11.1	Interpretation	Yes	Thorough discussion of results and implications.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
11.2	Limitations	Yes	Discusses limitations of methods and interpretations.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
11.3	Generalizability	Yes	Discusses broader implications for permafrost carbon cycling.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
12.0	Ongoing & future work	Yes	Notes need for further research on thawing permafrost response.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
13.0	Conclusions	Yes	Clear conclusions summarizing major findings.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
14.0	Acknowledgements	Yes	Comprehensive acknowledgements section.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
14.1	Funding	Yes	Lists funding sources and grant information.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
15.0	Conflicts of interest	No	No conflicts of interest statement found.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
16.0	Supplementary data & files	Yes	References supplementary figures and information.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
17.0	Sample & data availability	Yes	States data/code availability via GitHub and EMSL.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
18.0	AI usage	No	No mention of AI usage.	JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.tsv
1.0	Structured or unstructured abstract	Yes	Unstructured abstract provided on page 1 containing background, methods, results, and conclusions.	s41467-023-36515-y.tsv
1.1	Study design	Yes	"Study design described in abstract as ""genome-centric approach"" with replicated plots of field-grown switchgrass and miscanthus."	s41467-023-36515-y.tsv
1.2	Environmental & sample information	Yes	Abstract specifies leaf microbiome samples from switchgrass and miscanthus phyllosphere.	s41467-023-36515-y.tsv
1.3	Host information (if applicable)	Yes	Abstract identifies hosts as switchgrass and miscanthus, replicated plots described.	s41467-023-36515-y.tsv
1.4	Experiments & omics methods	Yes	Abstract describes metagenome and metatranscriptome sequencing and curation of 40 MAGs.	s41467-023-36515-y.tsv
1.5	Analyses & results	Yes	Abstract describes key findings including MAG classes identified, upregulated transcripts, and seasonal dynamics.	s41467-023-36515-y.tsv
2.0	Background & rationale	Yes	Introduction provides detailed background on perennial plants, microbiomes, and research motivation with citations.	s41467-023-36515-y.tsv
2.1	Hypotheses or questions	Yes	Research questions stated in introduction (p.2) to understand functional attributes and activities of persistent phyllosphere taxa.	s41467-023-36515-y.tsv
3.0	Study design	Yes	Observational field study design described in Methods, including spatial and temporal aspects over 2 growing seasons.	s41467-023-36515-y.tsv
3.1	Samples	Yes	Leaf samples described in Methods with ID scheme and collection protocol.	s41467-023-36515-y.tsv
3.2	Environmental context & geographic location	Yes	"Located at GLBRC at KBS in Hickory Corners, MI (42°23'41.6"" N, 85°22'23.1"" W)."	s41467-023-36515-y.tsv
3.3	Relevant dates	Yes	Sampling dates provided in Table 1 and Fig. 1 for 2016-2017 growing seasons.	s41467-023-36515-y.tsv
3.4	Host(s) (if applicable)	Yes	Switchgrass (Panicum virgatum L. cultivar Cave-in-rock) and miscanthus (Miscanthus x giganteus) described.	s41467-023-36515-y.tsv
3.5	Ethics	NA	No ethics protocols required for plant sampling.	s41467-023-36515-y.tsv
3.6	Environmental conditions & experimental treatments	Yes	Field conditions and phenological stages described throughout sampling period.	s41467-023-36515-y.tsv
3.7	Sample collection	Yes	Detailed leaf collection methods described in Methods section.	s41467-023-36515-y.tsv
3.8	Eligibility/selection criteria	Yes	Sample selection criteria described in Methods for plot replicates.	s41467-023-36515-y.tsv
3.9	Analytic sample size	Yes	Sample sizes provided in Table 1 - includes numbers of successful metagenomes and metatranscriptomes.	s41467-023-36515-y.tsv
4.0	Storage & preservation	Yes	Flash freezing in liquid nitrogen and -80°C storage described in Methods.	s41467-023-36515-y.tsv
4.1	Shipping	NA	No shipping involved, on-site collection.	s41467-023-36515-y.tsv
4.2	Extraction methods	Yes	Detailed DNA/RNA extraction protocols provided in Methods.	s41467-023-36515-y.tsv
4.3	Experiments & sample processing	Yes	Sample processing methods detailed in Methods section.	s41467-023-36515-y.tsv
4.4	Library preparation	Yes	Library preparation methods described in Methods with kit specifications.	s41467-023-36515-y.tsv
4.5	Depletion, enrichment, & multiplexing	Yes	rRNA depletion described in Methods.	s41467-023-36515-y.tsv
4.6	Primer selection	Yes	Sequencing methods described but not PCR-based.	s41467-023-36515-y.tsv
5.0	Positive controls	No	No mention of positive controls.	s41467-023-36515-y.tsv
5.1	Negative controls	No	No mention of negative controls.	s41467-023-36515-y.tsv
6.0	Quantification & quality assessments	Yes	Quality control steps described in Methods and Fig. S1.	s41467-023-36515-y.tsv
6.1	Contaminant mitigation & identification	Yes	Host DNA/RNA and fungal read filtering described.	s41467-023-36515-y.tsv
6.2	Replication	Yes	Four replicate plots described with biological replication.	s41467-023-36515-y.tsv
6.3	Sequencing methods	Yes	Illumina sequencing platforms and methods detailed in Methods.	s41467-023-36515-y.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Study focused on metagenomics/metatranscriptomics only.	s41467-023-36515-y.tsv
6.5	Contextual & linked datasets	Yes	Links to prior 16S rRNA and ITS studies provided.	s41467-023-36515-y.tsv
6.6	Batch effects	Yes	Sample processing and analysis standardization described.	s41467-023-36515-y.tsv
7.0	Bioinformatics analyses	Yes	Detailed bioinformatics pipeline described in Methods and Fig. 2.	s41467-023-36515-y.tsv
7.1	Quality control	Yes	QC steps for sequence data and MAGs described.	s41467-023-36515-y.tsv
7.2	Normalization	Yes	Read normalization methods described in Methods.	s41467-023-36515-y.tsv
7.3	Database information	Yes	Reference databases and versions listed in Methods.	s41467-023-36515-y.tsv
7.4	Statistical methods	Yes	Statistical analyses detailed in Methods.	s41467-023-36515-y.tsv
7.5	Missing data	Yes	Sample exclusion criteria described.	s41467-023-36515-y.tsv
7.6	Bias & confounding variables	Yes	Potential biases discussed throughout Methods and Results.	s41467-023-36515-y.tsv
7.7	Subgroup analysis	Yes	MAG clustering and subgroup analyses described.	s41467-023-36515-y.tsv
7.8	Sensitivity analyses	Yes	Multiple analytical approaches described to verify findings.	s41467-023-36515-y.tsv
7.9	Criteria for significance	Yes	Statistical significance criteria defined in Methods.	s41467-023-36515-y.tsv
8.0	Metadata access	Yes	Data availability statement provided.	s41467-023-36515-y.tsv
8.1	Host data access (if applicable)	Yes	Host genome references cited.	s41467-023-36515-y.tsv
8.2	Raw data access	Yes	Raw data deposited in JGI portal with accession.	s41467-023-36515-y.tsv
8.3	Processed data access	Yes	Processed data deposited in NCBI (PRJNA800073).	s41467-023-36515-y.tsv
8.4	Software & source code access	Yes	Code available on GitHub and Zenodo.	s41467-023-36515-y.tsv
8.5	Reproducible research	Yes	Reproducibility information provided in Methods.	s41467-023-36515-y.tsv
9.0	Descriptive data	Yes	Sample characteristics summarized in Results.	s41467-023-36515-y.tsv
10.0	Microbiome sequencing data	Yes	Comprehensive sequencing results presented.	s41467-023-36515-y.tsv
10.1	Metabolomics, proteomics, & other omics data	NA	Study focused on metagenomics/metatranscriptomics only.	s41467-023-36515-y.tsv
10.2	Statistical analyses	Yes	Statistical results reported throughout Results.	s41467-023-36515-y.tsv
10.3	Figures, tables, & captions	Yes	Clear figures and tables with detailed captions provided.	s41467-023-36515-y.tsv
11.0	Key results	Yes	Key findings summarized in Discussion.	s41467-023-36515-y.tsv
11.1	Interpretation	Yes	Results interpreted in context of objectives and field.	s41467-023-36515-y.tsv
11.2	Limitations	Yes	Study limitations discussed.	s41467-023-36515-y.tsv
11.3	Generalizability	Yes	Generalizability discussed in Discussion.	s41467-023-36515-y.tsv
12.0	Ongoing & future work	Yes	Future research directions outlined in Discussion.	s41467-023-36515-y.tsv
13.0	Conclusions	Yes	Clear conclusions provided.	s41467-023-36515-y.tsv
14.0	Acknowledgements	Yes	Detailed acknowledgements section with funding.	s41467-023-36515-y.tsv
14.1	Funding	Yes	Funding sources and grant numbers provided.	s41467-023-36515-y.tsv
15.0	Conflicts of interest	Yes	Authors declare no competing interests.	s41467-023-36515-y.tsv
16.0	Supplementary data & files	Yes	Supplementary data referenced throughout.	s41467-023-36515-y.tsv
17.0	Sample & data availability	Yes	Comprehensive data availability statement provided.	s41467-023-36515-y.tsv
18.0	AI usage	No	No mention of AI usage in the study.	s41467-023-36515-y.tsv
1.0	Structured or unstructured abstract	Yes	Contains unstructured abstract followed by plain language summary covering background, methods, results and significance.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
1.1	Study design	Yes	States comparative metatranscriptomic study design with 2-day time series across 3 lake types.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
1.2	Environmental & sample information	Yes	Describes freshwater lake samples from three different trophic states.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
1.3	Host information (if applicable)	NA	No host organisms involved in study.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
1.4	Experiments & omics methods	Yes	Details metatranscriptomic sequencing and analysis methods.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
1.5	Analyses & results	Yes	Reports findings on diel expression patterns between phototrophic and heterotrophic microbes.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
2.0	Background & rationale	Yes	Comprehensive introduction explaining importance of understanding microbial interactions in freshwater systems.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
2.1	Hypotheses or questions	Yes	Clear hypotheses stated about diel gene expression patterns.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.0	Study design	Yes	Details 2-day time series sampling every 4h in 3 contrasting lake types.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.1	Samples	Yes	Describes epilimnion sampling from 3 lakes with replication.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.2	Environmental context & geographic location	Yes	Provides coordinates and descriptions for each lake in Wisconsin.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.3	Relevant dates	Yes	Reports sampling dates in July 2016.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.4	Host(s) (if applicable)	NA	No host organisms involved.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.5	Ethics	NA	No permits required for water sampling.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.6	Environmental conditions & experimental treatments	Yes	Reports environmental parameters measured at each timepoint.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.7	Sample collection	Yes	Details integrated water sampling methods.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.8	Eligibility/selection criteria	Yes	Explains lake selection rationale based on trophic status.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
3.9	Analytic sample size	Yes	Reports triplicate samples per timepoint with some exceptions.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.0	Storage & preservation	Yes	Describes flash freezing and -80C storage.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.1	Shipping	NA	Not applicable as processed on site.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.2	Extraction methods	Yes	Details RNA extraction protocols.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.3	Experiments & sample processing	Yes	Describes sample processing and RNA isolation methods.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.4	Library preparation	Yes	Reports library prep methods including rRNA depletion.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.5	Depletion, enrichment, & multiplexing	Yes	Describes rRNA depletion approach.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
4.6	Primer selection	NA	Not applicable for metatranscriptomics.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
5.0	Positive controls	Yes	Reports use of internal RNA standard.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
5.1	Negative controls	No	No negative controls mentioned.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.0	Quantification & quality assessments	Yes	Details QC criteria and filtering steps.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.1	Contaminant mitigation & identification	Yes	Describes filtering of poor quality reads and samples.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.2	Replication	Yes	Reports replicate sampling and analysis approach.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.3	Sequencing methods	Yes	Details Illumina sequencing methods.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.4	Metabolomics, metaproteomics, & other omics methods	NA	Only metatranscriptomics performed.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.5	Contextual & linked datasets	Yes	References environmental data from NEON.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
6.6	Batch effects	No	No discussion of batch effects.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.0	Bioinformatics analyses	Yes	Comprehensive description of bioinformatics pipelines.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.1	Quality control	Yes	Details QC filtering criteria.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.2	Normalization	Yes	Describes normalization using internal standard.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.3	Database information	Yes	Reports reference databases used.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.4	Statistical methods	Yes	Details statistical approaches including RAIN analysis.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.5	Missing data	Yes	Explains handling of missing samples.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
7.6	Bias & confounding variables	Yes	Discusses technical variability.	Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.tsv
