Filename	DOI	Year	Volume	Pages	Title	Author	Subject	Keywords	Creation Date	Modification Date	Producer	Creator
blair-et-al-2018-exploration-of-the-biosynthetic-potential-of-the-populus-microbiome.pdf	10.1128/msystems.00045-18	2018	3	10	Exploration of the Biosynthetic Potential of the Populus Microbiome	Patricia M. Blair, Miriam L. Land, Marek J. Piatek, Daniel A. Jacobson, Tse-Yuan S. Lu, Mitchel J. Doktycz, Dale A. Pelletier	mSystems 2018.3:10.1128/msystems.00045-18	biosynthetic gene clusters, natural product biosynthesis, plant-microbe interactions, quorum sensing, rhizosphere-inhabiting microbes, siderophores	2018-09-24	2025-02-10	Adobe LiveCycle PDF Generator; modified using iText 4.2.0 by 1T3XT	XPP
s41597-019-0132-4.pdf	10.1038/s41597-019-0132-4				Microbial metagenomes and metatranscriptomes during a coastal phytoplankton bloom	Brent Nowinski	Scientific Data, doi:10.1038/s41597-019-0132-4		2019-07-12	2019-07-15	iText® 5.3.5 ©2000-2012 1T3XT BVBA (AGPL-version)	Springer
Limnology   Oceanography - 2019 - Linz - Time‐series metatranscriptomes reveal conserved patterns between phototrophic and.pdf		2020	65	S101-S112	Time‐series metatranscriptomes reveal conserved patterns between phototrophic and heterotrophic microbes in diverse freshwater systems		Limnology & Oceanography 2020.65:S101-S112		2020-01-20	2025-02-10	Acrobat Distiller 8.1.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.520/W Unicode
file.pdf					Distinct temporal diversity profiles for nitrogen cycling genes in a hyporheic microbiome	William C. Nelson, Emily B. Graham, Alex R. Crump, Sarah J. Fansler, Evan V. Arntzen, David W. Kennedy, James C. Stegen			2020-01-21	2020-01-21	PDFlib+PDI 9.0.6 (C++/Win64)	Arbortext Advanced Print Publisher 11.0.3521/W Unicode-x64
microorganisms-09-00357-v2.pdf					Soil Bacterial Diversity Is Positively Correlated with Decomposition Rates during Early Phases of Maize Litter Decomposition	Akane Chiba, Yoshitaka Uchida, Susanne Kublik, Gisle Vestergaard, Franz Buegger, Michael Schloter and Stefanie Schulz	This study aimed to investigate the effects of different levels of soil- and plant-associated bacterial diversity on the rates of litter decomposition, and bacterial community dynamics during its early phases. We performed an incubation experiment where soil bacterial diversity (but not abundance) was manipulated by autoclaving and reinoculation. Natural or autoclaved maize leaves were applied to the soils and incubated for 6 weeks. Bacterial diversity was assessed before and during litter decomposition using 16S rRNA gene metabarcoding. We found a positive correlation between litter decomposition rates and soil bacterial diversity. The soil with the highest bacterial diversity was dominated by oligotrophic bacteria including Acidobacteria, Nitrospiraceae, and Gaiellaceae, and its community composition did not change during the incubation. In the less diverse soils, those taxa were absent but were replaced by copiotrophic bacteria, such as Caulobacteraceae and Beijerinckiaceae, until the end of the incubation period. SourceTracker analysis revealed that litter-associated bacteria, such as Beijerinckiaceae, only became part of the bacterial communities in the less diverse soils. This suggests a pivotal role of oligotrophic bacteria during the early phases of litter decomposition and the predominance of copiotrophic bacteria at low diversity.	soil bacterial diversity; maize litter decomposition; Actinobacteria; Caulobacteraceae	2021-02-24	2021-02-24	pdfTeX-1.40.18	LaTeX with hyperref package
Environmental Microbiology - 2022 - Olmsted - Environmental predictors of electroactive bacterioplankton in small boreal.pdf		2023	25	705-720	Environmental predictors of electroactive bacterioplankton in small boreal lakes		Environmental Microbiology 2023.25:705-720		2023-02-23	2025-02-10	Acrobat Distiller 11.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.520/W Unicode
1-s2.0-S0016706121007540-main.pdf	10.1016/j.geoderma.2021.115674	2021	115674		Soil pore network response to freeze-thaw cycles in permafrost aggregates	Erin C. Rooney	Geoderma, 411 (2022) 115674. doi:10.1016/j.geoderma.2021.115674	Pore morphology,Pore connectivity,Freeze thaw,Microscale,Permafrost thaw,Arctic,Aggregates	2022-01-20	2022-01-20	Acrobat Distiller 8.1.0 (Windows)	Elsevier
Molecular Ecology - 2023 - He - Diversity  distribution  and expression of opsin genes in freshwater lakes.pdf		2023	32	2798-2817	Diversity, distribution, and expression of opsin genes in freshwater lakes		Molecular Ecology 2023.32:2798-2817		2023-05-18	2025-02-10	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 15.1 (Windows)
JGR Biogeosciences - 2022 - Rooney - The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw.pdf		2022	127	e2022JG006889	The Impact of Freeze‐Thaw History on Soil Carbon Response to Experimental Freeze‐Thaw Cycles		JGR Biogeosciences 2022.127:e2022JG006889		2022-05-19	2025-02-10	Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT	Adobe InDesign 15.1 (Windows)
s41564-022-01266-x.pdf	10.1038/s41564-022-01266-x				Standardized multi-omics of Earth’s microbiomes reveals microbial and metabolite diversity	Justin P. Shaffer	Nature Microbiology, doi:10.1038/s41564-022-01266-x		2022-11-30	2022-11-30		Springer
s41467-023-36515-y.pdf	10.1038/s41467-023-36515-y				Seasonal activities of the phyllosphere microbiome of perennial crops	Adina Howe	Nature Communications, doi:10.1038/s41467-023-36515-y		2023-02-23	2023-02-23	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
nguyen-et-al-2024-metatranscriptomes-of-two-biological-soil-crust-types-from-the-mojave-desert-in-response-to-wetting.pdf		2024	13	e01080-23	Metatranscriptomes of two biological soil crust types from the Mojave desert in response to wetting	Thuy M. Nguyen, Nuttapon Pombubpa, Marcel Huntemann, Alicia Clum, Brian Foster, Bryce Foster, Simon Roux, Krishnaveni Palaniappan, Neha Varghese, Supratim Mukherjee, T. B. K. Reddy, Chris Daum, Alex Copeland, I-Min A. Chen, Natalia N. Ivanova, Nikos C. Kyrpides, Miranda Harmon-Smith, Emiley A. Eloe-Fadrosh, Nicole Pietrasiak, Jason E. Stajich, Erik F. Y. Hom	Microbiol Resour Announc 2024.13:e01080-23	biocrust, RNA, transcriptome, wetting, desert, soil	2024-02-09	2025-02-10	Antenna House PDF Output Library 7.3.1866; modified using iText 4.2.0 by 1T3XT	Antenna XSL House Formatter V7.3 MR2 Linux : 7.3.3.60933 (2023-04-21T14:08+09)
2022.12.12.520098v2.full.pdf					12861919	Mans, Douglas M			2023-03-14	2025-02-10	Microsoft® Word for Microsoft 365	Appligent AppendPDF Pro 5.5
s41597-024-03069-7.pdf	10.1038/s41597-024-03069-7				An integrated metagenomic, metabolomic and transcriptomic survey of Populus across genotypes and environments	Christopher Schadt	Scientific Data, doi:10.1038/s41597-024-03069-7		2024-04-05	2024-04-05	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.pdf	10.1128/msystems.00768-19	2020	5	10	Complementary Metagenomic Approaches Improve Reconstruction of Microbial Diversity in a Forest Soil	L. V. Alteio, F. Schulz, R. Seshadri, N. Varghese, W. Rodriguez-Reillo, E. Ryan, D. Goudeau, S. A. Eichorst, R. R. Malmstrom, R. M. Bowers, L. A. Katz, J. L. Blanchard, T. Woyke	mSystems 2020.5:10.1128/msystems.00768-19	flow cytometry, metagenomics, microbial ecology, soil microbiology	2020-03-05	2025-02-10	Adobe LiveCycle PDF Generator; modified using iText 5.0.3 (c) 1T3XT BVBA	XPP
New Phytologist - 2018 - Sasse - Multilab EcoFAB study shows highly reproducible physiology and depletion of soil.pdf		2019	222	1149-1160	Multilab EcoFAB study shows highly reproducible physiology and depletion of soil metabolites by a model grass		New Phytologist 2019.222:1149-1160		2019-03-08	2024-07-25	Acrobat Distiller 10.0.0 (Windows); modified using iText 4.2.0 by 1T3XT	Arbortext Advanced Print Publisher 9.1.531/W Unicode
