Filename	DOI	inferred	looked-up	update	Year	Volume	Pages	Title	Author	Subject	Keywords	Creation Date	Modification Date	Producer	Creator
acp-23-15783-2023.pdf			10.5194/acp-23-15783-2023									45282	45282	pdfTeX-1.40.19	copernicus.cls Version 2023/11/02 10.1.11 Copernicus papers, produced from XML
nguyen-et-al-2024-metatranscriptomes-of-two-biological-soil-crust-types-from-the-mojave-desert-in-response-to-wetting.pdf		10.1128/mra.01080-23			2024	13	e01080-23	Metatranscriptomes of two biological soil crust types from the Mojave desert in response to wetting	Thuy M. Nguyen, Nuttapon Pombubpa, Marcel Huntemann, Alicia Clum, Brian Foster, Bryce Foster, Simon Roux, Krishnaveni Palaniappan, Neha Varghese, Supratim Mukherjee, T. B. K. Reddy, Chris Daum, Alex Copeland, I-Min A. Chen, Natalia N. Ivanova, Nikos C. Kyrpides, Miranda Harmon-Smith, Emiley A. Eloe-Fadrosh, Nicole Pietrasiak, Jason E. Stajich, Erik F. Y. Hom	Microbiol Resour Announc 2024.13:e01080-23	biocrust, RNA, transcriptome, wetting, desert, soil	45331	45698	Antenna House PDF Output Library 7.3.1866; modified using iText 4.2.0 by 1T3XT	Antenna XSL House Formatter V7.3 MR2 Linux : 7.3.3.60933 (2023-04-21T14:08+09)
file.pdf		10.1371/journal.pone.0228165						Distinct temporal diversity profiles for nitrogen cycling genes in a hyporheic microbiome	William C. Nelson, Emily B. Graham, Alex R. Crump, Sarah J. Fansler, Evan V. Arntzen, David W. Kennedy, James C. Stegen			43851	43851	PDFlib+PDI 9.0.6 (C++/Win64)	Arbortext Advanced Print Publisher 11.0.3521/W Unicode-x64
microorganisms-09-00357-v2.pdf		10.3390/microorganisms9020357						Soil Bacterial Diversity Is Positively Correlated with Decomposition Rates during Early Phases of Maize Litter Decomposition	Akane Chiba, Yoshitaka Uchida, Susanne Kublik, Gisle Vestergaard, Franz Buegger, Michael Schloter and Stefanie Schulz	This study aimed to investigate the effects of different levels of soil- and plant-associated bacterial diversity on the rates of litter decomposition, and bacterial community dynamics during its early phases. We performed an incubation experiment where soil bacterial diversity (but not abundance) was manipulated by autoclaving and reinoculation. Natural or autoclaved maize leaves were applied to the soils and incubated for 6 weeks. Bacterial diversity was assessed before and during litter decomposition using 16S rRNA gene metabarcoding. We found a positive correlation between litter decomposition rates and soil bacterial diversity. The soil with the highest bacterial diversity was dominated by oligotrophic bacteria including Acidobacteria, Nitrospiraceae, and Gaiellaceae, and its community composition did not change during the incubation. In the less diverse soils, those taxa were absent but were replaced by copiotrophic bacteria, such as Caulobacteraceae and Beijerinckiaceae, until the end of the incubation period. SourceTracker analysis revealed that litter-associated bacteria, such as Beijerinckiaceae, only became part of the bacterial communities in the less diverse soils. This suggests a pivotal role of oligotrophic bacteria during the early phases of litter decomposition and the predominance of copiotrophic bacteria at low diversity.	soil bacterial diversity; maize litter decomposition; Actinobacteria; Caulobacteraceae	44251	44251	pdfTeX-1.40.18	LaTeX with hyperref package
1-s2.0-S0016706121007540-main.pdf	10.1016/j.geoderma.2021.115674				2021	115674		Soil pore network response to freeze-thaw cycles in permafrost aggregates	Erin C. Rooney	Geoderma, 411 (2022) 115674. doi:10.1016/j.geoderma.2021.115674	Pore morphology,Pore connectivity,Freeze thaw,Microscale,Permafrost thaw,Arctic,Aggregates	44581	44581	Acrobat Distiller 8.1.0 (Windows)	Elsevier
s41467-023-36515-y.pdf	10.1038/s41467-023-36515-y							Seasonal activities of the phyllosphere microbiome of perennial crops	Adina Howe	Nature Communications, doi:10.1038/s41467-023-36515-y		44980	44980	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
41564_2019_Article_449.pdf	10.1038/s41564-019-0449-y							Mediterranean grassland soil C–N compound turnover is dependent on rainfall and depth, and is mediated by genomically divergent microorganisms	Spencer Diamond	Nature Microbiology, doi:10.1038/s41564-019-0449-y		43663	43663		Springer
s41564-020-00861-0.pdf	10.1038/s41564-020-00861-0							Genomic and functional analyses of fungal and bacterial consortia that enable lignocellulose breakdown in goat gut microbiomes	Xuefeng Peng	Nature Microbiology, doi:10.1038/s41564-020-00861-0		44279	44279		Springer
s41564-022-01266-x.pdf	10.1038/s41564-022-01266-x							Standardized multi-omics of Earth’s microbiomes reveals microbial and metabolite diversity	Justin P. Shaffer	Nature Microbiology, doi:10.1038/s41564-022-01266-x		44895	44895		Springer
s41597-019-0132-4.pdf	10.1038/s41597-019-0132-4							Microbial metagenomes and metatranscriptomes during a coastal phytoplankton bloom	Brent Nowinski	Scientific Data, doi:10.1038/s41597-019-0132-4		43658	43661	iText® 5.3.5 ©2000-2012 1T3XT BVBA (AGPL-version)	Springer
s41597-024-03069-7.pdf	10.1038/s41597-024-03069-7							An integrated metagenomic, metabolomic and transcriptomic survey of Populus across genotypes and environments	Christopher Schadt	Scientific Data, doi:10.1038/s41597-024-03069-7		45387	45387	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
s41597-024-04013-5.pdf	10.1038/s41597-024-04013-5							Microbial Metagenomes Across a Complete Phytoplankton Bloom Cycle: High-Resolution Sampling Every 4 Hours Over 22 Days	Brook L. Nunn	Scientific Data, doi:10.1038/s41597-024-04013-5		45672	45678	iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Springer
bell-et-al-2020-metatranscriptomic-sequencing-of-a-cyanobacterial-soil-surface-consortium-with-and-without-a-diverse.pdf	10.1128/mra.01361-19				2020	9	10	Metatranscriptomic Sequencing of a Cyanobacterial Soil-Surface Consortium with and without a Diverse Underlying Soil Microbiome	Terrence H. Bell, Ryan V. Trexler, Xin Peng, Marcel Huntemann, Alicia Clum, Brian Foster, Bryce Foster, Simon Roux, Krishnaveni Palaniappan, Neha Varghese, Supratim Mukherjee, T. B. K. Reddy, Chris Daum, Alex Copeland, Natalia N. Ivanova, Nikos C. Kyrpides, Christa Pennacchio, Emiley A. Eloe-Fadrosh, Mary Ann Bruns	Microbiol Resour Announc 2020.9:10.1128/mra.01361-19		43809	45698	Adobe LiveCycle PDF Generator; modified using iText 4.2.0 by 1T3XT	XPP
blair-et-al-2018-exploration-of-the-biosynthetic-potential-of-the-populus-microbiome.pdf	10.1128/msystems.00045-18				2018	3	10	Exploration of the Biosynthetic Potential of the Populus Microbiome	Patricia M. Blair, Miriam L. Land, Marek J. Piatek, Daniel A. Jacobson, Tse-Yuan S. Lu, Mitchel J. Doktycz, Dale A. Pelletier	mSystems 2018.3:10.1128/msystems.00045-18	biosynthetic gene clusters, natural product biosynthesis, plant-microbe interactions, quorum sensing, rhizosphere-inhabiting microbes, siderophores	43367	45698	Adobe LiveCycle PDF Generator; modified using iText 4.2.0 by 1T3XT	XPP
alteio-et-al-2020-complementary-metagenomic-approaches-improve-reconstruction-of-microbial-diversity-in-a-forest-soil.pdf	10.1128/msystems.00768-19				2020	5	10	Complementary Metagenomic Approaches Improve Reconstruction of Microbial Diversity in a Forest Soil	L. V. Alteio, F. Schulz, R. Seshadri, N. Varghese, W. Rodriguez-Reillo, E. Ryan, D. Goudeau, S. A. Eichorst, R. R. Malmstrom, R. M. Bowers, L. A. Katz, J. L. Blanchard, T. Woyke	mSystems 2020.5:10.1128/msystems.00768-19	flow cytometry, metagenomics, microbial ecology, soil microbiology	43895	45698	Adobe LiveCycle PDF Generator; modified using iText 5.0.3 (c) 1T3XT BVBA	XPP
s40168-020-00889-8.pdf	10.1186/s40168-020-00889-8							Influence of the polar light cycle on seasonal dynamics of an Antarctic lake microbial community	Pratibha Panwar	Microbiome, 2020, doi:10.1186/s40168-020-00889-8	Antarctic microbiology,Polar light cycle,Metagenome time series,Host-virus interactions,Meromictic lake,Microbial food web,Green sulfur bacteria,Phototroph	44149	44150	Acrobat Distiller 10.0.0 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)	Arbortext Advanced Print Publisher 9.1.440/W Unicode
