accession	Package.content	Package.display_name	Status.status	Status.when	access	id	last_update	publication_date	submission_date	owner_name	description	organism_name	taxonomy_id	taxonomy_name	elev	env_broad_scale	env_local_scale	env_package	env_medium	geo_loc_name	host_subject_id	investigation_type	project_name	sample_name	sample_type	samp_store_dur	samp_store_loc	samp_store_temp	diet	host_body_habitat	host_body_product	host_tissue_sampled	host_common_name	host	host_taxid	host_diet	host_life_stage	host_sex	cur_vegetation	ph	oxy_stat_samp	experimental_factor	soil_type	life_stage	sex	host_substrate	chem_administration	gravidity	host_age	host_last_meal	host_family_relationship	substrate	store_cond	density	diss_oxygen	fluor	host_disease	air_temp	drainage_class	cur_land_use	water_content	water_content_soil_meth	local_class	fao_class	link_climate_info	ph_meth	soil_text_measure	samp_vol_we_dna_ext	carb_nitro_ratio	slope_gradient	tot_nitro	tot_org_carb	annual_season_temp	flooding	soil_horizon	link_class_info	soil_texture_meth
SAMEA7723400	Generic.1.0	Generic	live	2020-12-18T17:07:03.713	public	17116604	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:51.106	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Nelson Creek underlying tall Spartina alterniflora	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed4	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s004	sediment																																																				
SAMEA7723401	Generic.1.0	Generic	live	2020-12-18T17:07:04.087	public	17116605	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:51.390	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Clubhead Creek underlying Spartina patens	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed5	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s005	sediment																																																				
SAMEA7723402	Generic.1.0	Generic	live	2020-12-18T17:07:04.463	public	17116606	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:51.670	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Sweeney Creek underlying Spartina patens	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed6	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s006	sediment																																																				
SAMEA7723403	Generic.1.0	Generic	live	2020-12-18T17:07:04.573	public	17116607	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:51.966	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Clubhead Creek underlying Spartina patens'	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed11	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s011	sediment																																																				
SAMEA7723404	Generic.1.0	Generic	live	2020-12-18T17:07:04.930	public	17116608	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:52.250	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at Sweeney Creek underlying Spartina patens	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed12	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s012	sediment																																																				
SAMEA7723405	Generic.1.0	Generic	live	2020-12-18T17:07:05.307	public	17116609	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:52.530	EBI	Salt marsh sediment sample collected from the Plum Island LTER Site in Rowley, MA at West Creek underlying tall Spartina alterniflora	marine sediment metagenome	412755	marine sediment metagenome	0	marine salt marsh biome	marine benthic feature	sediment	marine sediment	USA: Commonwealth of Massachusetts,Plum Island	Bowen74.sed15	metagenome	Plum Island sediments	qiita_sid_13114:13114.bowen.74.s015	sediment																																																				
SAMEA7723406	Generic.1.0	Generic	live	2020-12-18T17:07:05.667	public	17116610	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:52.903	EBI	Gill taken from the shipworm species Bankia setacea	mollusc metagenome	1417798	mollusc metagenome	0	marine biome	host-associated habitat	host-associated	organic material	USA: State of Washington,Puget Sound	BS.1.Gill	metagenome	Shipworm parts and wood	qiita_sid_13114:13114.distel.72.s001	shipworm gill				xylophagous	UBERON:respiratory system	UBERON:tissue	UBERON:gill	feathery shipworm	Bankia setacea	693219																																										
SAMEA7723407	Generic.1.0	Generic	live	2020-12-18T17:07:06.027	public	17116611	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:53.250	EBI	Siphons taken from specimen, representative of surface microbial community (negative control for gill and visceral mass samples)	mollusc metagenome	1417798	mollusc metagenome	0	marine biome	host-associated habitat	host-associated	organic material	USA: State of Washington,Puget Sound	BS.2.Siphon	metagenome	Shipworm parts and wood	qiita_sid_13114:13114.distel.72.s005	shipworm siphon				xylophagous	UBERON:adult organism	UBERON:tissue	UBERON:tunicate siphon	feathery shipworm	Bankia setacea	693219																																										
SAMEA7723408	Generic.1.0	Generic	live	2020-12-18T17:07:06.400	public	17116612	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:53.606	EBI	Frass, of feacal matter of Lyrodus pedicellatus	mollusc metagenome	1417798	mollusc metagenome	0	marine biome	host-associated habitat	host-associated	feces	USA: Commonwealth of Massachusetts,Massachusetts Bay	LP.Frass.1	metagenome	Shipworm parts and wood	qiita_sid_13114:13114.distel.72.s011	shipworm feces				xylophagous	UBERON:feces	UBERON:feces	UBERON:feces	blacktip shipworm	Lyrodus pedicellatus	457830																																										
SAMEA7723409	Generic.1.0	Generic	live	2020-12-18T17:07:06.510	public	17116613	2021-08-23T00:26:41.000	2020-12-17T00:00:00.000	2020-12-18T16:06:53.950	EBI	Wood colonized by Lyrodus pedicellatus	metagenome	256318	metagenome	0	marine biome	host-associated habitat	host-associated	wood	USA: Commonwealth of Massachusetts,Massachusetts Bay	Wood.1	metagenome	Shipworm parts and wood	qiita_sid_13114:13114.distel.72.s014	wood								blacktip shipworm	Lyrodus pedicellatus	457830																																										
SAMEA7723410	Generic.1.0	Generic	live	2020-12-18T17:07:06.807	public	17116614	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:54.233	EBI	Fin whale feces (from individual BP1)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	USA: Commonwealth of Massachusetts	FinBP1	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s001	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Fin Whale	Balaenoptera physalus	9770	carnivore	adult	not determined																																							
SAMEA7723411	Generic.1.0	Generic	live	2020-12-18T17:07:07.120	public	17116615	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:54.530	EBI	Fin whale feces (from individual BP2)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	USA: Commonwealth of Massachusetts	FinBP2	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s002	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Fin Whale	Balaenoptera physalus	9770	carnivore	adult	not determined																																							
SAMEA7723412	Generic.1.0	Generic	live	2020-12-18T17:07:07.430	public	17116616	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:54.810	EBI	Humpback whale feces (from individual AK1)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	USA: State of Alaska,Sitka Sound	HumpbackAK1	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s005	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Humpback Whale	Megaptera novaeangliae	9773	carnivore	adult	not determined																																							
SAMEA7723413	Generic.1.0	Generic	live	2020-12-18T17:07:07.730	public	17116617	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:55.106	EBI	Humpback whale feces (from individual AK3)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	USA: State of Alaska,Seymour Canal	HumpbackAK3	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s007	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Humpback Whale	Megaptera novaeangliae	9773	carnivore	adult	not determined																																							
SAMEA7723414	Generic.1.0	Generic	live	2020-12-18T17:07:08.040	public	17116618	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:55.390	EBI	Humpback whale feces (from individual AK4)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	USA: State of Alaska,Seymour Canal	HumpbackAK4	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s008	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Humpback Whale	Megaptera novaeangliae	9773	carnivore	adult	not determined																																							
SAMEA7723415	Generic.1.0	Generic	live	2020-12-18T17:07:08.340	public	17116619	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:55.686	EBI	Right whale feces (from individual EG5)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	Canada:Nova Scotia,Bay of Fundy	RightEG5	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s011	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	North Atlantic Right Whale	Eubalaena glacialis	27606	carnivore	adult	not determined																																							
SAMEA7723416	Generic.1.0	Generic	live	2020-12-18T17:07:08.650	public	17116620	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:55.966	EBI	Sei whale feces (from individual F18)	gut metagenome	749906	gut metagenome	0	marine biome	animal-associated habitat	host-associated	feces	Canada:Nova Scotia,Bay of Fundy	SeiF18	metagenome	50-GirguisEMPWhales	qiita_sid_13114:13114.girguis.50.s012	stool				carnivore	UBERON:feces	UBERON:feces	UBERON:feces	Sei Whale	Balaenoptera borealis	9768	carnivore	adult	not determined																																							
SAMEA7723417	Generic.1.0	Generic	live	2020-12-18T17:07:08.947	public	17116621	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:56.263	EBI	Jensen43.sediment.2	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	sediment	sediment	marine sediment	Atlantic Ocean:Northeast Atlantic Ocean,Azores	AZ10-86	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s001	sediment																																																				
SAMEA7723418	Generic.1.0	Generic	live	2020-12-18T17:07:09.260	public	17116622	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:56.546	EBI	Jensen43.sediment.16	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	marine reef	sediment	marine sediment	Atlantic Ocean:Northwest Atlantic Ocean,The Bahamas	BA10-263	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s004	sediment																																																				
SAMEA7723419	Generic.1.0	Generic	live	2020-12-18T17:07:09.573	public	17116623	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:56.890	EBI	Jensen43.sediment.6	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	mangrove	sediment	marine sediment	Atlantic Ocean:Northwest Atlantic Ocean,Belize	BZ15-13	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s005	sediment																																																				
SAMEA7723420	Generic.1.0	Generic	live	2020-12-18T17:07:09.883	public	17116624	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:57.170	EBI	Jensen43.sediment.7	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	lagoon	sediment	marine sediment	Atlantic Ocean:Northwest Atlantic Ocean,Belize	BZ15-16	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s006	sediment																																																				
SAMEA7723421	Generic.1.0	Generic	live	2020-12-18T17:07:10.197	public	17116625	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:57.466	EBI	Jensen43.sediment.31	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	mud	sediment	marine sediment	Pacific Ocean:Northeast Pacific Ocean,San Diego coastal	MCO700-17.1	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s008	sediment																																																				
SAMEA7723422	Generic.1.0	Generic	live	2020-12-18T17:07:10.510	public	17116626	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:57.763	EBI	Jensen43.sediment.32	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	mud	sediment	marine sediment	Pacific Ocean:Northeast Pacific Ocean,San Diego coastal	MCO700-17.2	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s009	sediment																																																				
SAMEA7723423	Generic.1.0	Generic	live	2020-12-18T17:07:10.807	public	17116627	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:58.060	EBI	Jensen43.sediment.12	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	marine reef	sediment	marine sediment	Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan	MX12-213	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s013	sediment																																																				
SAMEA7723424	Generic.1.0	Generic	live	2020-12-18T17:07:11.120	public	17116628	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:58.343	EBI	Jensen43.sediment.14	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	marine reef	sediment	marine sediment	Atlantic Ocean:Northwest Atlantic Ocean,Mexican Yucatan	MX12-236	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s014	sediment																																																				
SAMEA7723425	Generic.1.0	Generic	live	2020-12-18T17:07:11.493	public	17116629	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:58.623	EBI	Jensen43.sediment.21	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	marine reef	sediment	marine sediment	Pacific Ocean:Northwest Pacific Ocean,Northern Mariana Islands	NM11-271	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s015	sediment																																																				
SAMEA7723426	Generic.1.0	Generic	live	2020-12-18T17:07:11.853	public	17116630	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:58.903	EBI	Jensen43.sediment.22	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	sediment	sediment	marine sediment	Pacific Ocean:Northwest Pacific Ocean,Northern Mariana Islands	NM11-377	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s016	sediment																																																				
SAMEA7723427	Generic.1.0	Generic	live	2020-12-18T17:07:12.150	public	17116631	2024-02-07T05:16:51.000	2020-12-17T00:00:00.000	2020-12-18T16:06:59.186	EBI	Jensen43.sediment.26	marine sediment metagenome	412755	marine sediment metagenome	0	marine benthic biome	sediment	sediment	marine sediment	Pacific Ocean:Northwest Pacific Ocean,Palau	PL04-37	metagenome	Jensen sediments from global ocean	qiita_sid_13114:13114.jensen.43.s017	sediment																																																				
SAMEA7723428	Generic.1.0	Generic	live	2020-12-18T17:07:12.527	public	17116632	2021-08-23T00:26:42.000	2020-12-17T00:00:00.000	2020-12-18T16:06:59.466	EBI	surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Edge1.1.0_2	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s001	soil														sedge																																						
SAMEA7723429	Generic.1.0	Generic	live	2020-12-18T17:07:12.887	public	17116633	2021-08-23T00:26:43.000	2020-12-17T00:00:00.000	2020-12-18T16:06:59.750	EBI	surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Edge1.2.0_2	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s003	soil														sedge																																						
SAMEA7723430	Generic.1.0	Generic	live	2020-12-18T17:07:13.243	public	17116634	2021-08-23T00:26:43.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.046	EBI	sub-surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Edge2.1.8_10	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s007	soil														sedge and Metrosideros polymorpha																																						
SAMEA7723431	Generic.1.0	Generic	live	2020-12-18T17:07:13.353	public	17116635	2021-08-23T00:26:46.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.140	EBI	sub-surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Edge2.2.8_10	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s008	soil														sedge and Metrosideros polymorpha																																						
SAMEA7723432	Generic.1.0	Generic	live	2020-12-18T17:07:13.713	public	17116636	2021-08-23T00:26:46.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.280	EBI	sub-surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Forest.2.8_10	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s013	soil														mixed Metrosideros polymorpha forest																																						
SAMEA7723433	Generic.1.0	Generic	live	2020-12-18T17:07:14.090	public	17116637	2021-08-23T00:26:48.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.373	EBI	surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Forest.3.0_2	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s014	soil														mixed Metrosideros polymorpha forest																																						
SAMEA7723434	Generic.1.0	Generic	live	2020-12-18T17:07:14.463	public	17116638	2021-08-23T00:26:44.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.653	EBI	sub-surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Thermal.1.8_10	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s017	soil																																																				
SAMEA7723435	Generic.1.0	Generic	live	2020-12-18T17:07:14.823	public	17116639	2021-08-23T00:26:44.000	2020-12-17T00:00:00.000	2020-12-18T16:07:00.936	EBI	surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Thermal.2.0_2	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s018	soil																																																				
SAMEA7723436	Generic.1.0	Generic	live	2020-12-18T17:07:15.183	public	17116640	2021-08-23T00:26:46.000	2020-12-17T00:00:00.000	2020-12-18T16:07:01.233	EBI	sub-surface soil	soil metagenome	410658	soil metagenome	1500	forest biome	volcanic feature	soil	volcanic soil	USA: State of Hawaii,Kilauea Volcano	King27.Thermal.3.8_10	metagenome	Puhimau succession study	qiita_sid_13114:13114.king.27.s021	soil																																																				
SAMEA7723437	Generic.1.0	Generic	live	2020-12-18T17:07:15.557	public	17116641	2021-08-23T00:26:46.000	2020-12-17T00:00:00.000	2020-12-18T16:07:01.513	EBI	playa sample 11666	freshwater sediment metagenome	556182	freshwater sediment metagenome	1142	grassland biome	intermittent pond	sediment	lake sediment	USA: State of Texas,Deaf Smith County	11666	metagenome	West Texas Playa	qiita_sid_13114:13114.mayer.33.s002	sediment															7.02																																					
