biosample_id	has_raw_value	extracted_label	extracted_curie	extracted_timestamp	term_id	term_name
nmdc:bsm-11-3dt94x36	cytopoint [CHEBI:00000];2019-10-22	cytopoint	CHEBI:00000	2019-10-22	CHEBI:00000	cytopoint
nmdc:bsm-11-3dt94x36	cephalexin [CHEBI:3534];2019-10-22	cephalexin	CHEBI:3534	2019-10-22	CHEBI:3534	cephalexin
nmdc:bsm-11-4fnr9v33	5-ASA [CHEBI:6775];2021-10-01	5-ASA	CHEBI:6775	2021-10-01	CHEBI:6775	5-ASA
nmdc:bsm-11-4npvan94	prednisone [CHEBI:8382];2020-08-18	prednisone	CHEBI:8382	2020-08-18	CHEBI:8382	prednisone
nmdc:bsm-11-4npvan94	ondansetron [CHEBI:7773];2020-08-18	ondansetron	CHEBI:7773	2020-08-18	CHEBI:7773	ondansetron
nmdc:bsm-11-4npvan94	clindamycin [CHEBI:176915];2020-08-18	clindamycin	CHEBI:176915	2020-08-18	CHEBI:176915	clindamycin
nmdc:bsm-11-65dyy087	cyclosporine [CHEBI:4031];2020-07-13	cyclosporine	CHEBI:4031	2020-07-13	CHEBI:4031	cyclosporine
nmdc:bsm-11-65dyy087	S-adenosyl-L-methionine [CHEBI:15414];2020-07-13	S-adenosyl-L-methionine	CHEBI:15414	2020-07-13	CHEBI:15414	S-adenosyl-L-methionine
nmdc:bsm-11-65dyy087	silibinin [CHEBI:9144];2020-07-13	silibinin	CHEBI:9144	2020-07-13	CHEBI:9144	silibinin
nmdc:bsm-11-65dyy087	phosphatidylcholine [CHEBI:64482];2020-07-13	phosphatidylcholine	CHEBI:64482	2020-07-13	CHEBI:64482	phosphatidylcholine
nmdc:bsm-11-65dyy087	ursodiol [CHEBI:9907];2020-07-13	ursodiol	CHEBI:9907	2020-07-13	CHEBI:9907	ursodiol
nmdc:bsm-11-65dyy087	d-penicillamine [CHEBI:7959];2020-07-13	d-penicillamine	CHEBI:7959	2020-07-13	CHEBI:7959	d-penicillamine
nmdc:bsm-11-65dyy087	maropitant [CHEBI:00000];2020-07-13	maropitant	CHEBI:00000	2020-07-13	CHEBI:00000	maropitant
nmdc:bsm-11-65dyy087	clavamox [CHEBI:2676];2020-07-13	clavamox	CHEBI:2676	2020-07-13	CHEBI:2676	clavamox
nmdc:bsm-11-6dx49t70	clindamycin [CHEBI:176915];2019-10-28	clindamycin	CHEBI:176915	2019-10-28	CHEBI:176915	clindamycin
nmdc:bsm-11-6kjgk713	carprofen [CHEBI:364453];2021-06-25	carprofen	CHEBI:364453	2021-06-25	CHEBI:364453	carprofen
nmdc:bsm-11-6kjgk713	trazadone [CHEBI:9654];2021-06-25	trazadone	CHEBI:9654	2021-06-25	CHEBI:9654	trazadone
nmdc:bsm-11-6kjgk713	clavamox [CHEBI:2676];2021-06-25	clavamox	CHEBI:2676	2021-06-25	CHEBI:2676	clavamox
nmdc:bsm-11-723rr185	prednisolone [CHEBI:8378];2019-10-30	prednisolone	CHEBI:8378	2019-10-30	CHEBI:8378	prednisolone
nmdc:bsm-11-723rr185	omperazole [CHEBI:7772];2019-10-30	omperazole	CHEBI:7772	2019-10-30	CHEBI:7772	omperazole
nmdc:bsm-11-723rr185	enrofloxacin [CHEBI:35720];2019-10-30	enrofloxacin	CHEBI:35720	2019-10-30	CHEBI:35720	enrofloxacin
nmdc:bsm-11-723rr185	metronidazole [CHEBI:6909];2019-10-30	metronidazole	CHEBI:6909	2019-10-30	CHEBI:6909	metronidazole
nmdc:bsm-11-7pyf6x17	prednisone [CHEBI:8382];2019-09-20	prednisone	CHEBI:8382	2019-09-20	CHEBI:8382	prednisone
nmdc:bsm-11-7pyf6x17	ondansetron [CHEBI:7773];2019-09-20	ondansetron	CHEBI:7773	2019-09-20	CHEBI:7773	ondansetron
nmdc:bsm-11-7pyf6x17	enrofloxacin [CHEBI:35720];2019-09-20	enrofloxacin	CHEBI:35720	2019-09-20	CHEBI:35720	enrofloxacin
nmdc:bsm-11-7yq6an11	5-ASA [CHEBI:6775];2021-11-05	5-ASA	CHEBI:6775	2021-11-05	CHEBI:6775	5-ASA
nmdc:bsm-11-96cg5y52	5-ASA [CHEBI:6775];2021-10-01	5-ASA	CHEBI:6775	2021-10-01	CHEBI:6775	5-ASA
nmdc:bsm-11-9ab7zp76	pantoprazole [CHEBI:50270];2021-06-23	pantoprazole	CHEBI:50270	2021-06-23	CHEBI:50270	pantoprazole
nmdc:bsm-11-9ab7zp76	maropitant [CHEBI:00000];2021-06-23	maropitant	CHEBI:00000	2021-06-23	CHEBI:00000	maropitant
nmdc:bsm-11-a20k3m91	prednisone [CHEBI:8382];2021-07-02	prednisone	CHEBI:8382	2021-07-02	CHEBI:8382	prednisone
nmdc:bsm-11-a20k3m91	theophylline [CHEBI:28177];2021-07-02	theophylline	CHEBI:28177	2021-07-02	CHEBI:28177	theophylline
nmdc:bsm-11-a8v0qs62	pimobendan [CHEBI:32003];2021-02-04	pimobendan	CHEBI:32003	2021-02-04	CHEBI:32003	pimobendan
nmdc:bsm-11-a8v0qs62	benazapril [CHEBI:3011];2021-02-04	benazapril	CHEBI:3011	2021-02-04	CHEBI:3011	benazapril
nmdc:bsm-11-a8v0qs62	spironolactone [CHEBI:9241];2021-02-04	spironolactone	CHEBI:9241	2021-02-04	CHEBI:9241	spironolactone
nmdc:bsm-11-a8v0qs62	prednisolone [CHEBI:8378];2021-02-04	prednisolone	CHEBI:8378	2021-02-04	CHEBI:8378	prednisolone
nmdc:bsm-11-a8v0qs62	vitamin B12 [CHEBI:176843];2021-02-04	vitamin B12	CHEBI:176843	2021-02-04	CHEBI:176843	vitamin B12
nmdc:bsm-11-a8v0qs62	clavamox [CHEBI:2676];2021-02-04	clavamox	CHEBI:2676	2021-02-04	CHEBI:2676	clavamox
nmdc:bsm-11-b6m87a11	prednisolone [CHEBI:8378];2019-10-07	prednisolone	CHEBI:8378	2019-10-07	CHEBI:8378	prednisolone
nmdc:bsm-11-b6m87a11	omperazole [CHEBI:7772];2019-10-07	omperazole	CHEBI:7772	2019-10-07	CHEBI:7772	omperazole
nmdc:bsm-11-bge02v68	carprofen [CHEBI:364453];2021-02-20	carprofen	CHEBI:364453	2021-02-20	CHEBI:364453	carprofen
nmdc:bsm-11-bge02v68	simplicef [CHEBI:3504];2021-02-20	simplicef	CHEBI:3504	2021-02-20	CHEBI:3504	simplicef
nmdc:bsm-11-dxg82v16	cyclosporine [CHEBI:4031];2020-07-06	cyclosporine	CHEBI:4031	2020-07-06	CHEBI:4031	cyclosporine
nmdc:bsm-11-dxg82v16	S-adenosyl-L-methionine [CHEBI:15414];2020-07-06	S-adenosyl-L-methionine	CHEBI:15414	2020-07-06	CHEBI:15414	S-adenosyl-L-methionine
nmdc:bsm-11-dxg82v16	silibinin [CHEBI:9144];2020-07-06	silibinin	CHEBI:9144	2020-07-06	CHEBI:9144	silibinin
nmdc:bsm-11-dxg82v16	phosphatidylcholine [CHEBI:64482];2020-07-06	phosphatidylcholine	CHEBI:64482	2020-07-06	CHEBI:64482	phosphatidylcholine
nmdc:bsm-11-dxg82v16	ursodiol [CHEBI:9907];2020-07-06	ursodiol	CHEBI:9907	2020-07-06	CHEBI:9907	ursodiol
nmdc:bsm-11-dxg82v16	d-penicillamine [CHEBI:7959];2020-07-06	d-penicillamine	CHEBI:7959	2020-07-06	CHEBI:7959	d-penicillamine
nmdc:bsm-11-dxg82v16	maropitant [CHEBI:00000];2020-07-06	maropitant	CHEBI:00000	2020-07-06	CHEBI:00000	maropitant
nmdc:bsm-11-dzmzp451	5-ASA [CHEBI:6775];2021-11-05	5-ASA	CHEBI:6775	2021-11-05	CHEBI:6775	5-ASA
nmdc:bsm-11-eyzhzh94	carprofen [CHEBI:364453];2021-02-15	carprofen	CHEBI:364453	2021-02-15	CHEBI:364453	carprofen
nmdc:bsm-11-fg6rdz39	ursodiol [CHEBI:9907];2021-12-21	ursodiol	CHEBI:9907	2021-12-21	CHEBI:9907	ursodiol
nmdc:bsm-11-fg6rdz39	S-adenosyl-L-methionine [CHEBI:15414];2021-12-21	S-adenosyl-L-methionine	CHEBI:15414	2021-12-21	CHEBI:15414	S-adenosyl-L-methionine
nmdc:bsm-11-fg6rdz39	silibinin [CHEBI:9144];2021-12-21	silibinin	CHEBI:9144	2021-12-21	CHEBI:9144	silibinin
nmdc:bsm-11-fg6rdz39	phosphatidylcholine [CHEBI:64482];2021-12-21	phosphatidylcholine	CHEBI:64482	2021-12-21	CHEBI:64482	phosphatidylcholine
nmdc:bsm-11-fg6rdz39	levetiracetam [CHEBI:6437];2021-12-21	levetiracetam	CHEBI:6437	2021-12-21	CHEBI:6437	levetiracetam
nmdc:bsm-11-fg6rdz39	ondansetron [CHEBI:7773];2021-12-21	ondansetron	CHEBI:7773	2021-12-21	CHEBI:7773	ondansetron
nmdc:bsm-11-fg6rdz39	gabapentin [CHEBI:42797];2021-12-21	gabapentin	CHEBI:42797	2021-12-21	CHEBI:42797	gabapentin
nmdc:bsm-11-h63ekw55	clavamox [CHEBI:2676];2021-09-14	clavamox	CHEBI:2676	2021-09-14	CHEBI:2676	clavamox
nmdc:bsm-11-jm3yc592	cytopoint [CHEBI:00000];2019-10-02	cytopoint	CHEBI:00000	2019-10-02	CHEBI:00000	cytopoint
nmdc:bsm-11-k3t6y038	pantoprazole [CHEBI:50270];2021-06-25	pantoprazole	CHEBI:50270	2021-06-25	CHEBI:50270	pantoprazole
nmdc:bsm-11-k3t6y038	maropitant [CHEBI:00000];2021-06-25	maropitant	CHEBI:00000	2021-06-25	CHEBI:00000	maropitant
nmdc:bsm-11-k3t6y038	sulbactam [CHEBI:9321];2021-06-25	sulbactam	CHEBI:9321	2021-06-25	CHEBI:9321	sulbactam
nmdc:bsm-11-k3t6y038	ampicillin [CHEBI:28971];2021-06-25	ampicillin	CHEBI:28971	2021-06-25	CHEBI:28971	ampicillin
nmdc:bsm-11-p9t9wv58	5-ASA [CHEBI:6775];2021-11-05	5-ASA	CHEBI:6775	2021-11-05	CHEBI:6775	5-ASA
nmdc:bsm-11-qhewdm80	5-ASA [CHEBI:6775];2021-11-05	5-ASA	CHEBI:6775	2021-11-05	CHEBI:6775	5-ASA
nmdc:bsm-11-rdtmbj69	prednisone [CHEBI:8382];2021-07-08	prednisone	CHEBI:8382	2021-07-08	CHEBI:8382	prednisone
nmdc:bsm-11-rdtmbj69	theophylline [CHEBI:28177];2021-07-08	theophylline	CHEBI:28177	2021-07-08	CHEBI:28177	theophylline
nmdc:bsm-11-rdtmbj69	doxycycline [CHEBI:50845];2021-07-08	doxycycline	CHEBI:50845	2021-07-08	CHEBI:50845	doxycycline
nmdc:bsm-11-wyxjam72	pimobendan [CHEBI:32003];2021-01-29	pimobendan	CHEBI:32003	2021-01-29	CHEBI:32003	pimobendan
nmdc:bsm-11-wyxjam72	benazapril [CHEBI:3011];2021-01-29	benazapril	CHEBI:3011	2021-01-29	CHEBI:3011	benazapril
nmdc:bsm-11-wyxjam72	spironolactone [CHEBI:9241];2021-01-29	spironolactone	CHEBI:9241	2021-01-29	CHEBI:9241	spironolactone
nmdc:bsm-11-wyxjam72	prednisolone [CHEBI:8378];2021-01-29	prednisolone	CHEBI:8378	2021-01-29	CHEBI:8378	prednisolone
nmdc:bsm-11-wyxjam72	vitamin B12 [CHEBI:176843];2021-01-29	vitamin B12	CHEBI:176843	2021-01-29	CHEBI:176843	vitamin B12
nmdc:bsm-11-wzpnmv52	carprofen [CHEBI:364453];2021-06-22	carprofen	CHEBI:364453	2021-06-22	CHEBI:364453	carprofen
nmdc:bsm-11-wzpnmv52	trazadone [CHEBI:9654];2021-06-22	trazadone	CHEBI:9654	2021-06-22	CHEBI:9654	trazadone
nmdc:bsm-11-x7f4t431	clindamycin [CHEBI:176915];2021-11-27	clindamycin	CHEBI:176915	2021-11-27	CHEBI:176915	clindamycin
nmdc:bsm-11-y16b7q98	5-ASA [CHEBI:6775];2021-10-01	5-ASA	CHEBI:6775	2021-10-01	CHEBI:6775	5-ASA
nmdc:bsm-11-yvnp5859	5-ASA [CHEBI:6775];2021-11-05	5-ASA	CHEBI:6775	2021-11-05	CHEBI:6775	5-ASA
