biosampleGoldId	addDate	altitudeInMeters	altitudeInMeters2	biosampleName	dateCollected	depthInMeters	depthInMeters2	description	ecosystem	ecosystemCategory	ecosystemPathId	ecosystemSubtype	ecosystemType	elevationInMeters	elevationInMeters2	envoBroadScale.id	envoBroadScale.id.canonical_curie	envoBroadScale.id.canonical_label	envoBroadScale.id.obsolete	envoBroadScale.label	envoLocalScale.id	envoLocalScale.id.canonical_curie	envoLocalScale.id.canonical_label	envoLocalScale.id.obsolete	envoLocalScale.label	envoMedium.id	envoMedium.label	geoLocation	geographicLocation	habitat	hostDiseases	hostGender	hostName	hostNcbiTaxid	isoCountry	latitude	longhurst	longitude	mixsPackage	modDate	ncbiTaxId	ncbiTaxName	nitrateConcentration	oxygenConcentration	ph	pressure	salinity	salinityConcentration	sampleBodySite	sampleBodySubsite	sampleCollectionSite	sampleCollectionTemperature	specificEcosystem	subsurfaceDepthInMeters	subsurfaceDepthInMeters2	visitNum
Gb0239931	2019-09-03			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL1	2013-08-06			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Luigi island	Arctic Ocean: Luigi island	Arctic glacier soil					Arctic Ocean	80.7666666667		54.65	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239932	2019-09-03			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL2	2013-08-06			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Luigi island	Arctic Ocean: Luigi island	Arctic glacier soil					Arctic Ocean	80.7666666667		54.65	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239933	2019-09-03			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL3	2013-08-06			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Luigi island	Arctic Ocean: Luigi island	Arctic glacier soil					Arctic Ocean	80.7666666667		54.65	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239934	2019-09-03			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean - Rohwer84.arctic.glacier.soil.FJLL4	2013-08-06			Arctic glacier soil microbial communities from Luigi island, Arctic Ocean	Environmental	Terrestrial	4745	Glacier	Soil	0.0		ENVO_01000339	ENVO:01000339	polar biome	False	polar biome	ENVO_00000133	ENVO:00000133	glacier	False	glacier	ENVO_00001998	soil	Arctic Ocean: Luigi island	Arctic Ocean: Luigi island	Arctic glacier soil					Arctic Ocean	80.7666666667		54.65	Standard	2024-04-17	410658	soil metagenome									Arctic glacier soil		Unclassified			
Gb0239935	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.BP1soil.24	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000161	ENVO:00000161	banana plantation	False	banana plantation	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.435380168		103.7113817	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239936	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.BP2soil.26	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000161	ENVO:00000161	banana plantation	False	banana plantation	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.435343635		103.7115584	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239937	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.BP3soil.28	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000161	ENVO:00000161	banana plantation	False	banana plantation	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.435314		103.711674	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239938	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.JP1soil.18	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000119	ENVO:00000119	planted forest	False	planted forest	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.434767476		103.7112433	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239939	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.JP2soil.20	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000119	ENVO:00000119	planted forest	False	planted forest	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.43492266		103.7112946	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239940	2019-09-03			Banana cropland soil microbial communities from Singapore - Seedorf71.JP3soil.22	2016-02-26			Banana cropland soil microbial communities from Singapore	Environmental	Terrestrial	4213	Unclassified	Soil	19.0		ENVO_01000245	ENVO:01000245	cropland biome	False	cropland biome	ENVO_00000119	ENVO:00000119	planted forest	False	planted forest	ENVO_02000059	surface soil	Singapore	Singapore	Banana cropland soil					Singapore	1.435145214		103.7113599	Standard	2024-04-17	410658	soil metagenome									Banana cropland soil		Agricultural land			
Gb0239941	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP1	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	70.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-22.9791833333		14.5836	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239942	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP3	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	279.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.0148666667		14.76665	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239943	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP5	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	457.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.0352333333		14.9499833333	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239944	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP7	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	605.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.0995833333		15.1281333333	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239945	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP9	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	717.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.1960166667		15.2782	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239946	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP11	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	859.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.2912		15.4427	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239947	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP13	2014-04-07			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	957.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.32035		15.6232833333	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239948	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP15	2014-04-08			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	881.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.3021		15.7904833333	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239949	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP17	2014-04-08			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	1011.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.3438666667		15.9194166667	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239950	2019-09-03			Desert gravel field soil microbial communities from Namibia - Makhalanyane46.TGP20	2014-04-08			Desert gravel field soil microbial communities from Namibia	Environmental	Terrestrial	4202	Sand	Soil	1240.0		ENVO_01000183	ENVO:01000183	tropical desert biome	False	tropical desert biome	ENVO_00000548	ENVO:00000548	gravel field	False	gravel field	ENVO_01000018	gravel	Namibia	Namibia	Desert gravel field soil					Namibia	-23.2453		16.1433166667	Standard	2024-04-17	410658	soil metagenome									Desert gravel field soil		Desert			
Gb0239951	2019-09-03			Forest surface soil microbial communities from Singapore - Seedorf71.J1soil.14	2016-02-24			Forest surface soil microbial communities from Singapore	Environmental	Terrestrial	6016	Tropical forest	Soil	50.0		ENVO_01000249	ENVO:01000249	urban biome	False	urban biome	ENVO_00000119	ENVO:00000119	planted forest	False	planted forest	ENVO_02000059	surface soil	Singapore	Singapore	Forest surface soil					Singapore	1.294588		103.776828	Standard	2024-04-17	410658	soil metagenome									Forest surface soil		Bulk soil			
Gb0239952	2019-09-03			Forest surface soil microbial communities from Singapore - Seedorf71.J2soil.16	2016-02-24			Forest surface soil microbial communities from Singapore	Environmental	Terrestrial	6016	Tropical forest	Soil	50.0		ENVO_01000249	ENVO:01000249	urban biome	False	urban biome	ENVO_00000119	ENVO:00000119	planted forest	False	planted forest	ENVO_02000059	surface soil	Singapore	Singapore	Forest surface soil					Singapore	1.294588		103.776828	Standard	2024-04-17	410658	soil metagenome									Forest surface soil		Bulk soil			
Gb0239953	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.1	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1741.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239954	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.2	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1741.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239955	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.3	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1741.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239956	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.4	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1741.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239957	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.5	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1747.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239958	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.6	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1747.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239959	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.7	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1747.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239960	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.8	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1747.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239961	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.9	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1735.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
Gb0239962	2019-09-03			Grasslands and shrubland soil microbial communities from Mongolia - MacRae3.soil.10	2012-07-09			Grasslands and shrubland soil microbial communities from Mongolia	Environmental	Terrestrial	4209	Unclassified	Soil	1735.0		ENVO_01000177	ENVO:01000177	grassland biome	False	grassland biome	ENVO_01001785	ENVO:01001785	land	False	land	ENVO_00005750	grassland soil	Mongolia	Mongolia	Grasslands and shrubland soil					Mongolia	51.01		100.45	Standard	2024-04-17	410658	soil metagenome									Grasslands and shrubland soil		Grasslands			
