Key	basename	extension	LastModified	Size	obo_foundry_title	bioportal_name	registry_url
apo-relation-graph.tsv.gz	apo	relation-graph.tsv.gz	2022-06-20T01:47:12.000Z	6665	Ascomycete phenotype ontology	Ascomycete Phenotype Ontology	
apo.db	apo	db	2022-10-17T16:07:17.000Z	1576960	Ascomycete phenotype ontology	Ascomycete Phenotype Ontology	
apo.db.gz	apo	db.gz	2025-02-05T06:24:16.000Z	305306	Ascomycete phenotype ontology	Ascomycete Phenotype Ontology	
apo.owl	apo	owl	2022-06-20T01:47:15.000Z	716033	Ascomycete phenotype ontology	Ascomycete Phenotype Ontology	
apollo_sv-relation-graph.tsv.gz	apollo_sv	relation-graph.tsv.gz	2022-06-20T01:47:16.000Z	235542	Apollo Structured Vocabulary		
apollo_sv.db	apollo_sv	db	2022-10-17T16:07:18.000Z	14520320	Apollo Structured Vocabulary		
apollo_sv.db.gz	apollo_sv	db.gz	2025-02-05T06:24:16.000Z	3588893	Apollo Structured Vocabulary		
apollo_sv.owl	apollo_sv	owl	2022-06-20T01:47:16.000Z	2521317	Apollo Structured Vocabulary		
aro-relation-graph.tsv.gz	aro	relation-graph.tsv.gz	2022-06-20T01:47:16.000Z	437321	Antibiotic Resistance Ontology	Antibiotic Resistance Ontology	
aro.db	aro	db	2022-10-17T16:07:18.000Z	41005056	Antibiotic Resistance Ontology	Antibiotic Resistance Ontology	
aro.db.gz	aro	db.gz	2025-02-05T06:24:16.000Z	8533973	Antibiotic Resistance Ontology	Antibiotic Resistance Ontology	
aro.owl	aro	owl	2022-06-20T01:47:17.000Z	11798509	Antibiotic Resistance Ontology	Antibiotic Resistance Ontology	
bad-ontology.db	bad	ontology.db	2022-10-17T16:07:18.000Z	532480			
bad-ontology.db.old	bad	ontology.db.old	2022-04-21T01:10:06.000Z	532480			
bao.db.gz	bao	db.gz	2025-02-05T06:24:16.000Z	6039743		BioAssay Ontology	http://www.bioassayontology.org/bao/bao_complete.owl
bcio.db.gz	bcio	db.gz	2025-02-05T06:24:16.000Z	1318132			http://humanbehaviourchange.org/ontology/bcio.owl
bco-relation-graph.tsv.gz	bco	relation-graph.tsv.gz	2022-06-20T01:47:17.000Z	11482	Biological Collections Ontology	Biological Collections Ontology	
bco.db	bco	db	2022-10-17T16:07:19.000Z	2641920	Biological Collections Ontology	Biological Collections Ontology	
bco.db.gz	bco	db.gz	2025-02-05T06:24:18.000Z	554772	Biological Collections Ontology	Biological Collections Ontology	
bco.owl	bco	owl	2022-06-20T01:47:19.000Z	899384	Biological Collections Ontology	Biological Collections Ontology	
bero-relation-graph.tsv.gz	bero	relation-graph.tsv.gz	2022-05-31T03:00:06.000Z	187302382		Biological and Environmental Research Ontology	https://github.com/berkeleybop/bero/releases/download/2022-05-26/bero.owl
bero.db.gz	bero	db.gz	2025-02-05T06:24:19.000Z	1601603888		Biological and Environmental Research Ontology	https://github.com/berkeleybop/bero/releases/download/2022-05-26/bero.owl
bero.owl	bero	owl	2022-05-31T03:00:12.000Z	1080249848		Biological and Environmental Research Ontology	https://github.com/berkeleybop/bero/releases/download/2022-05-26/bero.owl
bfo-relation-graph.tsv.gz	bfo	relation-graph.tsv.gz	2022-06-20T01:47:19.000Z	560	Basic Formal Ontology	Basic Formal Ontology	
bfo.db	bfo	db	2022-10-17T16:07:20.000Z	561152	Basic Formal Ontology	Basic Formal Ontology	
bfo.db.gz	bfo	db.gz	2025-02-05T06:24:22.000Z	111344	Basic Formal Ontology	Basic Formal Ontology	
bfo.owl	bfo	owl	2022-06-20T01:47:19.000Z	157931	Basic Formal Ontology	Basic Formal Ontology	
bfo2020.db.gz	bfo2020	db.gz	2025-02-01T21:44:34.000Z	94876			http://purl.obolibrary.org/obo/bfo/2020/bfo.owl
bfo2020_core.db.gz	bfo2020_core	db.gz	2025-02-01T21:44:34.000Z	79866			http://purl.obolibrary.org/obo/bfo/2020/bfo-core.owl
bfo2020_notime.db.gz	bfo2020_notime	db.gz	2025-02-01T21:44:36.000Z	66738			http://purl.obolibrary.org/obo/bfo/2020/notime/bfo.owl
bfo2020_time.db.gz	bfo2020_time	db.gz	2025-02-01T21:44:36.000Z	94857			https://raw.githubusercontent.com/BFO-ontology/BFO-2020/master/src/owl/profiles/temporal%20extensions/temporalized%20relations/owl/bfo-temporalized-relations.owl
biolink.db	biolink	db	2022-10-17T16:07:21.000Z	4399104		Biolink Model	https://w3id.org/biolink/biolink-model.owl.ttl
biolink.db.gz	biolink	db.gz	2025-02-05T06:24:23.000Z	873668		Biolink Model	https://w3id.org/biolink/biolink-model.owl.ttl
biopax.db	biopax	db	2022-09-05T01:22:28.000Z	700416			http://www.biopax.org/release/biopax-level3.owl
biopax.db.gz	biopax	db.gz	2025-02-05T06:24:24.000Z	646			http://www.biopax.org/release/biopax-level3.owl
biopragmatics-reactome.db.gz	biopragmatics	reactome.db.gz	2025-02-01T21:44:37.000Z	46			
biovoices.db.gz	biovoices	db.gz	2025-02-05T06:24:25.000Z	435152			https://zenodo.org/record/5589773/files/ontology.owl?download=1
bspo-relation-graph.tsv.gz	bspo	relation-graph.tsv.gz	2022-06-20T01:47:19.000Z	11416	Biological Spatial Ontology	Spatial Ontology	
bspo.db	bspo	db	2022-10-17T16:07:22.000Z	1478656	Biological Spatial Ontology	Spatial Ontology	
bspo.db.gz	bspo	db.gz	2025-02-05T06:24:25.000Z	369318	Biological Spatial Ontology	Spatial Ontology	
bspo.owl	bspo	owl	2022-06-20T01:47:20.000Z	635854	Biological Spatial Ontology	Spatial Ontology	
bto-relation-graph.tsv.gz	bto	relation-graph.tsv.gz	2022-06-20T01:47:20.000Z	181633	BRENDA tissue / enzyme source	BRENDA Tissue and Enzyme Source Ontology	
bto.db.gz	bto	db.gz	2025-02-05T06:24:25.000Z	5230421	BRENDA tissue / enzyme source	BRENDA Tissue and Enzyme Source Ontology	
bto.owl	bto	owl	2022-06-20T01:47:21.000Z	10645778	BRENDA tissue / enzyme source	BRENDA Tissue and Enzyme Source Ontology	
caro-relation-graph.tsv.gz	caro	relation-graph.tsv.gz	2022-06-20T01:47:22.000Z	166302	Common Anatomy Reference Ontology	Common Anatomy Reference Ontology	
caro.db.gz	caro	db.gz	2025-02-05T06:24:25.000Z	5248698	Common Anatomy Reference Ontology	Common Anatomy Reference Ontology	
caro.owl	caro	owl	2022-06-20T01:47:23.000Z	12075775	Common Anatomy Reference Ontology	Common Anatomy Reference Ontology	
cco.db.gz	cco	db.gz	2025-02-05T06:24:26.000Z	1376935		Cell Cycle Ontology	http://www.ontologyrepository.com/CommonCoreOntologies/Mid/AllCoreOntology
cdao-relation-graph.tsv.gz	cdao	relation-graph.tsv.gz	2022-06-20T01:47:23.000Z	2974	Comparative Data Analysis Ontology	Comparative Data Analysis Ontology	
cdao.db	cdao	db	2022-10-17T16:07:23.000Z	651264	Comparative Data Analysis Ontology	Comparative Data Analysis Ontology	
cdao.db.gz	cdao	db.gz	2025-02-05T06:24:26.000Z	136301	Comparative Data Analysis Ontology	Comparative Data Analysis Ontology	
cdao.owl	cdao	owl	2022-06-20T01:47:25.000Z	205605	Comparative Data Analysis Ontology	Comparative Data Analysis Ontology	
cdno-relation-graph.tsv.gz	cdno	relation-graph.tsv.gz	2022-06-20T01:47:26.000Z	83968	Compositional Dietary Nutrition Ontology	Compositional Dietary Nutrition Ontology	
cdno.db.gz	cdno	db.gz	2025-02-05T06:24:27.000Z	5793673	Compositional Dietary Nutrition Ontology	Compositional Dietary Nutrition Ontology	
cdno.owl	cdno	owl	2022-06-20T01:47:28.000Z	5693932	Compositional Dietary Nutrition Ontology	Compositional Dietary Nutrition Ontology	
cellosaurus.db.gz	cellosaurus	db.gz	2025-02-01T21:44:39.000Z	98728333			https://raw.githubusercontent.com/calipho-sib/cellosaurus/master/cellosaurus.obo
chebi-relation-graph.tsv.gz	chebi	relation-graph.tsv.gz	2022-06-20T01:47:28.000Z	51456933	Chemical Entities of Biological Interest	Chemical Entities of Biological Interest Ontology	
chebi.db.gz	chebi	db.gz	2025-02-05T06:24:27.000Z	726067642	Chemical Entities of Biological Interest	Chemical Entities of Biological Interest Ontology	
chebi.owl	chebi	owl	2022-06-20T01:49:20.000Z	691563543	Chemical Entities of Biological Interest	Chemical Entities of Biological Interest Ontology	
chebiplus.db.gz	chebiplus	db.gz	2025-02-05T06:24:27.000Z	735956544			http://purl.obolibrary.org/obo/chebi.owl
chemessence.db.gz	chemessence	db.gz	2025-02-05T06:24:27.000Z	508405341			https://github.com/cmungall/chemessence/releases/latest/download/chemessence.owl
cheminf-relation-graph.tsv.gz	cheminf	relation-graph.tsv.gz	2022-06-20T01:49:34.000Z	62962	Chemical Information Ontology	Chemical Information Ontology	
cheminf.db	cheminf	db	2022-10-17T16:07:28.000Z	4468736	Chemical Information Ontology	Chemical Information Ontology	
cheminf.db.gz	cheminf	db.gz	2025-02-05T06:24:28.000Z	943697	Chemical Information Ontology	Chemical Information Ontology	
cheminf.owl	cheminf	owl	2022-06-20T01:49:34.000Z	1094479	Chemical Information Ontology	Chemical Information Ontology	
chemont.db.gz	chemont	db.gz	2025-02-05T06:24:29.000Z	4812935			http://classyfire.wishartlab.com/system/downloads/1_0/chemont/ChemOnt_2_1.obo.zip
chiro-relation-graph.tsv.gz	chiro	relation-graph.tsv.gz	2022-06-20T01:49:34.000Z	559362	CHEBI Integrated Role Ontology	CHEBI Integrated Role Ontology	http://purl.obolibrary.org/obo/chiro.owl
chiro.db.gz	chiro	db.gz	2025-02-05T06:24:31.000Z	11520112	CHEBI Integrated Role Ontology	CHEBI Integrated Role Ontology	http://purl.obolibrary.org/obo/chiro.owl
chiro.owl	chiro	owl	2022-06-20T01:49:35.000Z	24233872	CHEBI Integrated Role Ontology	CHEBI Integrated Role Ontology	http://purl.obolibrary.org/obo/chiro.owl
chmo-relation-graph.tsv.gz	chmo	relation-graph.tsv.gz	2022-06-20T01:49:35.000Z	138187	Chemical Methods Ontology	Chemical Methods Ontology	
chmo.db	chmo	db	2022-10-17T16:07:35.000Z	16154624	Chemical Methods Ontology	Chemical Methods Ontology	
chmo.db.gz	chmo	db.gz	2025-02-05T06:24:41.000Z	3030651	Chemical Methods Ontology	Chemical Methods Ontology	
chmo.owl	chmo	owl	2022-06-20T01:49:36.000Z	6252756	Chemical Methods Ontology	Chemical Methods Ontology	
chr.db.gz	chr	db.gz	2025-02-01T21:45:00.000Z	6614905		Monochrom	https://raw.githubusercontent.com/monarch-initiative/monochrom/master/chr.owl
cido-relation-graph.tsv.gz	cido	relation-graph.tsv.gz	2022-06-20T01:49:37.000Z	6660815	Coronavirus Infectious Disease Ontology	Coronavirus Infectious Disease Ontology	
cido.db.gz	cido	db.gz	2025-02-05T06:24:42.000Z	110457845	Coronavirus Infectious Disease Ontology	Coronavirus Infectious Disease Ontology	
cido.owl	cido	owl	2022-06-20T01:49:39.000Z	21027930	Coronavirus Infectious Disease Ontology	Coronavirus Infectious Disease Ontology	
cio-relation-graph.tsv.gz	cio	relation-graph.tsv.gz	2022-06-20T01:49:40.000Z	677	Confidence Information Ontology	Confidence Information Ontology	
cio.db	cio	db	2022-10-17T16:07:42.000Z	532480	Confidence Information Ontology	Confidence Information Ontology	
cio.db.gz	cio	db.gz	2025-02-05T06:25:14.000Z	77898	Confidence Information Ontology	Confidence Information Ontology	
cio.owl	cio	owl	2022-06-20T01:49:43.000Z	124172	Confidence Information Ontology	Confidence Information Ontology	
cl-relation-graph.tsv.gz	cl	relation-graph.tsv.gz	2022-06-20T01:49:44.000Z	17196197	Cell Ontology	Cell Ontology	
cl.db.gz	cl	db.gz	2025-02-05T06:25:20.000Z	89285401	Cell Ontology	Cell Ontology	
cl.owl	cl	owl	2022-06-20T01:49:46.000Z	59048755	Cell Ontology	Cell Ontology	
clao-relation-graph.tsv.gz	clao	relation-graph.tsv.gz	2022-06-20T01:49:49.000Z	129743	Collembola Anatomy Ontology	Collembola Anatomy Ontology	
clao.db	clao	db	2022-10-17T16:08:01.000Z	8949760	Collembola Anatomy Ontology	Collembola Anatomy Ontology	
clao.db.gz	clao	db.gz	2025-02-05T06:25:49.000Z	1649307	Collembola Anatomy Ontology	Collembola Anatomy Ontology	
clao.owl	clao	owl	2022-06-20T01:49:54.000Z	1754601	Collembola Anatomy Ontology	Collembola Anatomy Ontology	
clo-relation-graph.tsv.gz	clo	relation-graph.tsv.gz	2022-06-20T01:49:55.000Z	10848291	Cell Line Ontology	Cell Line Ontology	
clo.db.gz	clo	db.gz	2025-02-05T06:25:52.000Z	80237626	Cell Line Ontology	Cell Line Ontology	
clo.owl	clo	owl	2022-06-20T01:49:59.000Z	51785600	Cell Line Ontology	Cell Line Ontology	
clyh-relation-graph.tsv.gz	clyh	relation-graph.tsv.gz	2022-06-20T01:50:10.000Z	7596	Clytia hemisphaerica Development and Anatomy Ontology	Clytia hemisphaerica Development and Anatomy Ontology	
clyh.db	clyh	db	2022-10-17T16:08:27.000Z	987136	Clytia hemisphaerica Development and Anatomy Ontology	Clytia hemisphaerica Development and Anatomy Ontology	
clyh.db.gz	clyh	db.gz	2025-02-05T06:26:12.000Z	184803	Clytia hemisphaerica Development and Anatomy Ontology	Clytia hemisphaerica Development and Anatomy Ontology	
clyh.owl	clyh	owl	2022-06-20T01:50:12.000Z	301349	Clytia hemisphaerica Development and Anatomy Ontology	Clytia hemisphaerica Development and Anatomy Ontology	
cme.db	cme	db	2022-10-17T16:08:28.000Z	1216512			
cmo-relation-graph.tsv	cmo	relation-graph.tsv	2022-06-20T01:50:12.000Z	1028279	Clinical measurement ontology	Clinical Measurement Ontology	
cmo.db.gz	cmo	db.gz	2025-02-05T06:26:14.000Z	3666691	Clinical measurement ontology	Clinical Measurement Ontology	
cmo.db.tmp	cmo	db.tmp	2022-06-20T01:50:13.000Z	532480	Clinical measurement ontology	Clinical Measurement Ontology	
cmo.owl	cmo	owl	2022-06-20T01:50:13.000Z	5689123	Clinical measurement ontology	Clinical Measurement Ontology	
co_324.db	co_324	db	2022-10-17T16:08:29.000Z	4780032			https://cropontology.org/ontology/CO_324/rdf
co_324.db.gz	co_324	db.gz	2025-02-01T21:45:36.000Z	877878			https://cropontology.org/ontology/CO_324/rdf
cob-relation-graph.tsv.gz	cob	relation-graph.tsv.gz	2022-06-20T01:50:14.000Z	1474	Core Ontology for Biology and Biomedicine	Core Ontology for Biology and Biomedicine	
cob.db	cob	db	2022-10-17T16:08:29.000Z	532480	Core Ontology for Biology and Biomedicine	Core Ontology for Biology and Biomedicine	
cob.db.gz	cob	db.gz	2025-02-05T06:26:16.000Z	59279	Core Ontology for Biology and Biomedicine	Core Ontology for Biology and Biomedicine	
cob.db.old	cob	db.old	2022-02-12T09:14:36.000Z	487424	Core Ontology for Biology and Biomedicine	Core Ontology for Biology and Biomedicine	
cob.owl	cob	owl	2022-06-20T01:50:14.000Z	55733	Core Ontology for Biology and Biomedicine	Core Ontology for Biology and Biomedicine	
colao-relation-graph.tsv.gz	colao	relation-graph.tsv.gz	2022-06-20T01:50:15.000Z	56639	Coleoptera Anatomy Ontology (COLAO)	Coleoptera Anatomy Ontology	
colao.db	colao	db	2022-10-17T16:08:30.000Z	10297344	Coleoptera Anatomy Ontology (COLAO)	Coleoptera Anatomy Ontology	
colao.db.gz	colao	db.gz	2025-02-05T06:26:17.000Z	2029792	Coleoptera Anatomy Ontology (COLAO)	Coleoptera Anatomy Ontology	
colao.owl	colao	owl	2022-06-20T01:50:15.000Z	3148474	Coleoptera Anatomy Ontology (COLAO)	Coleoptera Anatomy Ontology	
comet.db.gz	comet	db.gz	2025-02-05T06:26:17.000Z	243014		LinkML Common Metadata Elements and Terms	https://raw.githubusercontent.com/linkml/linkml-common/main/project/owl/linkml_common.owl.ttl
complexportal.db.gz	complexportal	db.gz	2025-02-01T21:45:39.000Z	7123645			https://github.com/biopragmatics/obo-db-ingest/raw/main/export/complexportal/2022-02-03/complexportal.owl.gz
comploinc.db.gz	comploinc	db.gz	2025-02-05T06:26:19.000Z	13763653			https://github.com/loinc/comp-loinc/releases/download/v2022-11-05/merged_reasoned_loinc.owl
cosmo.db.gz	cosmo	db.gz	2025-02-01T21:45:41.000Z	164430063			https://micra.com/COSMO/COSMO.owl
cpont.db.gz	cpont	db.gz	2025-02-05T06:26:23.000Z	22282993			https://w3id.org/cpont/cpont.owl
credit.db.gz	credit	db.gz	2025-02-01T21:45:51.000Z	28174			https://raw.githubusercontent.com/biopragmatics/obo-db-ingest/main/export/credit/credit.owl
cro-relation-graph.tsv.gz	cro	relation-graph.tsv.gz	2022-06-20T01:50:16.000Z	1492	Contributor Role Ontology	Contributor Role Ontology	
cro.db	cro	db	2022-10-17T16:08:34.000Z	667648	Contributor Role Ontology	Contributor Role Ontology	
cro.db.gz	cro	db.gz	2025-02-05T06:26:23.000Z	138887	Contributor Role Ontology	Contributor Role Ontology	
cro.owl	cro	owl	2022-06-20T01:50:17.000Z	191462	Contributor Role Ontology	Contributor Role Ontology	
cso.db.gz	cso	db.gz	2025-02-01T21:45:52.000Z	7313167		Clinical Study Ontology	https://cso.kmi.open.ac.uk/download/version-3.3/CSO.3.3.owl.zip
cteno-relation-graph.tsv.gz	cteno	relation-graph.tsv.gz	2022-06-20T01:50:17.000Z	79344	Ctenophore Ontology	Ctenophore Ontology	
cteno.db	cteno	db	2022-10-17T16:08:37.000Z	4435968	Ctenophore Ontology	Ctenophore Ontology	
cteno.db.gz	cteno	db.gz	2025-02-05T06:26:23.000Z	871102	Ctenophore Ontology	Ctenophore Ontology	
cteno.owl	cteno	owl	2022-06-20T01:50:18.000Z	1068205	Ctenophore Ontology	Ctenophore Ontology	
cto-relation-graph.tsv.gz	cto	relation-graph.tsv.gz	2022-06-20T01:50:18.000Z	8165	CTO: Core Ontology of Clinical Trials	Clinical Trials Ontology	
cto.db	cto	db	2022-10-17T16:08:38.000Z	1810432	CTO: Core Ontology of Clinical Trials	Clinical Trials Ontology	
cto.db.gz	cto	db.gz	2025-02-05T06:26:24.000Z	403709	CTO: Core Ontology of Clinical Trials	Clinical Trials Ontology	
cto.owl	cto	owl	2022-06-20T01:50:18.000Z	600735	CTO: Core Ontology of Clinical Trials	Clinical Trials Ontology	
cvdo-relation-graph.tsv.gz	cvdo	relation-graph.tsv.gz	2022-06-20T01:50:19.000Z	20253	Cardiovascular Disease Ontology	Cardiovascular Disease Ontology	
cvdo.db	cvdo	db	2022-10-17T16:08:38.000Z	3125248	Cardiovascular Disease Ontology	Cardiovascular Disease Ontology	
cvdo.db.gz	cvdo	db.gz	2025-02-05T06:26:27.000Z	965784	Cardiovascular Disease Ontology	Cardiovascular Disease Ontology	
cvdo.owl	cvdo	owl	2022-06-20T01:50:19.000Z	1015820	Cardiovascular Disease Ontology	Cardiovascular Disease Ontology	
dbpediaont.db.gz	dbpediaont	db.gz	2023-01-05T20:14:23.000Z	1981807			
dbpendiaont.db.gz	dbpendiaont	db.gz	2025-02-01T21:45:55.000Z	1969392			https://databus.dbpedia.org/ontologies/dbpedia.org/ontology--DEV/2023.01.03-072003/ontology--DEV_type=parsed.owl
ddanat-relation-graph.tsv.gz	ddanat	relation-graph.tsv.gz	2022-06-20T01:50:19.000Z	5133	Dictyostelium discoideum anatomy	Dictyostelium Discoideum Anatomy Ontology	
ddanat.db	ddanat	db	2022-10-17T16:08:39.000Z	958464	Dictyostelium discoideum anatomy	Dictyostelium Discoideum Anatomy Ontology	
ddanat.db.gz	ddanat	db.gz	2025-02-05T06:26:30.000Z	170447	Dictyostelium discoideum anatomy	Dictyostelium Discoideum Anatomy Ontology	
ddanat.owl	ddanat	owl	2022-06-20T01:50:20.000Z	301721	Dictyostelium discoideum anatomy	Dictyostelium Discoideum Anatomy Ontology	
ddpheno-relation-graph.tsv.gz	ddpheno	relation-graph.tsv.gz	2022-06-20T01:50:20.000Z	24970	Dictyostelium discoideum phenotype ontology	Dictyostelium Discoideum Phenotype Ontology	
ddpheno.db	ddpheno	db	2022-10-17T16:08:41.000Z	4390912	Dictyostelium discoideum phenotype ontology	Dictyostelium Discoideum Phenotype Ontology	
ddpheno.db.gz	ddpheno	db.gz	2025-02-05T06:26:31.000Z	787511	Dictyostelium discoideum phenotype ontology	Dictyostelium Discoideum Phenotype Ontology	
ddpheno.owl	ddpheno	owl	2022-06-20T01:50:20.000Z	1830781	Dictyostelium discoideum phenotype ontology	Dictyostelium Discoideum Phenotype Ontology	
dhba.db.gz	dhba	db.gz	2025-02-05T06:26:31.000Z	3513312			https://github.com/brain-bican/developing_human_brain_atlas_ontology/raw/main/dhbao-base.owl
dideo-relation-graph.tsv.gz	dideo	relation-graph.tsv.gz	2022-06-20T01:50:21.000Z	23407	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology	Drug Interaction and Evidence Ontology	
dideo.db	dideo	db	2022-10-17T16:08:41.000Z	3915776	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology	Drug Interaction and Evidence Ontology	
dideo.db.gz	dideo	db.gz	2025-02-05T06:26:34.000Z	859809	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology	Drug Interaction and Evidence Ontology	
dideo.owl	dideo	owl	2022-06-20T01:50:21.000Z	1505243	Drug-drug Interaction and Drug-drug Interaction Evidence Ontology	Drug Interaction and Evidence Ontology	
disdriv-relation-graph.tsv.gz	disdriv	relation-graph.tsv.gz	2022-06-20T01:50:21.000Z	263	Disease Drivers Ontology	Disease Drivers Ontology	
disdriv.db	disdriv	db	2022-10-17T16:08:42.000Z	532480	Disease Drivers Ontology	Disease Drivers Ontology	
disdriv.db.gz	disdriv	db.gz	2025-02-05T06:26:33.000Z	37944	Disease Drivers Ontology	Disease Drivers Ontology	
disdriv.owl	disdriv	owl	2022-06-20T01:50:22.000Z	19678	Disease Drivers Ontology	Disease Drivers Ontology	
dmba.db.gz	dmba	db.gz	2025-02-05T06:26:37.000Z	1530656			https://github.com/brain-bican/developing_mouse_brain_atlas_ontology/raw/main/dmbao-base.owl
doid-relation-graph.tsv.gz	doid	relation-graph.tsv.gz	2022-06-20T01:50:22.000Z	1165625	Human Disease Ontology	Human Disease Ontology	
doid.db.gz	doid	db.gz	2025-02-05T06:26:38.000Z	21632402	Human Disease Ontology	Human Disease Ontology	
doid.owl	doid	owl	2022-06-20T01:50:22.000Z	31775742	Human Disease Ontology	Human Disease Ontology	
dpo-relation-graph.tsv.gz	dpo	relation-graph.tsv.gz	2022-06-20T01:50:22.000Z	5879140	Drosophila Phenotype Ontology	Drosophila Phenotype Ontology	
dpo.db.gz	dpo	db.gz	2025-02-05T06:26:41.000Z	3380237	Drosophila Phenotype Ontology	Drosophila Phenotype Ontology	
dpo.owl	dpo	owl	2022-06-20T01:50:30.000Z	22041151	Drosophila Phenotype Ontology	Drosophila Phenotype Ontology	
dron-relation-graph.tsv.gz	dron	relation-graph.tsv.gz	2022-06-20T01:50:36.000Z	50253436	The Drug Ontology	The Drug Ontology	
dron.db.gz	dron	db.gz	2025-02-05T06:26:44.000Z	625135150	The Drug Ontology	The Drug Ontology	
dron.owl	dron	owl	2022-06-20T01:50:47.000Z	595491084	The Drug Ontology	The Drug Ontology	
drugbank.db.gz	drugbank	db.gz	2025-02-01T21:46:05.000Z	19697241			https://github.com/biopragmatics/obo-db-ingest/raw/main/export/drugbank/5.1.9/drugbank.owl.gz
dtype.db.gz	dtype	db.gz	2025-02-01T21:46:08.000Z	39509			http://www.linkedmodel.org/schema/dtype
duo-relation-graph.tsv.gz	duo	relation-graph.tsv.gz	2022-06-20T01:51:00.000Z	10231	Data Use Ontology	The Data Use Ontology	
duo.db	duo	db	2022-10-17T16:09:50.000Z	1785856	Data Use Ontology	The Data Use Ontology	
duo.db.gz	duo	db.gz	2025-02-05T06:26:47.000Z	412386	Data Use Ontology	The Data Use Ontology	
duo.owl	duo	owl	2022-06-20T01:51:05.000Z	598267	Data Use Ontology	The Data Use Ontology	
ecao-relation-graph.tsv.gz	ecao	relation-graph.tsv.gz	2022-06-20T01:51:06.000Z	269761	The Echinoderm Anatomy and Development Ontology	The Echinoderm Anatomy and Development Ontology	
ecao.db	ecao	db	2022-10-17T16:09:51.000Z	9105408	The Echinoderm Anatomy and Development Ontology	The Echinoderm Anatomy and Development Ontology	
ecao.db.gz	ecao	db.gz	2025-02-05T06:26:49.000Z	36574741	The Echinoderm Anatomy and Development Ontology	The Echinoderm Anatomy and Development Ontology	
ecao.owl	ecao	owl	2022-06-20T01:51:07.000Z	950405	The Echinoderm Anatomy and Development Ontology	The Echinoderm Anatomy and Development Ontology	
eccode.db.gz	eccode	db.gz	2025-02-01T21:46:09.000Z	50932953			https://w3id.org/biopragmatics/resources/eccode/eccode.owl.gz
eco-relation-graph.tsv.gz	eco	relation-graph.tsv.gz	2022-06-20T01:51:09.000Z	354987	Evidence and Conclusion Ontology	Evidence and Conclusion Ontology	
